Ano;Nível;Unidade da Federação;Cor ou raça;Total
2022;UF;Mato Grosso do Sul;Total;2031060
2022;UF;Mato Grosso do Sul;Branca;855881
2022;UF;Mato Grosso do Sul;Preta;152675
2022;UF;Mato Grosso do Sul;Amarela;16581
2022;UF;Mato Grosso do Sul;Parda;948638
2022;UF;Mato Grosso do Sul;Indígena;57102
2022;UF;Mato Grosso;Total;2666051
2022;UF;Mato Grosso;Branca;867531
2022;UF;Mato Grosso;Preta;296484
2022;UF;Mato Grosso;Amarela;9742
2022;UF;Mato Grosso;Parda;1462721
2022;UF;Mato Grosso;Indígena;29289
2022;UF;Goiás;Total;5323988
2022;UF;Goiás;Branca;1922526
2022;UF;Goiás;Preta;539380
2022;UF;Goiás;Amarela;14517
2022;UF;Goiás;Parda;2838491
2022;UF;Goiás;Indígena;8372
2022;UF;Distrito Federal;Total;2161332
2022;UF;Distrito Federal;Branca;857682
2022;UF;Distrito Federal;Preta;250640
2022;UF;Distrito Federal;Amarela;10283
2022;UF;Distrito Federal;Parda;1037665
2022;UF;Distrito Federal;Indígena;4495
