Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;70499;0,1913;2023-03-02 09:45:49
Masculino;297919;0,8084;2023-03-02 09:45:49
Não informado;128;0,0003;2023-03-02 09:45:49
