Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;152946;0,354;2025-01-14 08:30:14
Masculino;279017;0,6459;2025-01-14 08:30:14
Não divulgável;39;0,0001;2025-01-14 08:30:14
