Gênero;Quantitativo;Porcentagem;Data de carga
#NULO#;3;0,0005;2021-06-21 15:14:04
Feminino;448;0,0676;2021-06-21 15:14:04
Masculino;6172;0,9319;2021-06-21 15:14:04
