Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;1150;0,0759;2023-03-02 09:45:49
Masculino;13999;0,9237;2023-03-02 09:45:49
Não informado;6;0,0004;2023-03-02 09:45:49
