Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;58;0,2387;2025-01-14 03:36:14
Masculino;184;0,7572;2025-01-14 03:36:14
Não divulgável;1;0,0041;2025-01-14 03:36:14
