Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;9890;0,338;2025-04-27 03:30:14
Masculino;19343;0,661;2025-04-27 03:30:14
Não divulgável;29;0,001;2025-04-27 03:30:14
