Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;2381;0,1529;2025-01-14 08:30:14
Masculino;13190;0,8469;2025-01-14 08:30:14
Não divulgável;3;0,0002;2025-01-14 08:30:14
