Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;1883;0,1252;2023-03-02 10:08:24
Masculino;13137;0,8735;2023-03-02 10:08:24
Não informado;20;0,0013;2023-03-02 10:08:24
