Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;22;0,1009;2023-03-29 11:16:54
Masculino;193;0,8853;2023-03-29 11:16:54
Não informado;3;0,0138;2023-03-29 11:16:54
