Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;146840;0,3258;2023-02-14 08:47:37
Masculino;302951;0,6722;2023-02-14 08:47:37
Não divulgável;904;0,002;2023-02-14 08:47:37
