Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;9204;0,3157;2024-11-13 10:55:17
Masculino;19880;0,6819;2024-11-13 10:55:17
Não divulgável;69;0,0024;2024-11-13 10:55:17
