Gênero;Quantitativo;Porcentagem;Data de carga
Feminino;2081;0,1313;2023-02-14 08:47:37
Masculino;13710;0,8651;2023-02-14 08:47:37
Não divulgável;56;0,0035;2023-02-14 08:47:37
