Ocupação;Quantitativo;Porcentagem;Data de carga
Engenheiro;189;0,0105;13/11/2024 10:55
Administrador;396;0,022;13/11/2024 10:55
Porteiro de Edifício, Ascensorista, Garagista e Zelador;21;0,0012;13/11/2024 10:55
Magistrado;3;0,0002;13/11/2024 10:55
Servidor Público Municipal;334;0,0186;13/11/2024 10:55
Encanador, Soldador, Chapeador e Caldeireiro;6;0,0003;13/11/2024 10:55
Governanta;1;0,0001;13/11/2024 10:55
Motorista de Veículos de Transporte de Carga;43;0,0024;13/11/2024 10:55
Veterinário;34;0,0019;13/11/2024 10:55
Bombeiro Militar;55;0,0031;13/11/2024 10:55
Operador de Computador;5;0,0003;13/11/2024 10:55
Operador de Implemento de Agricultura, Pecuária e Exploração Florestal;4;0,0002;13/11/2024 10:55
Eletricista e Assemelhados;41;0,0023;13/11/2024 10:55
Embalador, Empacotador e Assemelhados;1;0,0001;13/11/2024 10:55
Comandante de Embarcações;1;0,0001;13/11/2024 10:55
Escritor e Crítico;14;0,0008;13/11/2024 10:55
Trabalhador Florestal;2;0,0001;13/11/2024 10:55
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;152;0,0085;13/11/2024 10:55
Advogado;926;0,0515;13/11/2024 10:55
Feirante, Ambulante e Mascate;15;0,0008;13/11/2024 10:55
Técnico de Laboratório e Raios X;12;0,0007;13/11/2024 10:55
Professor de Ensino Médio;416;0,0231;13/11/2024 10:55
Atendente de Lanchonete e Restaurante;10;0,0006;13/11/2024 10:55
Montador de Estrutura Metálica;5;0,0003;13/11/2024 10:55
Digitador;5;0,0003;13/11/2024 10:55
Trabalhador Dos Serviços de Contabilidade, de Caixa e Assemelhados;5;0,0003;13/11/2024 10:55
Membro do Ministério Público;3;0,0002;13/11/2024 10:55
Programador de Computador;5;0,0003;13/11/2024 10:55
Geógrafo;3;0,0002;13/11/2024 10:55
Mecânico de Manutenção;41;0,0023;13/11/2024 10:55
Despachante;16;0,0009;13/11/2024 10:55
Ministro de Estado;1;0,0001;13/11/2024 10:55
Esteticista;20;0,0011;13/11/2024 10:55
Protético;1;0,0001;13/11/2024 10:55
Fonoaudiólogo;6;0,0003;13/11/2024 10:55
Agente de Serviços Funerários e Embalsamador;2;0,0001;13/11/2024 10:55
Auxiliar de Escritório e Assemelhados;145;0,0081;13/11/2024 10:55
Vereador;641;0,0357;13/11/2024 10:55
Astrólogo;1;0,0001;13/11/2024 10:55
Ocupante de Cargo em Comissão;13;0,0007;13/11/2024 10:55
Massagista;6;0,0003;13/11/2024 10:55
Técnico Contabilidade, Estatística, Economia Doméstica e Administração;41;0,0023;13/11/2024 10:55
Diretor de Estabelecimento de Ensino;15;0,0008;13/11/2024 10:55
Catador de Recicláveis;4;0,0002;13/11/2024 10:55
Trabalhador Rural;28;0,0016;13/11/2024 10:55
Decorador;2;0,0001;13/11/2024 10:55
Professor de Ensino Fundamental;269;0,015;13/11/2024 10:55
Jornaleiro;4;0,0002;13/11/2024 10:55
