Ocupação;Quantitativo;Porcentagem;Data de carga
Porteiro de Edifício, Ascensorista, Garagista e Zelador;9;0,0008;14/01/2025 03:36
Engenheiro;121;0,0114;14/01/2025 03:36
Servidor Público Municipal;175;0,0165;14/01/2025 03:36
Administrador;357;0,0336;14/01/2025 03:36
Trabalhador Florestal;1;0,0001;14/01/2025 03:36
Escritor e Crítico;10;0,0009;14/01/2025 03:36
Geólogo;1;0,0001;14/01/2025 03:36
Encanador, Soldador, Chapeador e Caldeireiro;3;0,0003;14/01/2025 03:36
Agrônomo;14;0,0013;14/01/2025 03:36
Veterinário;20;0,0019;14/01/2025 03:36
Bombeiro Militar;47;0,0044;14/01/2025 03:36
Eletricista e Assemelhados;15;0,0014;14/01/2025 03:36
Motorista de Veículos de Transporte de Carga;31;0,0029;14/01/2025 03:36
Magistrado;1;0,0001;14/01/2025 03:36
Operador de Implemento de Agricultura, Pecuária e Exploração Florestal;1;0,0001;14/01/2025 03:36
Advogado;865;0,0814;14/01/2025 03:36
Geógrafo;3;0,0003;14/01/2025 03:36
Feirante, Ambulante e Mascate;4;0,0004;14/01/2025 03:36
Técnico de Laboratório e Raios X;7;0,0007;14/01/2025 03:36
Programador de Computador;7;0,0007;14/01/2025 03:36
Professor de Ensino Médio;163;0,0153;14/01/2025 03:36
Digitador;3;0,0003;14/01/2025 03:36
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;40;0,0038;14/01/2025 03:36
Trabalhador Dos Serviços de Contabilidade, de Caixa e Assemelhados;1;0,0001;14/01/2025 03:36
Membro do Ministério Público;2;0,0002;14/01/2025 03:36
Mecânico de Manutenção;18;0,0017;14/01/2025 03:36
Protético;1;0,0001;14/01/2025 03:36
Despachante;5;0,0005;14/01/2025 03:36
Esteticista;10;0,0009;14/01/2025 03:36
Agente de Serviços Funerários e Embalsamador;1;0,0001;14/01/2025 03:36
Fonoaudiólogo;6;0,0006;14/01/2025 03:36
Vereador;396;0,0373;14/01/2025 03:36
Decorador;3;0,0003;14/01/2025 03:36
Auxiliar de Escritório e Assemelhados;61;0,0057;14/01/2025 03:36
CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA;9;0,0008;14/01/2025 03:36
Trabalhador Rural;14;0,0013;14/01/2025 03:36
Técnico Contabilidade, Estatística, Economia Doméstica e Administração;13;0,0012;14/01/2025 03:36
Ocupante de Cargo em Comissão;11;0,001;14/01/2025 03:36
Massagista;3;0,0003;14/01/2025 03:36
Diretor de Estabelecimento de Ensino;4;0,0004;14/01/2025 03:36
Catador de Recicláveis;3;0,0003;14/01/2025 03:36
Astrônomo;3;0,0003;14/01/2025 03:36
Biomédico;6;0,0006;14/01/2025 03:36
Representante Comercial;37;0,0035;14/01/2025 03:36
Locutor e Comentarista de Rádio e Televisão e Radialista;48;0,0045;14/01/2025 03:36
Professor de Ensino Fundamental;128;0,012;14/01/2025 03:36
Diretor de Empresas;17;0,0016;14/01/2025 03:36
Farmacêutico;28;0,0026;14/01/2025 03:36
Serralheiro;2;0,0002;14/01/2025 03:36
Cientista Político;15;0,0014;14/01/2025 03:36
Biólogo;8;0,0008;14/01/2025 03:36
Produtor Agropecuário;38;0,0036;14/01/2025 03:36
Agente de Saúde e Sanitarista;22;0,0021;14/01/2025 03:36
Técnico de Mineração, Metalurgia e Geologia;2;0,0002;14/01/2025 03:36
Comerciário;25;0,0024;14/01/2025 03:36
Telefonista;3;0,0003;14/01/2025 03:36
Odontólogo;59;0,0056;14/01/2025 03:36
Membro das Forças Armadas;33;0,0031;14/01/2025 03:36
Relações-Públicas;5;0,0005;14/01/2025 03:36
Empregado Doméstico;3;0,0003;14/01/2025 03:36
Lavador de Veículos;1;0,0001;14/01/2025 03:36
Bibliotecário;1;0,0001;14/01/2025 03:36
Industrial;4;0,0004;14/01/2025 03:36
Deputado;418;0,0393;14/01/2025 03:36
Comerciante;316;0,0297;14/01/2025 03:36
Professor de Ensino Superior;149;0,014;14/01/2025 03:36
Fotógrafo e Assemelhados;10;0,0009;14/01/2025 03:36
Motorista de Veículos de Transporte Coletivo de Passageiros;28;0,0026;14/01/2025 03:36
Servidor Público Estadual;257;0,0242;14/01/2025 03:36
Técnico em Agronomia e Agrimensura;4;0,0004;14/01/2025 03:36
SENADOR, DEPUTADO E VEREADOR;5;0,0005;14/01/2025 03:36
Psicólogo;37;0,0035;14/01/2025 03:36
Trabalhador de Fabricação de Roupas;1;0,0001;14/01/2025 03:36
Motoboy;11;0,001;14/01/2025 03:36
Jornalista e Redator;203;0,0191;14/01/2025 03:36
Demonstrador;1;0,0001;14/01/2025 03:36
Agricultor;80;0,0075;14/01/2025 03:36
Servidor Público Federal;155;0,0146;14/01/2025 03:36
Alfaiate e Costureiro;3;0,0003;14/01/2025 03:36
Terapeuta;7;0,0007;14/01/2025 03:36
Arquiteto;24;0,0023;14/01/2025 03:36
Piloto de Aviação Comercial, Navegador, Mecânico de Vôo e Assemelhados;1;0,0001;14/01/2025 03:36
Bombeiro Civil;8;0,0008;14/01/2025 03:36
Produtor de Espetáculos Públicos;16;0,0015;14/01/2025 03:36
Ator e Diretor de Espetáculos Públicos;20;0,0019;14/01/2025 03:36
Trabalhador de Construção Civil;6;0,0006;14/01/2025 03:36
Operador de Instalação de Produção de Energia Elétrica e Nuclear;1;0,0001;14/01/2025 03:36
Publicitário;36;0,0034;14/01/2025 03:36
Estudante, Bolsista, Estagiário e Assemelhados;142;0,0134;14/01/2025 03:36
Historiador;3;0,0003;14/01/2025 03:36
Artista Plástico e Assemelhados;10;0,0009;14/01/2025 03:36
Frentista;3;0,0003;14/01/2025 03:36
Garçom;4;0,0004;14/01/2025 03:36
Técnico em Edificações;1;0,0001;14/01/2025 03:36
Zootecnista;2;0,0002;14/01/2025 03:36
Pecuarista;23;0,0022;14/01/2025 03:36
Sociólogo;17;0,0016;14/01/2025 03:36
Técnico de Mecânica;3;0,0003;14/01/2025 03:36
TAXISTA E MOTORISTA PARTICULAR;1;0,0001;14/01/2025 03:36
Técnico em Informática;9;0,0008;14/01/2025 03:36
Cantor e Compositor;43;0,004;14/01/2025 03:36
Carpinteiro, Marceneiro e Assemelhados;6;0,0006;14/01/2025 03:36
Tradutor, Intérprete e Filólogo;1;0,0001;14/01/2025 03:36
Padeiro, Confeiteiro e Assemelhados;4;0,0004;14/01/2025 03:36
Modelo;1;0,0001;14/01/2025 03:36
Cabeleireiro e Barbeiro;37;0,0035;14/01/2025 03:36
Empresário;1366;0,1285;14/01/2025 03:36
Bancário e Economiário;29;0,0027;14/01/2025 03:36
Policial Civil;68;0,0064;14/01/2025 03:36
Comunicólogo;13;0,0012;14/01/2025 03:36
Sacerdote ou Membro de Ordem ou Seita Religiosa;39;0,0037;14/01/2025 03:36
Guia de Turismo;4;0,0004;14/01/2025 03:36
Supervisor, Inspetor e Agente de Compras e Vendas;10;0,0009;14/01/2025 03:36
Trabalhador Metalúrgico e Siderúrgico;6;0,0006;14/01/2025 03:36
Agenciador de Propaganda;3;0,0003;14/01/2025 03:36
Nutricionista e Assemelhados;11;0,001;14/01/2025 03:36
Artesão;14;0,0013;14/01/2025 03:36
Petroleiro;1;0,0001;14/01/2025 03:36
Agente Postal;3;0,0003;14/01/2025 03:36
Professor e Instrutor de Formação Profissional;52;0,0049;14/01/2025 03:36
Vendedor de Comércio Varejista e Atacadista;48;0,0045;14/01/2025 03:36
Agente de Viagem;2;0,0002;14/01/2025 03:36
Químico;1;0,0001;14/01/2025 03:36
Físico;1;0,0001;14/01/2025 03:36
Comissário de Bordo;2;0,0002;14/01/2025 03:36
Tabelião;1;0,0001;14/01/2025 03:36
Diplomata;1;0,0001;14/01/2025 03:36
Senador;3;0,0003;14/01/2025 03:36
AGENTE DE VIAGEM E GUIA DE TURISMO;1;0,0001;14/01/2025 03:36
Corretor de Imóveis, Seguros, Títulos e Valores;114;0,0107;14/01/2025 03:36
Vigilante;47;0,0044;14/01/2025 03:36
Técnico de Enfermagem e Assemelhados (Exceto Enfermeiro);49;0,0046;14/01/2025 03:36
Lanterneiro e Pintor de Veículos;1;0,0001;14/01/2025 03:36
Enfermeiro;92;0,0087;14/01/2025 03:36
Serventuário de Justiça;4;0,0004;14/01/2025 03:36
Capitalista de Ativos Financeiros;1;0,0001;14/01/2025 03:36
Almoxarife;4;0,0004;14/01/2025 03:36
Faxineiro;1;0,0001;14/01/2025 03:36
Aposentado (Exceto Servidor Público);316;0,0297;14/01/2025 03:36
Técnico de Eletricidade, Eletrônica e Telecomunicações;7;0,0007;14/01/2025 03:36
Motorista Particular;59;0,0056;14/01/2025 03:36
Trabalhador de Artes Gráficas;1;0,0001;14/01/2025 03:36
Auxiliar de Laboratório;1;0,0001;14/01/2025 03:36
