Ocupação;Quantitativo;Porcentagem;Ano
Estatístico;2;0,0002;1998
Joalheiros e Ourives;4;0,0004;1998
Piloto de Aeronaves;3;0,0003;1998
Agente de Viagem e Guia de Turismo;5;0,0005;1998
Trabalhador de Usinagem de Metais;3;0,0003;1998
MEDICO;572;0,0449;2002
TECNICO CONTABILIDADE, ESTATISTICA, ECONOMIA DOMESTICA E ADMINISTRACAO;80;0,0063;2002
TECNICO DE ELETRICIDADE, ELETRONICA E TELECOMUNICACOES;56;0,0044;2002
SOCIOLOGO;18;0,0014;2002
FISCAL;21;0,0016;2002
TRABALHADOR DE FABRICACAO DE ARTEFATOS DE MADEIRA;8;0,0006;2002
SERVIDOR PUBLICO MUNICIPAL;184;0,0144;2002
TECNICO EM EDIFICACOES;6;0,0005;2002
APOSENTADO (EXCETO SERVIDOR PUBLICO);216;0,017;2002
AGENTE POSTAL;12;0,0009;2002
OPERADOR DE EQUIPAMENTO MEDICO E ODONTOLOGICO;2;0,0002;2002
FIANDEIRO, TECELAO, TINGIDOR E TRABALHADOR ASSEMELHADO;2;0,0002;2002
PADEIRO, CONFEITEIRO E TRABALHADOR ASSEMELHADO;5;0,0004;2002
PROGRAMADOR DE COMPUTADOR;3;0,0002;2002
ESCRITOR E CRITICO;11;0,0009;2002
COZINHEIRO;6;0,0005;2002
OPERADOR DE INSTALACAO DE PRODUCAO DE ENERGIA ELETRICA E NUCLEAR;2;0,0002;2002
TRABALHADOR FLORESTAL;3;0,0002;2002
GUARDADOR DE VEICULOS;1;0,0001;2002
ANALISTA DE SISTEMAS;5;0,0004;2002
CONTADOR;88;0,0069;2002
ASSISTENTE SOCIAL;22;0,0017;2002
SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;124;0,0097;2002
SECURITARIO;6;0,0005;2002
TRABALHADOR DE FABRICACAO E PREPARACAO DE ALIMENTOS E BEBIDAS;3;0,0002;2002
LEILOEIRO, AVALIADOR E ASSEMELHADOS;1;0,0001;2002
JORNALISTA E REDATOR;125;0,0098;2002
AGENTE DE SAUDE E SANITARISTA;17;0,0013;2002
CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA;25;0,002;2002
