Ocupação;Quantitativo;Porcentagem;Data de carga
Administrador;178;0,0249;23/06/2021 18:50
Engenheiro;98;0,0137;23/06/2021 18:50
Veterinário;7;0,001;23/06/2021 18:50
Servidor Público Municipal;141;0,0198;23/06/2021 18:50
Bombeiro Militar;32;0,0045;23/06/2021 18:50
Geólogo;3;0,0004;23/06/2021 18:50
Porteiro de Edifício, Ascensorista, Garagista e Zelador;8;0,0011;23/06/2021 18:50
Eletricista e Assemelhados;12;0,0017;23/06/2021 18:50
Motorista de Veículos de Transporte de Carga;8;0,0011;23/06/2021 18:50
Encanador, Soldador, Chapeador e Caldeireiro;2;0,0003;23/06/2021 18:50
Agrônomo;6;0,0008;23/06/2021 18:50
Escritor e Crítico;5;0,0007;23/06/2021 18:50
Operador de Computador;1;0,0001;23/06/2021 18:50
Advogado;482;0,0675;23/06/2021 18:50
Professor de Ensino Médio;213;0,0298;23/06/2021 18:50
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;35;0,0049;23/06/2021 18:50
Feirante, Ambulante e Mascate;1;0,0001;23/06/2021 18:50
Membro do Ministério Público;3;0,0004;23/06/2021 18:50
Atendente de Lanchonete e Restaurante;1;0,0001;23/06/2021 18:50
Técnico de Laboratório e Raios X;3;0,0004;23/06/2021 18:50
Digitador;3;0,0004;23/06/2021 18:50
Trabalhador Dos Serviços de Contabilidade, de Caixa e Assemelhados;3;0,0004;23/06/2021 18:50
Bacteriologista e Assemelhados;1;0,0001;23/06/2021 18:50
Geógrafo;1;0,0001;23/06/2021 18:50
Programador de Computador;2;0,0003;23/06/2021 18:50
Esteticista;9;0,0013;23/06/2021 18:50
Protético;4;0,0006;23/06/2021 18:50
Mecânico de Manutenção;13;0,0018;23/06/2021 18:50
Ministro de Estado;1;0,0001;23/06/2021 18:50
Despachante;4;0,0006;23/06/2021 18:50
Agente de Serviços Funerários e Embalsamador;2;0,0003;23/06/2021 18:50
Vereador;290;0,0406;23/06/2021 18:50
Auxiliar de Escritório e Assemelhados;71;0,0099;23/06/2021 18:50
Técnico Contabilidade, Estatística, Economia Doméstica e Administração;21;0,0029;23/06/2021 18:50
Ocupante de Cargo em Comissão;8;0,0011;23/06/2021 18:50
Catador de Recicláveis;1;0,0001;23/06/2021 18:50
Diretor de Estabelecimento de Ensino;3;0,0004;23/06/2021 18:50
Massagista;3;0,0004;23/06/2021 18:50
Trabalhador Rural;3;0,0004;23/06/2021 18:50
Geofísico;1;0,0001;23/06/2021 18:50
Professor de Ensino Fundamental;101;0,0142;23/06/2021 18:50
Farmacêutico;12;0,0017;23/06/2021 18:50
Representante Comercial;24;0,0034;23/06/2021 18:50
Locutor e Comentarista de Rádio e Televisão e Radialista;29;0,0041;23/06/2021 18:50
Astrônomo;1;0,0001;23/06/2021 18:50
Diretor de Empresas;20;0,0028;23/06/2021 18:50
Cientista Político;6;0,0008;23/06/2021 18:50
Serralheiro;1;0,0001;23/06/2021 18:50
Biomédico;4;0,0006;23/06/2021 18:50
Jornaleiro;1;0,0001;23/06/2021 18:50
Empregado Doméstico;6;0,0008;23/06/2021 18:50
Membro das Forças Armadas;22;0,0031;23/06/2021 18:50
Odontólogo;29;0,0041;23/06/2021 18:50
Agente de Saúde e Sanitarista;25;0,0035;23/06/2021 18:50
Relações-Públicas;2;0,0003;23/06/2021 18:50
Comerciário;31;0,0043;23/06/2021 18:50
Biólogo;15;0,0021;23/06/2021 18:50
Industrial;13;0,0018;23/06/2021 18:50
Produtor Agropecuário;11;0,0015;23/06/2021 18:50
Bibliotecário;2;0,0003;23/06/2021 18:50
Telefonista;5;0,0007;23/06/2021 18:50
Técnico de Mineração, Metalurgia e Geologia;1;0,0001;23/06/2021 18:50
Deputado;358;0,0502;23/06/2021 18:50
Comerciante;297;0,0416;23/06/2021 18:50
Motorista de Veículos de Transporte Coletivo de Passageiros;25;0,0035;23/06/2021 18:50
Servidor Público Estadual;236;0,0331;23/06/2021 18:50
Professor de Ensino Superior;109;0,0153;23/06/2021 18:50
Psicólogo;28;0,0039;23/06/2021 18:50
Motoboy;6;0,0008;23/06/2021 18:50
Técnico em Agronomia e Agrimensura;5;0,0007;23/06/2021 18:50
Fotógrafo e Assemelhados;7;0,001;23/06/2021 18:50
Trabalhador de Fabricação de Roupas;4;0,0006;23/06/2021 18:50
Securitário;1;0,0001;23/06/2021 18:50
Jornalista e Redator;93;0,013;23/06/2021 18:50
Servidor Público Federal;167;0,0234;23/06/2021 18:50
Piloto de Aviação Comercial, Navegador, Mecânico de Vôo e Assemelhados;2;0,0003;23/06/2021 18:50
Operador de Instalação de Produção de Energia Elétrica e Nuclear;2;0,0003;23/06/2021 18:50
Agricultor;45;0,0063;23/06/2021 18:50
Trabalhador de Construção Civil;19;0,0027;23/06/2021 18:50
Arquiteto;15;0,0021;23/06/2021 18:50
Ator e Diretor de Espetáculos Públicos;13;0,0018;23/06/2021 18:50
Terapeuta;1;0,0001;23/06/2021 18:50
Bombeiro Civil;3;0,0004;23/06/2021 18:50
Produtor de Espetáculos Públicos;7;0,001;23/06/2021 18:50
Estivador, Carregador e Assemelhados;3;0,0004;23/06/2021 18:50
Estudante, Bolsista, Estagiário e Assemelhados;150;0,021;23/06/2021 18:50
Artista Plástico e Assemelhados;7;0,001;23/06/2021 18:50
Publicitário;27;0,0038;23/06/2021 18:50
Pecuarista;15;0,0021;23/06/2021 18:50
Historiador;2;0,0003;23/06/2021 18:50
Técnico em Informática;12;0,0017;23/06/2021 18:50
Funileiro;2;0,0003;23/06/2021 18:50
Padeiro, Confeiteiro e Assemelhados;5;0,0007;23/06/2021 18:50
Sociólogo;7;0,001;23/06/2021 18:50
Técnico em Edificações;6;0,0008;23/06/2021 18:50
Cantor e Compositor;24;0,0034;23/06/2021 18:50
Garçom;6;0,0008;23/06/2021 18:50
Zootecnista;1;0,0001;23/06/2021 18:50
Técnico de Mecânica;2;0,0003;23/06/2021 18:50
Carpinteiro, Marceneiro e Assemelhados;4;0,0006;23/06/2021 18:50
Empresário;672;0,0942;23/06/2021 18:50
Sacerdote ou Membro de Ordem ou Seita Religiosa;31;0,0043;23/06/2021 18:50
Policial Civil;35;0,0049;23/06/2021 18:50
Cabeleireiro e Barbeiro;28;0,0039;23/06/2021 18:50
Bancário e Economiário;26;0,0036;23/06/2021 18:50
Trabalhador Metalúrgico e Siderúrgico;5;0,0007;23/06/2021 18:50
Comunicólogo;5;0,0007;23/06/2021 18:50
Nutricionista e Assemelhados;3;0,0004;23/06/2021 18:50
Trabalhador em Atividade de Processamento Químico;1;0,0001;23/06/2021 18:50
Supervisor, Inspetor e Agente de Compras e Vendas;8;0,0011;23/06/2021 18:50
Guia de Turismo;2;0,0003;23/06/2021 18:50
