Ocupação;Quantitativo;Porcentagem;Data de carga
Administrador;5684;0,0123;13/03/2023 15:28
Advogado;6539;0,0141;13/03/2023 15:28
Agenciador de Propaganda;90;0,0002;13/03/2023 15:28
Agente Administrativo;3500;0,0076;13/03/2023 15:28
Agente Postal;218;0,0005;13/03/2023 15:28
Agente de Saúde e Sanitarista;3667;0,0079;13/03/2023 15:28
Agente de Serviços Funerários e Embalsamador;98;0,0002;13/03/2023 15:28
Agente de Viagem;99;0,0002;13/03/2023 15:28
Agricultor;33338;0,0719;13/03/2023 15:28
Agrônomo;380;0,0008;13/03/2023 15:28
Alfaiate e Costureiro;314;0,0007;13/03/2023 15:28
Almoxarife;297;0,0006;13/03/2023 15:28
Analista de Sistemas;286;0,0006;13/03/2023 15:28
Antropólogo;5;0;13/03/2023 15:28
Aposentado (Exceto Servidor Público);15212;0,0328;13/03/2023 15:28
Arqueólogo;5;0;13/03/2023 15:28
Arquiteto;267;0,0006;13/03/2023 15:28
Arquivista e Museólogo;13;0;13/03/2023 15:28
Artesão;815;0,0018;13/03/2023 15:28
Artista Plástico e Assemelhados;175;0,0004;13/03/2023 15:28
Artista de Circo;37;0,0001;13/03/2023 15:28
Assistente Social;1454;0,0031;13/03/2023 15:28
Astrólogo;4;0;13/03/2023 15:28
Astrônomo;170;0,0004;13/03/2023 15:28
Atendente de Lanchonete e Restaurante;450;0,001;13/03/2023 15:28
Atleta Profissional e Técnico em Desportos;218;0,0005;13/03/2023 15:28
Ator e Diretor de Espetáculos Públicos;121;0,0003;13/03/2023 15:28
Auxiliar de Escritório e Assemelhados;4836;0,0104;13/03/2023 15:28
Auxiliar de Laboratório;235;0,0005;13/03/2023 15:28
Bacteriologista e Assemelhados;6;0;13/03/2023 15:28
Bancário e Economiário;622;0,0013;13/03/2023 15:28
Bibliotecário;51;0,0001;13/03/2023 15:28
Biomédico;107;0,0002;13/03/2023 15:28
Biólogo;188;0,0004;13/03/2023 15:28
Bombeiro Civil;152;0,0003;13/03/2023 15:28
Bombeiro Militar;270;0,0006;13/03/2023 15:28
