Ocupação;Quantitativo;Porcentagem;Data de carga
Trabalhador Dos Serviços de Contabilidade, de Caixa e Assemelhados;1;0,0002;01/03/2023 13:21
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;33;0,0055;01/03/2023 13:21
Membro do Ministério Público;3;0,0005;01/03/2023 13:21
Geógrafo;2;0,0003;01/03/2023 13:21
Técnico de Laboratório e Raios X;4;0,0007;01/03/2023 13:21
Digitador;4;0,0007;01/03/2023 13:21
Arqueólogo;1;0,0002;01/03/2023 13:21
Atendente de Lanchonete e Restaurante;1;0,0002;01/03/2023 13:21
Mecânico de Manutenção;12;0,002;01/03/2023 13:21
Despachante;4;0,0007;01/03/2023 13:21
Esteticista;5;0,0008;01/03/2023 13:21
Ministro de Estado;1;0,0002;01/03/2023 13:21
Protético;1;0,0002;01/03/2023 13:21
Fonoaudiólogo;1;0,0002;01/03/2023 13:21
Vereador;199;0,0331;01/03/2023 13:21
Auxiliar de Escritório e Assemelhados;51;0,0085;01/03/2023 13:21
Técnico Contabilidade, Estatística, Economia Doméstica e Administração;16;0,0027;01/03/2023 13:21
Ocupante de Cargo em Comissão;11;0,0018;01/03/2023 13:21
Diretor de Estabelecimento de Ensino;7;0,0012;01/03/2023 13:21
Massagista;1;0,0002;01/03/2023 13:21
Trabalhador Rural;3;0,0005;01/03/2023 13:21
Professor de Ensino Fundamental;69;0,0115;01/03/2023 13:21
Locutor e Comentarista de Rádio e Televisão e Radialista;15;0,0025;01/03/2023 13:21
Serralheiro;4;0,0007;01/03/2023 13:21
Farmacêutico;10;0,0017;01/03/2023 13:21
Representante Comercial;32;0,0053;01/03/2023 13:21
Diretor de Empresas;25;0,0042;01/03/2023 13:21
Astrônomo;3;0,0005;01/03/2023 13:21
Biomédico;2;0,0003;01/03/2023 13:21
Chaveiro;2;0,0003;01/03/2023 13:21
Trabalhador de Fabricação de Calçados e Artefatos de Couro;1;0,0002;01/03/2023 13:21
Cientista Político;1;0,0002;01/03/2023 13:21
Comerciário;22;0,0037;01/03/2023 13:21
Odontólogo;28;0,0047;01/03/2023 13:21
Produtor Agropecuário;10;0,0017;01/03/2023 13:21
Industrial;11;0,0018;01/03/2023 13:21
Agente de Saúde e Sanitarista;15;0,0025;01/03/2023 13:21
Biólogo;3;0,0005;01/03/2023 13:21
Membro das Forças Armadas;24;0,004;01/03/2023 13:21
Bibliotecário;1;0,0002;01/03/2023 13:21
Lavador de Veículos;1;0,0002;01/03/2023 13:21
Empregado Doméstico;2;0,0003;01/03/2023 13:21
Relações-Públicas;2;0,0003;01/03/2023 13:21
Marinheiro Civil, Canoeiro, Embarcado e Assemelhados;2;0,0003;01/03/2023 13:21
Telefonista;1;0,0002;01/03/2023 13:21
Comerciante;265;0,0441;01/03/2023 13:21
Deputado;385;0,064;01/03/2023 13:21
Professor de Ensino Superior;103;0,0171;01/03/2023 13:21
Servidor Público Estadual;201;0,0334;01/03/2023 13:21
Trabalhador de Fabricação de Roupas;1;0,0002;01/03/2023 13:21
Trabalhador de Fabricação e Preparação de Alimentos e Bebidas;1;0,0002;01/03/2023 13:21
Motorista de Veículos de Transporte Coletivo de Passageiros;19;0,0032;01/03/2023 13:21
Fotógrafo e Assemelhados;15;0,0025;01/03/2023 13:21
Motoboy;5;0,0008;01/03/2023 13:21
Psicólogo;26;0,0043;01/03/2023 13:21
Técnico em Agronomia e Agrimensura;4;0,0007;01/03/2023 13:21
Servidor da Justiça Eleitoral;2;0,0003;01/03/2023 13:21
Securitário;1;0,0002;01/03/2023 13:21
Servidor Público Federal;146;0,0243;01/03/2023 13:21
Jornalista e Redator;63;0,0105;01/03/2023 13:21
Ator e Diretor de Espetáculos Públicos;8;0,0013;01/03/2023 13:21
Agricultor;49;0,0081;01/03/2023 13:21
Produtor de Espetáculos Públicos;11;0,0018;01/03/2023 13:21
Arquiteto;11;0,0018;01/03/2023 13:21
Trabalhador de Construção Civil;6;0,001;01/03/2023 13:21
Demonstrador;1;0,0002;01/03/2023 13:21
Bombeiro Civil;2;0,0003;01/03/2023 13:21
Alfaiate e Costureiro;1;0,0002;01/03/2023 13:21
Terapeuta;4;0,0007;01/03/2023 13:21
Piloto de Aviação Comercial, Navegador, Mecânico de Vôo e Assemelhados;2;0,0003;01/03/2023 13:21
Trabalhador de Usinagem de Metais;2;0,0003;01/03/2023 13:21
Operador de Instalação de Produção de Energia Elétrica e Nuclear;1;0,0002;01/03/2023 13:21
