Ocupação;Quantitativo;Porcentagem;Data de carga
ADMINISTRADOR;2104;0,0057;01/03/2023 19:04
ADVOGADO;5778;0,0157;01/03/2023 19:04
AGENCIADOR DE PROPAGANDA;52;0,0001;01/03/2023 19:04
AGENTE ADMINISTRATIVO;1447;0,0039;01/03/2023 19:04
AGENTE DE SAUDE E SANITARISTA;1946;0,0053;01/03/2023 19:04
AGENTE DE SERVICOS FUNERARIOS E EMBALSAMADOR;43;0,0001;01/03/2023 19:04
AGENTE DE VIAGEM E GUIA DE TURISMO;133;0,0004;01/03/2023 19:04
AGENTE POSTAL;171;0,0005;01/03/2023 19:04
AGRICULTOR;48764;0,1321;01/03/2023 19:04
AGRONOMO;568;0,0015;01/03/2023 19:04
ALFAIATE E COSTUREIRO;417;0,0011;01/03/2023 19:04
ALMOXARIFE;231;0,0006;01/03/2023 19:04
ANALISTA DE SISTEMAS;186;0,0005;01/03/2023 19:04
ANTROPOLOGO;9;0;01/03/2023 19:04
APOSENTADO (EXCETO SERVIDOR PUBLICO);8715;0,0236;01/03/2023 19:04
ARQUITETO;202;0,0005;01/03/2023 19:04
ARTESAO;580;0,0016;01/03/2023 19:04
ARTISTA DE CIRCO;16;0;01/03/2023 19:04
ASSISTENTE SOCIAL;480;0,0013;01/03/2023 19:04
ASTROLOGO;3;0;01/03/2023 19:04
ATENDENTE DE LANCHONETE E RESTAURANTE;147;0,0004;01/03/2023 19:04
ATLETA PROFISSIONAL E TECNICO EM DESPORTOS;170;0,0005;01/03/2023 19:04
ATOR E DIRETOR DE ESPETACULOS PUBLICOS;94;0,0003;01/03/2023 19:04
AUXILIAR DE ESCRITORIO E ASSEMELHADOS;2092;0,0057;01/03/2023 19:04
AUXILIAR DE LABORATORIO;233;0,0006;01/03/2023 19:04
BACTERIOLOGISTA E TRABALHADOR ASSEMELHADO;14;0;01/03/2023 19:04
BANCARIO E ECONOMIARIO;1032;0,0028;01/03/2023 19:04
BIBLIOTECARIO, ARQUIVISTA, MUSEOLOGO E ARQUEOLOGO;64;0,0002;01/03/2023 19:04
BIOLOGO E BIOMEDICO;155;0,0004;01/03/2023 19:04
BOMBEIRO CIVIL;49;0,0001;01/03/2023 19:04
BOMBEIRO E INSTALADOR DE GAS, AGUA, ESGOTO E ASSEMELHADOS;93;0,0003;01/03/2023 19:04
BOMBEIRO MILITAR;181;0,0005;01/03/2023 19:04
CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA;2508;0,0068;01/03/2023 19:04
CANTOR E COMPOSITOR;261;0,0007;01/03/2023 19:04
CAPITALISTA DE ATIVOS FINANCEIROS;5;0;01/03/2023 19:04
CARVOEIRO;49;0,0001;01/03/2023 19:04
CATADOR DE RECICLAVEIS;52;0,0001;01/03/2023 19:04
CERAMISTA, OLEIRO;119;0,0003;01/03/2023 19:04
CHAPELEIRO;4;0;01/03/2023 19:04
CHAVEIRO;48;0,0001;01/03/2023 19:04
CIENTISTA POLITICO;11;0;01/03/2023 19:04
COBRADOR DE TRANSPORTE COLETIVO;212;0,0006;01/03/2023 19:04
COMANDANTE DE EMBARCACOES;19;0,0001;01/03/2023 19:04
COMERCIANTE;39079;0,1059;01/03/2023 19:04
COMERCIARIO;3686;0,01;01/03/2023 19:04
COMISSARIO DE BORDO;5;0;01/03/2023 19:04
COMUNICOLOGO;41;0,0001;01/03/2023 19:04
CONTADOR;1648;0,0045;01/03/2023 19:04
CONTROLADOR DE TRAFEGO AEREO;3;0;01/03/2023 19:04
COREOGRAFO E BAILARINO;25;0,0001;01/03/2023 19:04
CORRETOR DE IMOVEIS, SEGUROS, TITULOS E VALORES;1137;0,0031;01/03/2023 19:04
CORTADOR, POLIDOR E GRAVADOR DE PEDRAS;32;0,0001;01/03/2023 19:04
COVEIRO;17;0;01/03/2023 19:04
COZINHEIRO;375;0,001;01/03/2023 19:04
DECORADOR;55;0,0001;01/03/2023 19:04
DEMONSTRADOR;11;0;01/03/2023 19:04
DESENHISTA;221;0,0006;01/03/2023 19:04
DESPACHANTE;398;0,0011;01/03/2023 19:04
DETETIVE PARTICULAR;28;0,0001;01/03/2023 19:04
DIGITADOR;229;0,0006;01/03/2023 19:04
DIPLOMATA;2;0;01/03/2023 19:04
DIRETOR DE EMPRESAS;176;0,0005;01/03/2023 19:04
DIRETOR DE ESTABELECIMENTO DE ENSINO;416;0,0011;01/03/2023 19:04
DONA DE CASA;9988;0,0271;01/03/2023 19:04
ECONOMISTA;418;0,0011;01/03/2023 19:04
ECONOMISTA DOMESTICO;20;0,0001;01/03/2023 19:04
ELETRICISTA E ASSEMELHADOS;1777;0,0048;01/03/2023 19:04
EMPREGADO DOMESTICO;662;0,0018;01/03/2023 19:04
EMPRESARIO;5874;0,0159;01/03/2023 19:04
EMPRESARIO E PRODUTOR DE ESPETACULOS PUBLICOS;323;0,0009;01/03/2023 19:04
ENCANADOR,SOLDADOR,CHAPEADOR,CALDEIREIRO,MONTADOR DE ESTRUTURA METALIC;388;0,0011;01/03/2023 19:04
ENFERMEIRO;1839;0,005;01/03/2023 19:04
ENGENHEIRO;1481;0,004;01/03/2023 19:04
ENGRAXATE;7;0;01/03/2023 19:04
ESCRITOR E CRITICO;53;0,0001;01/03/2023 19:04
ESCULTOR, PINTOR, ARTISTA PLASTICO E ASSEMELHADOS;304;0,0008;01/03/2023 19:04
ESTATISTICO;8;0;01/03/2023 19:04
ESTIVADOR, CARREGADOR, EMBALADOR E ASSEMELHADOS;124;0,0003;01/03/2023 19:04
ESTOFADOR;49;0,0001;01/03/2023 19:04
ESTUDANTE,BOLSISTA, ESTAGIARIO E ASSEMELHADOS;6815;0,0185;01/03/2023 19:04
FARMACEUTICO;357;0,001;01/03/2023 19:04
FEIRANTE, AMBULANTE E MASCATE;341;0,0009;01/03/2023 19:04
FERROVIARIO;88;0,0002;01/03/2023 19:04
FIANDEIRO, TECELAO, TINGIDOR E TRABALHADOR ASSEMELHADO;37;0,0001;01/03/2023 19:04
FISCAL;411;0,0011;01/03/2023 19:04
FISCAL DE TRANSPORTE COLETIVO;44;0,0001;01/03/2023 19:04
FISICO;16;0;01/03/2023 19:04
FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL;203;0,0006;01/03/2023 19:04
FONOAUDIOLOGO;21;0,0001;01/03/2023 19:04
FOTOGRAFO E TRABALHADOR ASSEMELHADO;550;0,0015;01/03/2023 19:04
FRENTISTA;439;0,0012;01/03/2023 19:04
FUNILEIRO;286;0,0008;01/03/2023 19:04
GARCOM;343;0,0009;01/03/2023 19:04
GARI OU LIXEIRO;92;0,0002;01/03/2023 19:04
GARIMPEIRO;115;0,0003;01/03/2023 19:04
GEOFISICO;6;0;01/03/2023 19:04
GEOGRAFO;71;0,0002;01/03/2023 19:04
GEOLOGO;19;0,0001;01/03/2023 19:04
GERENTE;1029;0,0028;01/03/2023 19:04
GOVERNANTA;24;0,0001;01/03/2023 19:04
GUARDADOR DE VEICULOS;10;0;01/03/2023 19:04
HISTORIADOR;48;0,0001;01/03/2023 19:04
INDUSTRIAL;801;0,0022;01/03/2023 19:04
JARDINEIRO;171;0,0005;01/03/2023 19:04
JOALHEIROS E OURIVES;24;0,0001;01/03/2023 19:04
JORNALEIRO;48;0,0001;01/03/2023 19:04
JORNALISTA E REDATOR;613;0,0017;01/03/2023 19:04
LANTERNEIRO E PINTOR DE VEICULOS;188;0,0005;01/03/2023 19:04
LAVADOR DE VEICULOS;55;0,0001;01/03/2023 19:04
LAVANDEIRO, TINTUREIRO E TRABALHADOR ASSEMELHADO;25;0,0001;01/03/2023 19:04
LEILOEIRO, AVALIADOR E ASSEMELHADOS;12;0;01/03/2023 19:04
LEITURISTA;62;0,0002;01/03/2023 19:04
LOCUTOR E COMENTARISTA DE RADIO E TELEVISAO E RADIALISTA;1795;0,0049;01/03/2023 19:04
MAQUINISTA E FOGUISTA DE EMBARCACOES E ASSEMELHADOS;32;0,0001;01/03/2023 19:04
MARINHEIRO CIVIL, CANOEIRO, EMBARCADO E ASSEMELHADOS;109;0,0003;01/03/2023 19:04
MATEMATICO E ATUARIO;30;0,0001;01/03/2023 19:04
MECANICO DE MANUTENCAO;2488;0,0067;01/03/2023 19:04
MEDICO;2517;0,0068;01/03/2023 19:04
MEMBRO DAS FORCAS ARMADAS;291;0,0008;01/03/2023 19:04
MEMBRO DO MINISTERIO PUBLICO;8;0;01/03/2023 19:04
MESTRE E CONTRAMESTRE DE EMBARCACAO;22;0,0001;01/03/2023 19:04
METEOROLOGISTA;1;0;01/03/2023 19:04
MILITAR REFORMADO;1206;0,0033;01/03/2023 19:04
MINISTRO DO PODER JUDICIARIO E MAGISTRADO;1;0;01/03/2023 19:04
MODELO;10;0;01/03/2023 19:04
MONTADOR DE MAQUINAS;69;0,0002;01/03/2023 19:04
MOTOBOY;311;0,0008;01/03/2023 19:04
