Ocupação;Quantitativo;Porcentagem;Data de carga
Estudante, Bolsista, Estagiário e Assemelhados;230;0,0228;02/03/2023 10:08
Sociólogo;11;0,0011;02/03/2023 10:08
Delegado de Policia;54;0,0054;02/03/2023 10:08
Publicitário;35;0,0035;02/03/2023 10:08
Cantor e Compositor;10;0,001;02/03/2023 10:08
Técnico de Mecânica;7;0,0007;02/03/2023 10:08
Profissionais de Letras e de Artes;2;0,0002;02/03/2023 10:08
Comissario de Bordo;1;0,0001;02/03/2023 10:08
Técnico de Biologia;2;0,0002;02/03/2023 10:08
Porteiro de Edifício, Ascensorista, Garagista e Faxineiro;12;0,0012;02/03/2023 10:08
Proprietário de Estabelecimento Agrícola, da Pecuária e Florestal;94;0,0093;02/03/2023 10:08
Bancário e Economiário;155;0,0154;02/03/2023 10:08
Cabeleireiro, Barbeiro, Manicure, Maquilador, Esteticista e Massagista;24;0,0024;02/03/2023 10:08
Trabalhador dos Servicos de Contabilidade, de Caixa e Assemelhados;7;0,0007;02/03/2023 10:08
Comunicólogo;7;0,0007;02/03/2023 10:08
Agenciador de Propaganda;1;0,0001;02/03/2023 10:08
Vendedor de Comércio Varejista e Atacadista;176;0,0174;02/03/2023 10:08
Jornalista;117;0,0116;02/03/2023 10:08
Proprietário de Estabelecimento Industrial;75;0,0074;02/03/2023 10:08
Tabelião;5;0,0005;02/03/2023 10:08
Relações Públicas;6;0,0006;02/03/2023 10:08
Trabalhador de Fabricação de Artefatos de Madeira;9;0,0009;02/03/2023 10:08
Químico;6;0,0006;02/03/2023 10:08
Marinheiro e Assemelhados;8;0,0008;02/03/2023 10:08
Procurador d Assemelhados;14;0,0014;02/03/2023 10:08
Membros do Poder Executivo: Presidente, Ministro, Governador, Prefeito;24;0,0024;02/03/2023 10:08
Serventuário de Justiça;25;0,0025;02/03/2023 10:08
Tecnólogo;4;0,0004;02/03/2023 10:08
Membros do Poder Legislativo: Senador, Deputados e Vereador;444;0,044;02/03/2023 10:08
Técnico de Eletricidade, Eletrônica e Telecomunicações;43;0,0043;02/03/2023 10:08
Trabalhador de Artes Gráficas;6;0,0006;02/03/2023 10:08
Eletricista de Manutenção de Veículos Automotores e Aparelhos;1;0,0001;02/03/2023 10:08
Oficiais das Forças Armadas e Forças Auxiliares;1;0,0001;02/03/2023 10:08
Contador;88;0,0087;02/03/2023 10:08
Militar Reformado;37;0,0037;02/03/2023 10:08
Ocupante de Cargo de Direção e Assessoramento Superior;6;0,0006;02/03/2023 10:08
Estivador, Carregador, Embalador e Assemelhados;8;0,0008;02/03/2023 10:08
Atleta Profissional e Técnico em Desportos;7;0,0007;02/03/2023 10:08
Supervisores, Inspetor e Agente de Compras e Vendas;4;0,0004;02/03/2023 10:08
Médico;600;0,0595;02/03/2023 10:08
Professor de Ensino de Primeiro e Segundo Graus;230;0,0228;02/03/2023 10:08
Desenhista Comercial;14;0,0014;02/03/2023 10:08
Assistente Social;24;0,0024;02/03/2023 10:08
Economista;91;0,009;02/03/2023 10:08
Agente Administrativo;13;0,0013;02/03/2023 10:08
Lanterneiro e Pintor de Veículos Metálicos;9;0,0009;02/03/2023 10:08
Analista de Sistemas;18;0,0018;02/03/2023 10:08
Gerente;36;0,0036;02/03/2023 10:08
Trabalhador de Fabricação de Papel e Papelão;1;0,0001;02/03/2023 10:08
Garimpeiro;3;0,0003;02/03/2023 10:08
Proprietário de Microempresa;35;0,0035;02/03/2023 10:08
Sacerdote ou Membro de Ordens ou Seitas Religiosas;67;0,0066;02/03/2023 10:08
Fisioterapeuta e Terapeuta Ocupacional;11;0,0011;02/03/2023 10:08
Técnico de Contabilidade e de Estatística;42;0,0042;02/03/2023 10:08
Músico;13;0,0013;02/03/2023 10:08
Bombeiro e Instalador De Gás, Agua, Esgoto E Assemelhados;6;0,0006;02/03/2023 10:08
Despachante, Inclusive o Aduaneiro;10;0,001;02/03/2023 10:08
Fiscal;11;0,0011;02/03/2023 10:08
Trabalhador da Pecuária;15;0,0015;02/03/2023 10:08
Técnico de Química;4;0,0004;02/03/2023 10:08
Biólogo e Biomédico;7;0,0007;02/03/2023 10:08
Administrador;105;0,0104;02/03/2023 10:08
Enfermeiro e Nutricionista;50;0,005;02/03/2023 10:08
Engenheiro;273;0,0271;02/03/2023 10:08
Agrônomo;48;0,0048;02/03/2023 10:08
Maquinista e Foguista de Embarcações, Locomotivas e Assemelhados;4;0,0004;02/03/2023 10:08
Servidor Público Municipal;61;0,006;02/03/2023 10:08
Geólogo;9;0,0009;02/03/2023 10:08
Eletricista e Assemelhados;30;0,003;02/03/2023 10:08
Desenhista Técnico;5;0,0005;02/03/2023 10:08
Motorista de Veículos de Transporte de Carga;6;0,0006;02/03/2023 10:08
Trabalhador Florestal;1;0,0001;02/03/2023 10:08
Trabalhador de Fabricação de Calçaados e Artefatos de Couro;1;0,0001;02/03/2023 10:08
Bibliotecário, Arquivista, Museólogo E Arqueólogo;1;0,0001;02/03/2023 10:08
Advogado;853;0,0845;02/03/2023 10:08
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;79;0,0078;02/03/2023 10:08
Motorista de Veículos de Transporte de Passageiros;119;0,0118;02/03/2023 10:08
Mecânico de Manutenção, Operador de Aparelhos de Produção Industrial;22;0,0022;02/03/2023 10:08
Técnico de Laboratório e Raios X;10;0,001;02/03/2023 10:08
Geógrafo;5;0,0005;02/03/2023 10:08
Ocupante de Cargo de Direção e Assessoramento Intermediário;3;0,0003;02/03/2023 10:08
Militar Em Geral;284;0,0281;02/03/2023 10:08
Trabalhador Agrícola;110;0,0109;02/03/2023 10:08
Pensionista;17;0,0017;02/03/2023 10:08
Proprietário de Estabelecimento de Prestação de Servicos;5;0,0005;02/03/2023 10:08
Governanta de Hotel, Camareiro, Porteiro, Cozinheiro e Garcom;8;0,0008;02/03/2023 10:08
Protético;9;0,0009;02/03/2023 10:08
Mestre e Contramestre;2;0,0002;02/03/2023 10:08
Feirante;4;0,0004;02/03/2023 10:08
Trabalhador da Pesca;1;0,0001;02/03/2023 10:08
Mecanico de Manutenção de Veículos Automotores e Máquinas;31;0,0031;02/03/2023 10:08
Diretor de Estabelecimento de Ensino;6;0,0006;02/03/2023 10:08
Decorador;2;0,0002;02/03/2023 10:08
Auxiliar de Escritório e Assemelhados;51;0,0051;02/03/2023 10:08
Escultor, Pintor e Assemelhados;9;0,0009;02/03/2023 10:08
Membros do Poder Judiciário: Ministro de Tribunal Superior, Magistrado;5;0,0005;02/03/2023 10:08
Alfaiate;2;0,0002;02/03/2023 10:08
Locutor e Comentarista de Rádio e Televisão e Radialista;69;0,0068;02/03/2023 10:08
Secretário, Estenógrafo, Datilógrafo, Recepcionista, Telefonista, Etc;45;0,0045;02/03/2023 10:08
Diretor de Empresas;50;0,005;02/03/2023 10:08
Farmacêutico;14;0,0014;02/03/2023 10:08
Jornaleiro;1;0,0001;02/03/2023 10:08
Odontólogo;77;0,0076;02/03/2023 10:08
Empresário e Produtor de Espetáculos Públicos;199;0,0197;02/03/2023 10:08
Trabalhador Metalúrgico E Siderúrgico;22;0,0022;02/03/2023 10:08
Chefe Intermediário;3;0,0003;02/03/2023 10:08
Aposentado (Exceto Funcionário Público);130;0,0129;02/03/2023 10:08
Contramestre de Embarcações;1;0,0001;02/03/2023 10:08
Empregado Doméstico;2;0,0002;02/03/2023 10:08
Servidor Público Estadual;638;0,0632;02/03/2023 10:08
Proprietário de Estabelecimento Comercial;871;0,0863;02/03/2023 10:08
Professor de Ensino Superior;386;0,0382;02/03/2023 10:08
Técnico em Agronomia e Agrimensura;46;0,0046;02/03/2023 10:08
Securitário;6;0,0006;02/03/2023 10:08
Trabalhador de Fabricação e Preparação de Alimentos e Bebidas;4;0,0004;02/03/2023 10:08
Psicólogo;21;0,0021;02/03/2023 10:08
Trabalhador de Fabricação de Roupas;3;0,0003;02/03/2023 10:08
Veterinário e Zootecnista;32;0,0032;02/03/2023 10:08
Trabalhador de Construção Civil;37;0,0037;02/03/2023 10:08
Funcionário Público Civil Aposentado;44;0,0044;02/03/2023 10:08
Servidor Público Federal;121;0,012;02/03/2023 10:08
Ator e Diretor de Espetáculos Públicos;10;0,001;02/03/2023 10:08
Corretor de Imóveis, Seguros, Titulos e Valores;66;0,0065;02/03/2023 10:08
Arquiteto;16;0,0016;02/03/2023 10:08
Estatístico;2;0,0002;02/03/2023 10:08
Joalheiros e Ourives;4;0,0004;02/03/2023 10:08
Piloto de Aeronaves;3;0,0003;02/03/2023 10:08
Agente de Viagem e Guia de Turismo;5;0,0005;02/03/2023 10:08
Trabalhador de Usinagem de Metais;3;0,0003;02/03/2023 10:08
