Ocupação;Quantitativo;Porcentagem;Data de carga
Servidor Público Municipal;90;0,0171;01/03/2023 16:46
Engenheiro;114;0,0216;01/03/2023 16:46
Administrador;90;0,0171;01/03/2023 16:46
Geólogo;4;0,0008;01/03/2023 16:46
Eletricista e Assemelhados;12;0,0023;01/03/2023 16:46
Bombeiro Militar;21;0,004;01/03/2023 16:46
Escritor e Crítico;6;0,0011;01/03/2023 16:46
Motorista de Veículos de Transporte de Carga;9;0,0017;01/03/2023 16:46
Veterinário;7;0,0013;01/03/2023 16:46
Operador de Implemento de Agricultura, Pecuária e Exploração Florestal;1;0,0002;01/03/2023 16:46
Agrônomo;10;0,0019;01/03/2023 16:46
Operador de Computador;1;0,0002;01/03/2023 16:46
Trabalhador Florestal;1;0,0002;01/03/2023 16:46
Porteiro de Edifício, Ascensorista, Garagista e Zelador;1;0,0002;01/03/2023 16:46
Encanador, Soldador, Chapeador e Caldeireiro;2;0,0004;01/03/2023 16:46
Advogado;526;0,0998;01/03/2023 16:46
Feirante, Ambulante e Mascate;6;0,0011;01/03/2023 16:46
Mestre e Contramestre de Embarcação;1;0,0002;01/03/2023 16:46
Professor de Ensino Médio;122;0,0232;01/03/2023 16:46
Geógrafo;1;0,0002;01/03/2023 16:46
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;24;0,0046;01/03/2023 16:46
Programador de Computador;4;0,0008;01/03/2023 16:46
Técnico de Laboratório e Raios X;3;0,0006;01/03/2023 16:46
Trabalhador Dos Serviços de Contabilidade, de Caixa e Assemelhados;2;0,0004;01/03/2023 16:46
Digitador;2;0,0004;01/03/2023 16:46
Protético;2;0,0004;01/03/2023 16:46
Mecânico de Manutenção;10;0,0019;01/03/2023 16:46
Despachante;8;0,0015;01/03/2023 16:46
Vereador;194;0,0368;01/03/2023 16:46
Ocupante de Cargo em Comissão;11;0,0021;01/03/2023 16:46
Técnico Contabilidade, Estatística, Economia Doméstica e Administração;24;0,0046;01/03/2023 16:46
Auxiliar de Escritório e Assemelhados;16;0,003;01/03/2023 16:46
Diretor de Estabelecimento de Ensino;5;0,0009;01/03/2023 16:46
Trabalhador Rural;2;0,0004;01/03/2023 16:46
Professor de Ensino Fundamental;50;0,0095;01/03/2023 16:46
Locutor e Comentarista de Rádio e Televisão e Radialista;48;0,0091;01/03/2023 16:46
Representante Comercial;33;0,0063;01/03/2023 16:46
Farmacêutico;6;0,0011;01/03/2023 16:46
Diretor de Empresas;16;0,003;01/03/2023 16:46
Cientista Político;3;0,0006;01/03/2023 16:46
Trabalhador de Fabricação de Calçados e Artefatos de Couro;1;0,0002;01/03/2023 16:46
Serralheiro;2;0,0004;01/03/2023 16:46
Biomédico;2;0,0004;01/03/2023 16:46
Coreógrafo e Bailarino;1;0,0002;01/03/2023 16:46
Membro das Forças Armadas;18;0,0034;01/03/2023 16:46
Odontólogo;28;0,0053;01/03/2023 16:46
Comerciário;21;0,004;01/03/2023 16:46
Produtor Agropecuário;25;0,0047;01/03/2023 16:46
Biólogo;5;0,0009;01/03/2023 16:46
Industrial;11;0,0021;01/03/2023 16:46
Empregado Doméstico;2;0,0004;01/03/2023 16:46
Agente de Saúde e Sanitarista;3;0,0006;01/03/2023 16:46
Bibliotecário;2;0,0004;01/03/2023 16:46
Telefonista;2;0,0004;01/03/2023 16:46
Técnico de Mineração, Metalurgia e Geologia;1;0,0002;01/03/2023 16:46
Deputado;357;0,0678;01/03/2023 16:46
Comerciante;327;0,0621;01/03/2023 16:46
Psicólogo;9;0,0017;01/03/2023 16:46
Servidor Público Estadual;161;0,0306;01/03/2023 16:46
Motorista de Veículos de Transporte Coletivo de Passageiros;16;0,003;01/03/2023 16:46
Professor de Ensino Superior;96;0,0182;01/03/2023 16:46
Técnico em Agronomia e Agrimensura;4;0,0008;01/03/2023 16:46
Fotógrafo e Assemelhados;4;0,0008;01/03/2023 16:46
Trabalhador de Fabricação de Roupas;1;0,0002;01/03/2023 16:46
Produtor de Espetáculos Públicos;6;0,0011;01/03/2023 16:46
Servidor Público Federal;150;0,0285;01/03/2023 16:46
Jornalista e Redator;53;0,0101;01/03/2023 16:46
Arquiteto;15;0,0028;01/03/2023 16:46
Agricultor;41;0,0078;01/03/2023 16:46
Ator e Diretor de Espetáculos Públicos;8;0,0015;01/03/2023 16:46
Piloto de Aviação Comercial, Navegador, Mecânico de Vôo e Assemelhados;3;0,0006;01/03/2023 16:46
Trabalhador de Construção Civil;12;0,0023;01/03/2023 16:46
Alfaiate e Costureiro;3;0,0006;01/03/2023 16:46
Terapeuta;3;0,0006;01/03/2023 16:46
Fiandeiro, Tecelão, Tingidor e Assemelhados;1;0,0002;01/03/2023 16:46
Operador de Instalação de Produção de Energia Elétrica e Nuclear;1;0,0002;01/03/2023 16:46
Pecuarista;20;0,0038;01/03/2023 16:46
Técnico em Informática;5;0,0009;01/03/2023 16:46
Publicitário;21;0,004;01/03/2023 16:46
Cantor e Compositor;17;0,0032;01/03/2023 16:46
Estudante, Bolsista, Estagiário e Assemelhados;75;0,0142;01/03/2023 16:46
Sociólogo;11;0,0021;01/03/2023 16:46
Artista Plástico e Assemelhados;4;0,0008;01/03/2023 16:46
Técnico de Mecânica;5;0,0009;01/03/2023 16:46
Carpinteiro, Marceneiro e Assemelhados;3;0,0006;01/03/2023 16:46
Técnico em Edificações;4;0,0008;01/03/2023 16:46
Garçom;5;0,0009;01/03/2023 16:46
Técnico de Biologia;2;0,0004;01/03/2023 16:46
Funileiro;1;0,0002;01/03/2023 16:46
Tradutor, Intérprete e Filólogo;1;0,0002;01/03/2023 16:46
Padeiro, Confeiteiro e Assemelhados;2;0,0004;01/03/2023 16:46
Historiador;1;0,0002;01/03/2023 16:46
Frentista;1;0,0002;01/03/2023 16:46
Zootecnista;1;0,0002;01/03/2023 16:46
Cabeleireiro e Barbeiro;11;0,0021;01/03/2023 16:46
Empresário;411;0,078;01/03/2023 16:46
Bancário e Economiário;41;0,0078;01/03/2023 16:46
Sacerdote ou Membro de Ordem ou Seita Religiosa;44;0,0084;01/03/2023 16:46
Policial Civil;26;0,0049;01/03/2023 16:46
Trabalhador Metalúrgico e Siderúrgico;7;0,0013;01/03/2023 16:46
Supervisor, Inspetor e Agente de Compras e Vendas;2;0,0004;01/03/2023 16:46
Comunicólogo;1;0,0002;01/03/2023 16:46
Trabalhador em Atividade de Processamento Químico;2;0,0004;01/03/2023 16:46
Agenciador de Propaganda;2;0,0004;01/03/2023 16:46
Leiloeiro, Avaliador e Assemelhados;1;0,0002;01/03/2023 16:46
Professor e Instrutor de Formação Profissional;20;0,0038;01/03/2023 16:46
