Ocupação;Quantitativo;Porcentagem;Data de carga
Operador de Câmeras de Cinema e Televisão;65;0,0002;02/03/2023 09:45
PROCURADOR E ASSEMELHADOS;29;0,0001;02/03/2023 09:45
Pensionista;298;0,0008;02/03/2023 09:45
Piloto de Aeronaves;22;0,0001;02/03/2023 09:45
Porteiro de Edifício, Ascensorista, Garagista e Faxineiro;439;0,0012;02/03/2023 09:45
Professor de Ensino Superior;2963;0,008;02/03/2023 09:45
Professor de Ensino de Primeiro e Segundo Graus;19788;0,0537;02/03/2023 09:45
Profissionais de Letras e de Artes;92;0,0002;02/03/2023 09:45
Proprietário de Estabelecimento Agrícola, da Pecuária e Florestal;6095;0,0165;02/03/2023 09:45
Proprietário de Estabelecimento Comercial;33546;0,091;02/03/2023 09:45
Proprietário de Estabelecimento Industrial;1052;0,0029;02/03/2023 09:45
Proprietário de Estabelecimento de Prestação de Servicos;522;0,0014;02/03/2023 09:45
Proprietário de Imóvel, Recebendo Rendimento de Aluguel;47;0,0001;02/03/2023 09:45
Proprietário de Microempresa;2334;0,0063;02/03/2023 09:45
Protético;387;0,0011;02/03/2023 09:45
Psicólogo;253;0,0007;02/03/2023 09:45
Publicitário;373;0,001;02/03/2023 09:45
Químico;125;0,0003;02/03/2023 09:45
Relações Públicas;133;0,0004;02/03/2023 09:45
SECRETARIO, ESTENOGRAFO, DATILOGRAFO, RECEPCIONISTA, TELEFONISTA, ETC;1363;0,0037;02/03/2023 09:45
SECURITARIO;91;0,0002;02/03/2023 09:45
SERVENTUARIO DE JUSTICA;477;0,0013;02/03/2023 09:45
SERVIDOR PUBLICO ESTADUAL;9866;0,0268;02/03/2023 09:45
SERVIDOR PUBLICO FEDERAL;2249;0,0061;02/03/2023 09:45
SERVIDOR PUBLICO MUNICIPAL;18516;0,0502;02/03/2023 09:45
SUPERVISORES, INSPETOR E AGENTE DE COMPRAS E VENDAS;331;0,0009;02/03/2023 09:45
Sacerdote ou Membro de Ordens ou Seitas Religiosas;863;0,0023;02/03/2023 09:45
Sociólogo;77;0,0002;02/03/2023 09:45
TABELIAO;86;0,0002;02/03/2023 09:45
TRABALHADOR DOS SERVICOS DE CONTABILIDADE, DE CAIXA E ASSEMELHADOS;221;0,0006;02/03/2023 09:45
Tecnólogo;62;0,0002;02/03/2023 09:45
Trabalhador Agrícola;48896;0,1327;02/03/2023 09:45
Trabalhador Florestal;92;0,0002;02/03/2023 09:45
Trabalhador Metalúrgico E Siderúrgico;1137;0,0031;02/03/2023 09:45
Trabalhador da Pecuária;2257;0,0061;02/03/2023 09:45
Trabalhador da Pesca;714;0,0019;02/03/2023 09:45
Trabalhador de Artes Gráficas;210;0,0006;02/03/2023 09:45
Trabalhador de Construção Civil;7180;0,0195;02/03/2023 09:45
Trabalhador de Fabricação de Artefatos de Madeira;1143;0,0031;02/03/2023 09:45
Trabalhador de Fabricação de Calçaados e Artefatos de Couro;405;0,0011;02/03/2023 09:45
Trabalhador de Fabricação de Papel e Papelão;75;0,0002;02/03/2023 09:45
Trabalhador de Fabricação de Produtos Têxteis (Exceto Roupas);207;0,0006;02/03/2023 09:45
Trabalhador de Fabricação de Produtos de Borracha e Plástico;48;0,0001;02/03/2023 09:45
Trabalhador de Fabricação de Roupas;576;0,0016;02/03/2023 09:45
Trabalhador de Fabricação e Preparação de Alimentos e Bebidas;514;0,0014;02/03/2023 09:45
Trabalhador de Instalações de Processamento Químico;59;0,0002;02/03/2023 09:45
Trabalhador de Tratamento de Fumo e de Fabricação de Cigarros/Charutos;7;0;02/03/2023 09:45
Trabalhador de Usinagem de Metais;326;0,0009;02/03/2023 09:45
Técnico de Biologia;7;0;02/03/2023 09:45
Técnico de Contabilidade e de Estatística;1219;0,0033;02/03/2023 09:45
Técnico de Eletricidade, Eletrônica e Telecomunicações;1049;0,0028;02/03/2023 09:45
Técnico de Laboratório e Raios X;302;0,0008;02/03/2023 09:45
Técnico de Mecânica;223;0,0006;02/03/2023 09:45
Técnico de Química;104;0,0003;02/03/2023 09:45
Técnico em Agronomia e Agrimensura;1017;0,0028;02/03/2023 09:45
VENDEDOR DE COMERCIO VAREJISTA E ATACADISTA;10969;0,0298;02/03/2023 09:45
VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;3267;0,0089;02/03/2023 09:45
Veterinário e Zootecnista;398;0,0011;02/03/2023 09:45
