Ocupação;Quantitativo;Porcentagem;Data de carga
Publicitário;7;0,002;02/03/2023 10:08
Estudante, Bolsista, Estagiário e Assemelhados;47;0,0136;02/03/2023 10:08
Cantor e Compositor;5;0,0014;02/03/2023 10:08
Delegado de Policia;12;0,0035;02/03/2023 10:08
Técnico de Mecânica;3;0,0009;02/03/2023 10:08
Sociólogo;6;0,0017;02/03/2023 10:08
Profissionais de Letras e de Artes;1;0,0003;02/03/2023 10:08
Proprietário de Estabelecimento Agrícola, da Pecuária e Florestal;29;0,0084;02/03/2023 10:08
Bancário e Economiário;50;0,0145;02/03/2023 10:08
Comunicólogo;3;0,0009;02/03/2023 10:08
Cabeleireiro, Barbeiro, Manicure, Maquilador, Esteticista e Massagista;5;0,0014;02/03/2023 10:08
Vendedor de Comércio Varejista e Atacadista;43;0,0125;02/03/2023 10:08
Jornalista;54;0,0157;02/03/2023 10:08
Relações Públicas;4;0,0012;02/03/2023 10:08
Proprietário de Estabelecimento Industrial;39;0,0113;02/03/2023 10:08
Trabalhador de Fabricação de Artefatos de Madeira;1;0,0003;02/03/2023 10:08
Diplomata;2;0,0006;02/03/2023 10:08
Químico;3;0,0009;02/03/2023 10:08
Serventuário de Justiça;9;0,0026;02/03/2023 10:08
Membros do Poder Executivo: Presidente, Ministro, Governador, Prefeito;5;0,0014;02/03/2023 10:08
Procurador d Assemelhados;7;0,002;02/03/2023 10:08
Tecnólogo;2;0,0006;02/03/2023 10:08
Oficiais das Forças Armadas e Forças Auxiliares;6;0,0017;02/03/2023 10:08
Membros do Poder Legislativo: Senador, Deputados e Vereador;234;0,0678;02/03/2023 10:08
Trabalhador de Artes Gráficas;2;0,0006;02/03/2023 10:08
Técnico de Eletricidade, Eletrônica e Telecomunicações;13;0,0038;02/03/2023 10:08
Contador;29;0,0084;02/03/2023 10:08
Supervisores, Inspetor e Agente de Compras e Vendas;2;0,0006;02/03/2023 10:08
Militar Reformado;13;0,0038;02/03/2023 10:08
Ocupante de Cargo de Direção e Assessoramento Superior;2;0,0006;02/03/2023 10:08
Atleta Profissional e Técnico em Desportos;2;0,0006;02/03/2023 10:08
Estivador, Carregador, Embalador e Assemelhados;2;0,0006;02/03/2023 10:08
Professor de Ensino de Primeiro e Segundo Graus;84;0,0244;02/03/2023 10:08
Médico;195;0,0565;02/03/2023 10:08
Economista;68;0,0197;02/03/2023 10:08
Gerente;10;0,0029;02/03/2023 10:08
Analista de Sistemas;7;0,002;02/03/2023 10:08
