Ocupação;Quantitativo;Porcentagem;Ano
PROGRAMADOR DE COMPUTADOR;3;0,0006;2002
SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;50;0,0102;2002
CONTADOR;46;0,0094;2002
ASSISTENTE SOCIAL;12;0,0024;2002
ANALISTA DE SISTEMAS;10;0,002;2002
COREOGRAFO E BAILARINO;1;0,0002;2002
SECURITARIO;5;0,001;2002
TRABALHADOR DE FABRICACAO E PREPARACAO DE ALIMENTOS E BEBIDAS;1;0,0002;2002
LEILOEIRO, AVALIADOR E ASSEMELHADOS;1;0,0002;2002
PUBLICITARIO;17;0,0035;2002
JORNALISTA E REDATOR;53;0,0108;2002
CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA;16;0,0033;2002
AGENTE DE SAUDE E SANITARISTA;3;0,0006;2002
DIPLOMATA;3;0,0006;2002
COMERCIANTE;271;0,0553;2002
EMPRESARIO;315;0,0643;2002
DESPACHANTE;8;0,0016;2002
ALFAIATE E COSTUREIRO;1;0,0002;2002
MOTORISTA DE VEICULOS DE TRANSPORTE DE CARGA;10;0,002;2002
MONTADOR DE MAQUINAS;3;0,0006;2002
VIGILANTE;8;0,0016;2002
ARTESAO;2;0,0004;2002
OPERADOR DE COMPUTADOR;4;0,0008;2002
LEITURISTA;1;0,0002;2002
ESTUDANTE,BOLSISTA, ESTAGIARIO E ASSEMELHADOS;64;0,0131;2002
LOCUTOR E COMENTARISTA DE RADIO E TELEVISAO E RADIALISTA;30;0,0061;2002
MILITAR REFORMADO;41;0,0084;2002
PECUARISTA;24;0,0049;2002
REPRESENTANTE COMERCIAL;30;0,0061;2002
AUXILIAR DE ESCRITORIO E ASSEMELHADOS;13;0,0027;2002
JOALHEIROS E OURIVES;3;0,0006;2002
TRABALHADOR DE HOTELARIA;3;0,0006;2002
ALMOXARIFE;1;0,0002;2002
SENADOR, DEPUTADO E VEREADOR;307;0,0626;2002
MECANICO DE MANUTENCAO;11;0,0022;2002
PEDAGOGO;12;0,0024;2002
AGENTE ADMINISTRATIVO;17;0,0035;2002
DIRETOR DE ESTABELECIMENTO DE ENSINO;5;0,001;2002
TERAPEUTA;3;0,0006;2002
AGRONOMO;21;0,0043;2002
OPERADOR DE APARELHOS DE PRODUCAO INDUSTRIAL;5;0,001;2002
