Ocupação;Quantitativo;Porcentagem;Data de carga
Administrador;219;0,0254;13/11/2024 10:55
Engenheiro;129;0,015;13/11/2024 10:55
Bombeiro Militar;29;0,0034;13/11/2024 10:55
Eletricista e Assemelhados;22;0,0026;13/11/2024 10:55
Servidor Público Municipal;132;0,0153;13/11/2024 10:55
Operador de Implemento de Agricultura, Pecuária e Exploração Florestal;1;0,0001;13/11/2024 10:55
Encanador, Soldador, Chapeador e Caldeireiro;1;0,0001;13/11/2024 10:55
Motorista de Veículos de Transporte de Carga;18;0,0021;13/11/2024 10:55
Escritor e Crítico;11;0,0013;13/11/2024 10:55
Operador de Computador;1;0,0001;13/11/2024 10:55
Agrônomo;8;0,0009;13/11/2024 10:55
Geólogo;2;0,0002;13/11/2024 10:55
Porteiro de Edifício, Ascensorista, Garagista e Zelador;6;0,0007;13/11/2024 10:55
Magistrado;4;0,0005;13/11/2024 10:55
Veterinário;15;0,0017;13/11/2024 10:55
Trabalhador Florestal;1;0,0001;13/11/2024 10:55
Advogado;656;0,0762;13/11/2024 10:55
Trabalhador Dos Serviços de Contabilidade, de Caixa e Assemelhados;1;0,0001;13/11/2024 10:55
Professor de Ensino Médio;258;0,03;13/11/2024 10:55
Montador de Estrutura Metálica;1;0,0001;13/11/2024 10:55
Programador de Computador;2;0,0002;13/11/2024 10:55
Geógrafo;4;0,0005;13/11/2024 10:55
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;47;0,0055;13/11/2024 10:55
Feirante, Ambulante e Mascate;4;0,0005;13/11/2024 10:55
Técnico de Laboratório e Raios X;6;0,0007;13/11/2024 10:55
Atendente de Lanchonete e Restaurante;4;0,0005;13/11/2024 10:55
Despachante;5;0,0006;13/11/2024 10:55
Esteticista;11;0,0013;13/11/2024 10:55
Fonoaudiólogo;1;0,0001;13/11/2024 10:55
Mecânico de Manutenção;15;0,0017;13/11/2024 10:55
Ministro de Estado;1;0,0001;13/11/2024 10:55
Agente de Serviços Funerários e Embalsamador;1;0,0001;13/11/2024 10:55
Vereador;274;0,0318;13/11/2024 10:55
Ocupante de Cargo em Comissão;3;0,0003;13/11/2024 10:55
Catador de Recicláveis;3;0,0003;13/11/2024 10:55
Massagista;2;0,0002;13/11/2024 10:55
Auxiliar de Escritório e Assemelhados;47;0,0055;13/11/2024 10:55
Trabalhador Rural;10;0,0012;13/11/2024 10:55
Técnico Contabilidade, Estatística, Economia Doméstica e Administração;18;0,0021;13/11/2024 10:55
Decorador;1;0,0001;13/11/2024 10:55
Diretor de Estabelecimento de Ensino;5;0,0006;13/11/2024 10:55
Professor de Ensino Fundamental;122;0,0142;13/11/2024 10:55
Locutor e Comentarista de Rádio e Televisão e Radialista;19;0,0022;13/11/2024 10:55
Astrônomo;3;0,0003;13/11/2024 10:55
Representante Comercial;35;0,0041;13/11/2024 10:55
Farmacêutico;18;0,0021;13/11/2024 10:55
Diretor de Empresas;7;0,0008;13/11/2024 10:55
Biomédico;6;0,0007;13/11/2024 10:55
Serralheiro;3;0,0003;13/11/2024 10:55
Cientista Político;5;0,0006;13/11/2024 10:55
Coreógrafo e Bailarino;1;0,0001;13/11/2024 10:55
Produtor Agropecuário;19;0,0022;13/11/2024 10:55
Industrial;1;0,0001;13/11/2024 10:55
Bibliotecário;3;0,0003;13/11/2024 10:55
Odontólogo;27;0,0031;13/11/2024 10:55
Membro das Forças Armadas;30;0,0035;13/11/2024 10:55
Comerciário;25;0,0029;13/11/2024 10:55
Empregado Doméstico;11;0,0013;13/11/2024 10:55
Telefonista;3;0,0003;13/11/2024 10:55
Agente de Saúde e Sanitarista;25;0,0029;13/11/2024 10:55
Biólogo;9;0,001;13/11/2024 10:55
Relações-Públicas;3;0,0003;13/11/2024 10:55
Técnico de Mineração, Metalurgia e Geologia;1;0,0001;13/11/2024 10:55
Professor de Ensino Superior;147;0,0171;13/11/2024 10:55
Deputado;399;0,0464;13/11/2024 10:55
Servidor Público Estadual;167;0,0194;13/11/2024 10:55
Comerciante;256;0,0297;13/11/2024 10:55
Psicólogo;37;0,0043;13/11/2024 10:55
Trabalhador de Fabricação de Roupas;1;0,0001;13/11/2024 10:55
Motoboy;7;0,0008;13/11/2024 10:55
Motorista de Veículos de Transporte Coletivo de Passageiros;24;0,0028;13/11/2024 10:55
Técnico em Agronomia e Agrimensura;7;0,0008;13/11/2024 10:55
Fotógrafo e Assemelhados;9;0,001;13/11/2024 10:55
Securitário;1;0,0001;13/11/2024 10:55
Arquiteto;22;0,0026;13/11/2024 10:55
Alfaiate e Costureiro;3;0,0003;13/11/2024 10:55
Agricultor;74;0,0086;13/11/2024 10:55
Servidor Público Federal;190;0,0221;13/11/2024 10:55
Jornalista e Redator;123;0,0143;13/11/2024 10:55
Produtor de Espetáculos Públicos;13;0,0015;13/11/2024 10:55
Trabalhador de Construção Civil;10;0,0012;13/11/2024 10:55
Bombeiro Civil;4;0,0005;13/11/2024 10:55
Operador de Equipamento Médico e Odontológico;2;0,0002;13/11/2024 10:55
Operador de Instalação de Produção de Energia Elétrica e Nuclear;1;0,0001;13/11/2024 10:55
Piloto de Aviação Comercial, Navegador, Mecânico de Vôo e Assemelhados;4;0,0005;13/11/2024 10:55
Ator e Diretor de Espetáculos Públicos;16;0,0019;13/11/2024 10:55
Terapeuta;3;0,0003;13/11/2024 10:55
Artista Plástico e Assemelhados;11;0,0013;13/11/2024 10:55
Publicitário;31;0,0036;13/11/2024 10:55
Tradutor, Intérprete e Filólogo;3;0,0003;13/11/2024 10:55
Sociólogo;10;0,0012;13/11/2024 10:55
Funileiro;1;0,0001;13/11/2024 10:55
Garçom;7;0,0008;13/11/2024 10:55
Padeiro, Confeiteiro e Assemelhados;7;0,0008;13/11/2024 10:55
Cantor e Compositor;25;0,0029;13/11/2024 10:55
Estudante, Bolsista, Estagiário e Assemelhados;185;0,0215;13/11/2024 10:55
Carpinteiro, Marceneiro e Assemelhados;1;0,0001;13/11/2024 10:55
Zootecnista;1;0,0001;13/11/2024 10:55
Frentista;2;0,0002;13/11/2024 10:55
Pecuarista;19;0,0022;13/11/2024 10:55
Técnico de Mecânica;3;0,0003;13/11/2024 10:55
Técnico em Informática;3;0,0003;13/11/2024 10:55
Técnico em Edificações;1;0,0001;13/11/2024 10:55
Historiador;5;0,0006;13/11/2024 10:55
Empresário;898;0,1043;13/11/2024 10:55
Agenciador de Propaganda;1;0,0001;13/11/2024 10:55
Bancário e Economiário;29;0,0034;13/11/2024 10:55
Trabalhador Metalúrgico e Siderúrgico;6;0,0007;13/11/2024 10:55
