Ocupação;Quantitativo;Porcentagem;Data de carga
Pecuarista;5;0,0229;01/03/2023 16:46
Publicitário;1;0,0046;01/03/2023 16:46
Historiador;1;0,0046;01/03/2023 16:46
Artista Plástico e Assemelhados;1;0,0046;01/03/2023 16:46
Técnico de Mecânica;1;0,0046;01/03/2023 16:46
Padeiro, Confeiteiro e Assemelhados;2;0,0092;01/03/2023 16:46
Técnico em Informática;1;0,0046;01/03/2023 16:46
Cantor e Compositor;1;0,0046;01/03/2023 16:46
Empresário;15;0,0688;01/03/2023 16:46
Policial Civil;1;0,0046;01/03/2023 16:46
Trabalhador Metalúrgico e Siderúrgico;1;0,0046;01/03/2023 16:46
Bancário e Economiário;2;0,0092;01/03/2023 16:46
Sacerdote ou Membro de Ordem ou Seita Religiosa;1;0,0046;01/03/2023 16:46
Senador;10;0,0459;01/03/2023 16:46
Agente Postal;1;0,0046;01/03/2023 16:46
Petroleiro;2;0,0092;01/03/2023 16:46
Vendedor de Comércio Varejista e Atacadista;1;0,0046;01/03/2023 16:46
Professor e Instrutor de Formação Profissional;1;0,0046;01/03/2023 16:46
Aposentado (Exceto Servidor Público);3;0,0138;01/03/2023 16:46
Motorista Particular;1;0,0046;01/03/2023 16:46
Militar Reformado;1;0,0046;01/03/2023 16:46
Desenhista;1;0,0046;01/03/2023 16:46
Servidor Público Civil Aposentado;2;0,0092;01/03/2023 16:46
Economista;6;0,0275;01/03/2023 16:46
Médico;10;0,0459;01/03/2023 16:46
Assistente Social;2;0,0092;01/03/2023 16:46
Policial Militar;5;0,0229;01/03/2023 16:46
Analista de Sistemas;1;0,0046;01/03/2023 16:46
Cobrador de Transporte Coletivo;1;0,0046;01/03/2023 16:46
Pedagogo;2;0,0092;01/03/2023 16:46
Músico;1;0,0046;01/03/2023 16:46
Eletricista e Assemelhados;1;0,0046;01/03/2023 16:46
Servidor Público Municipal;1;0,0046;01/03/2023 16:46
Engenheiro;6;0,0275;01/03/2023 16:46
Administrador;3;0,0138;01/03/2023 16:46
Veterinário;2;0,0092;01/03/2023 16:46
Geólogo;1;0,0046;01/03/2023 16:46
Advogado;33;0,1514;01/03/2023 16:46
Professor de Ensino Médio;6;0,0275;01/03/2023 16:46
Ministro de Estado;1;0,0046;01/03/2023 16:46
Vereador;7;0,0321;01/03/2023 16:46
Trabalhador Rural;1;0,0046;01/03/2023 16:46
Técnico Contabilidade, Estatística, Economia Doméstica e Administração;1;0,0046;01/03/2023 16:46
Farmacêutico;1;0,0046;01/03/2023 16:46
Professor de Ensino Fundamental;3;0,0138;01/03/2023 16:46
Locutor e Comentarista de Rádio e Televisão e Radialista;2;0,0092;01/03/2023 16:46
Astrônomo;1;0,0046;01/03/2023 16:46
Industrial;1;0,0046;01/03/2023 16:46
Produtor Agropecuário;1;0,0046;01/03/2023 16:46
Comerciário;1;0,0046;01/03/2023 16:46
Deputado;11;0,0505;01/03/2023 16:46
Professor de Ensino Superior;9;0,0413;01/03/2023 16:46
Servidor Público Estadual;4;0,0183;01/03/2023 16:46
Comerciante;7;0,0321;01/03/2023 16:46
Jornalista e Redator;3;0,0138;01/03/2023 16:46
Servidor Público Federal;10;0,0459;01/03/2023 16:46
Agricultor;3;0,0138;01/03/2023 16:46
Trabalhador de Construção Civil;3;0,0138;01/03/2023 16:46
