Ano;Nível;Unidade da Federação;Total;Branca;Preta;Amarela;Parda;Indígena;Sem declaração
2000;UF;Rondônia;1380952;588568;63452;3094;698309;10683;16846
2000;UF;Acre;557882;168549;28083;1394;346909;8009;4939
2000;UF;Amazonas;2817252;681717;87471;9343;1884507;113391;40822
2000;UF;Roraima;324397;80387;13725;455;199661;28128;2041
2000;UF;Pará;6195965;1617015;340901;11574;4115414;37681;73380
2000;UF;Amapá;477032;126850;25543;795;313519;4972;5354
2000;UF;Tocantins;1157690;353754;82032;2592;701167;10581;7564
2000;UF;Maranhão;5657552;1512324;542834;7565;3523999;27571;43260
2000;UF;Piauí;2843428;752760;220371;5272;1836589;2664;25771
2000;UF;Ceará;7431597;2770560;305279;10373;4274359;12198;58828
2000;UF;Rio Grande do Norte;2777509;1171699;126441;2374;1454665;3168;19161
2000;UF;Paraíba;3444794;1467260;136577;2439;1801161;10088;27269
2000;UF;Pernambuco;7929154;3238329;391160;9562;4194790;34669;60644
2000;UF;Alagoas;2827856;964919;142747;2950;1681391;9074;26775
2000;UF;Sergipe;1784829;562858;111461;2909;1085409;6717;15475
2000;UF;Bahia;13085769;3297989;1704248;23796;7869770;64240;125726
2000;UF;Minas Gerais;17905134;9594370;1397199;28563;6737420;48720;98862
2000;UF;Espírito Santo;3097498;1512200;200192;3056;1354142;12746;15161
2000;UF;Rio de Janeiro;14392106;7871002;1528262;26524;4819488;35934;110896
2000;UF;São Paulo;37035456;26185687;1627267;456420;8456718;63789;245576
2000;UF;Paraná;9564643;7387842;271871;88452;1745610;31488;39380
2000;UF;Santa Catarina;5357864;4786293;142207;6130;376766;14542;31925
2000;UF;Rio Grande do Sul;10187842;8817727;527144;9656;762365;38718;32232
2000;UF;Mato Grosso do Sul;2078070;1135811;71139;16263;788797;53900;12162
2000;UF;Mato Grosso;2505245;1104962;141305;9984;1200602;29196;19196
2000;UF;Goiás;5004197;2538412;226963;12052;2176260;14110;36399
2000;UF;Distrito Federal;2051146;1008199;98462;7996;918305;7154;11029
