UF;Cor/raça;Quantitativo;Porcentagem;Data de carga
AC;Branca;14;0,4;2021-06-23 18:50:53
AC;Parda;18;0,5143;2021-06-23 18:50:53
AC;Preta;3;0,0857;2021-06-23 18:50:53
AL;Branca;30;0,7317;2021-06-23 18:50:53
AL;Parda;10;0,2439;2021-06-23 18:50:53
AL;Preta;1;0,0244;2021-06-23 18:50:53
AM;Branca;16;0,4571;2021-06-23 18:50:53
AM;Parda;18;0,5143;2021-06-23 18:50:53
AM;Preta;1;0,0286;2021-06-23 18:50:53
AP;Branca;13;0,3714;2021-06-23 18:50:53
AP;Parda;21;0,6;2021-06-23 18:50:53
AP;Preta;1;0,0286;2021-06-23 18:50:53
BA;Branca;61;0,5701;2021-06-23 18:50:53
BA;Parda;38;0,3551;2021-06-23 18:50:53
BA;Preta;8;0,0748;2021-06-23 18:50:53
CE;Branca;56;0,7887;2021-06-23 18:50:53
CE;Parda;14;0,1972;2021-06-23 18:50:53
CE;Preta;1;0,0141;2021-06-23 18:50:53
DF;Branca;27;0,7714;2021-06-23 18:50:53
DF;Parda;7;0,2;2021-06-23 18:50:53
DF;Preta;1;0,0286;2021-06-23 18:50:53
ES;Branca;31;0,6889;2021-06-23 18:50:53
ES;Indígena;1;0,0222;2021-06-23 18:50:53
ES;Parda;11;0,2444;2021-06-23 18:50:53
ES;Preta;2;0,0444;2021-06-23 18:50:53
GO;Branca;53;0,8413;2021-06-23 18:50:53
GO;Parda;9;0,1429;2021-06-23 18:50:53
GO;Preta;1;0,0159;2021-06-23 18:50:53
MA;Branca;50;0,7692;2021-06-23 18:50:53
MA;Parda;11;0,1692;2021-06-23 18:50:53
MA;Preta;4;0,0615;2021-06-23 18:50:53
MG;Branca;113;0,837;2021-06-23 18:50:53
MG;Parda;19;0,1407;2021-06-23 18:50:53
MG;Preta;3;0,0222;2021-06-23 18:50:53
MS;Branca;27;0,7714;2021-06-23 18:50:53
MS;Parda;6;0,1714;2021-06-23 18:50:53
MS;Preta;2;0,0571;2021-06-23 18:50:53
MT;Amarela;1;0,027;2021-06-23 18:50:53
MT;Branca;27;0,7297;2021-06-23 18:50:53
MT;Parda;9;0,2432;2021-06-23 18:50:53
PA;Branca;32;0,5246;2021-06-23 18:50:53
PA;Parda;27;0,4426;2021-06-23 18:50:53
PA;Preta;2;0,0328;2021-06-23 18:50:53
PB;Branca;38;0,7451;2021-06-23 18:50:53
PB;Parda;12;0,2353;2021-06-23 18:50:53
PB;Preta;1;0,0196;2021-06-23 18:50:53
PE;Branca;46;0,5823;2021-06-23 18:50:53
PE;Parda;30;0,3797;2021-06-23 18:50:53
PE;Preta;3;0,038;2021-06-23 18:50:53
PI;Amarela;1;0,0222;2021-06-23 18:50:53
PI;Branca;31;0,6889;2021-06-23 18:50:53
PI;Parda;12;0,2667;2021-06-23 18:50:53
PI;Preta;1;0,0222;2021-06-23 18:50:53
PR;Branca;81;0,9101;2021-06-23 18:50:53
PR;Parda;8;0,0899;2021-06-23 18:50:53
RJ;Branca;97;0,8151;2021-06-23 18:50:53
RJ;Parda;18;0,1513;2021-06-23 18:50:53
RJ;Preta;4;0,0336;2021-06-23 18:50:53
RN;Branca;31;0,8857;2021-06-23 18:50:53
RN;Parda;3;0,0857;2021-06-23 18:50:53
RN;Preta;1;0,0286;2021-06-23 18:50:53
RO;Amarela;1;0,0286;2021-06-23 18:50:53
RO;Branca;19;0,5429;2021-06-23 18:50:53
RO;Parda;14;0,4;2021-06-23 18:50:53
RO;Preta;1;0,0286;2021-06-23 18:50:53
RR;Branca;20;0,5714;2021-06-23 18:50:53
RR;Parda;13;0,3714;2021-06-23 18:50:53
RR;Preta;2;0,0571;2021-06-23 18:50:53
RS;Branca;88;0,9888;2021-06-23 18:50:53
RS;Parda;1;0,0112;2021-06-23 18:50:53
SC;Branca;61;1;2021-06-23 18:50:53
SE;Branca;27;0,7297;2021-06-23 18:50:53
SE;Parda;8;0,2162;2021-06-23 18:50:53
SE;Preta;2;0,0541;2021-06-23 18:50:53
SP;Amarela;1;0,0059;2021-06-23 18:50:53
SP;Branca;157;0,929;2021-06-23 18:50:53
SP;Parda;5;0,0296;2021-06-23 18:50:53
SP;Preta;6;0,0355;2021-06-23 18:50:53
TO;Branca;26;0,7027;2021-06-23 18:50:53
TO;Parda;11;0,2973;2021-06-23 18:50:53
