UF;Cor/raça;Quantitativo;Porcentagem;Data de carga
AC;Amarela;24;0,0104;2023-03-13 15:28:45
AC;Branca;352;0,1522;2023-03-13 15:28:45
AC;Indígena;60;0,026;2023-03-13 15:28:45
AC;Não divulgável;2;0,0009;2023-03-13 15:39:09
AC;Parda;1736;0,7509;2023-03-13 15:28:45
AC;Preta;138;0,0597;2023-03-13 15:28:45
AL;Amarela;39;0,0054;2023-03-13 15:28:45
AL;Branca;2090;0,2875;2023-03-13 15:28:45
AL;Indígena;21;0,0029;2023-03-13 15:28:45
AL;Não divulgável;1;0,0001;2023-03-13 15:39:09
AL;Parda;4736;0,6515;2023-03-13 15:28:45
AL;Preta;382;0,0526;2023-03-13 15:28:45
AM;Amarela;63;0,0066;2023-03-13 15:28:45
AM;Branca;1483;0,1552;2023-03-13 15:28:45
AM;Indígena;355;0,0372;2023-03-13 15:28:45
AM;Parda;7267;0,7605;2023-03-13 15:28:45
AM;Preta;387;0,0405;2023-03-13 15:28:45
AP;Amarela;5;0,0027;2023-03-13 15:28:45
AP;Branca;416;0,2216;2023-03-13 15:28:45
AP;Indígena;12;0,0064;2023-03-13 15:28:45
AP;Parda;1237;0,659;2023-03-13 15:28:45
AP;Preta;207;0,1103;2023-03-13 15:28:45
BA;Amarela;142;0,0039;2023-03-13 15:28:45
BA;Branca;7596;0,2064;2023-03-13 15:28:45
BA;Indígena;87;0,0024;2023-03-13 15:28:45
BA;Não divulgável;1;0;2023-03-13 15:39:09
BA;Parda;23225;0,631;2023-03-13 15:28:45
BA;Preta;5756;0,1564;2023-03-13 15:28:45
CE;Amarela;80;0,0054;2023-03-13 15:28:45
CE;Branca;4739;0,3177;2023-03-13 15:28:45
CE;Indígena;42;0,0028;2023-03-13 15:28:45
CE;Não divulgável;7;0,0005;2023-03-13 15:39:09
CE;Parda;9321;0,6249;2023-03-13 15:28:45
CE;Preta;727;0,0487;2023-03-13 15:28:45
ES;Amarela;40;0,0038;2023-03-13 15:28:45
ES;Branca;5264;0,5031;2023-03-13 15:28:45
ES;Indígena;25;0,0024;2023-03-13 15:28:45
