UF;Cor/raça;Quantitativo;Porcentagem;Data de carga
AC;Amarela;5;0,0183;2023-03-13 15:28:45
AC;Branca;42;0,1538;2023-03-13 15:28:45
AC;Indígena;9;0,033;2023-03-13 15:28:45
AC;Parda;205;0,7509;2023-03-13 15:28:45
AC;Preta;12;0,044;2023-03-13 15:28:45
AL;Amarela;7;0,0055;2023-03-13 15:28:45
AL;Branca;462;0,3615;2023-03-13 15:28:45
AL;Indígena;5;0,0039;2023-03-13 15:28:45
AL;Parda;760;0,5947;2023-03-13 15:28:45
AL;Preta;44;0,0344;2023-03-13 15:28:45
AM;Amarela;7;0,0083;2023-03-13 15:28:45
AM;Branca;180;0,2133;2023-03-13 15:28:45
AM;Indígena;30;0,0355;2023-03-13 15:28:45
AM;Parda;603;0,7145;2023-03-13 15:28:45
AM;Preta;24;0,0284;2023-03-13 15:28:45
AP;Branca;46;0,23;2023-03-13 15:28:45
AP;Indígena;2;0,01;2023-03-13 15:28:45
AP;Parda;132;0,66;2023-03-13 15:28:45
AP;Preta;20;0,1;2023-03-13 15:28:45
BA;Amarela;20;0,0037;2023-03-13 15:28:45
BA;Branca;1498;0,2758;2023-03-13 15:28:45
BA;Indígena;14;0,0026;2023-03-13 15:28:45
BA;Parda;3363;0,6192;2023-03-13 15:28:45
BA;Preta;536;0,0987;2023-03-13 15:28:45
CE;Amarela;13;0,0051;2023-03-13 15:28:45
CE;Branca;1028;0,4047;2023-03-13 15:28:45
CE;Indígena;3;0,0012;2023-03-13 15:28:45
CE;Parda;1434;0,5646;2023-03-13 15:28:45
CE;Preta;62;0,0244;2023-03-13 15:28:45
ES;Amarela;5;0,005;2023-03-13 15:28:45
ES;Branca;650;0,6487;2023-03-13 15:28:45
ES;Indígena;1;0,001;2023-03-13 15:28:45
ES;Parda;291;0,2904;2023-03-13 15:28:45
ES;Preta;55;0,0549;2023-03-13 15:28:45
GO;Amarela;34;0,0114;2023-03-13 15:28:45
GO;Branca;1440;0,4813;2023-03-13 15:28:45
GO;Indígena;1;0,0003;2023-03-13 15:28:45
GO;Não divulgável;1;0,0003;2023-03-13 15:39:09
GO;Parda;1363;0,4555;2023-03-13 15:28:45
GO;Preta;153;0,0511;2023-03-13 15:28:45
MA;Amarela;16;0,0057;2023-03-13 15:28:45
MA;Branca;859;0,3042;2023-03-13 15:28:45
MA;Indígena;5;0,0018;2023-03-13 15:28:45
MA;Não divulgável;3;0,0011;2023-03-13 15:39:09
MA;Parda;1751;0,62;2023-03-13 15:28:45
