UF;Cor/raça;Quantitativo;Porcentagem;Data de carga
MA;Preta;190;0,0673;2023-03-13 15:28:45
MG;Amarela;39;0,0038;2023-03-13 15:28:45
MG;Branca;6139;0,6052;2023-03-13 15:28:45
MG;Indígena;10;0,001;2023-03-13 15:28:45
MG;Parda;3419;0,3371;2023-03-13 15:28:45
MG;Preta;536;0,0528;2023-03-13 15:28:45
MS;Amarela;6;0,006;2023-03-13 15:28:45
MS;Branca;663;0,6623;2023-03-13 15:28:45
MS;Indígena;13;0,013;2023-03-13 15:28:45
MS;Parda;281;0,2807;2023-03-13 15:28:45
MS;Preta;38;0,038;2023-03-13 15:28:45
MT;Amarela;17;0,0101;2023-03-13 15:28:45
MT;Branca;805;0,478;2023-03-13 15:28:45
MT;Indígena;8;0,0048;2023-03-13 15:28:45
MT;Parda;742;0,4406;2023-03-13 15:28:45
MT;Preta;112;0,0665;2023-03-13 15:28:45
PA;Amarela;8;0,004;2023-03-13 15:28:45
PA;Branca;501;0,248;2023-03-13 15:28:45
PA;Indígena;7;0,0035;2023-03-13 15:28:45
PA;Parda;1376;0,6812;2023-03-13 15:28:45
PA;Preta;128;0,0634;2023-03-13 15:28:45
PB;Amarela;16;0,006;2023-03-13 15:28:45
PB;Branca;1251;0,4723;2023-03-13 15:28:45
PB;Indígena;13;0,0049;2023-03-13 15:28:45
PB;Parda;1262;0,4764;2023-03-13 15:28:45
PB;Preta;107;0,0404;2023-03-13 15:28:45
PE;Amarela;8;0,0032;2023-03-13 15:28:45
PE;Branca;1134;0,4562;2023-03-13 15:28:45
PE;Indígena;18;0,0072;2023-03-13 15:28:45
PE;Parda;1200;0,4827;2023-03-13 15:28:45
PE;Preta;126;0,0507;2023-03-13 15:28:45
PI;Amarela;14;0,0054;2023-03-13 15:28:45
PI;Branca;842;0,325;2023-03-13 15:28:45
PI;Parda;1596;0,616;2023-03-13 15:28:45
PI;Preta;139;0,0536;2023-03-13 15:28:45
PR;Amarela;25;0,0054;2023-03-13 15:28:45
PR;Branca;4008;0,8588;2023-03-13 15:28:45
PR;Indígena;1;0,0002;2023-03-13 15:28:45
PR;Parda;513;0,1099;2023-03-13 15:28:45
PR;Preta;120;0,0257;2023-03-13 15:28:45
RJ;Amarela;6;0,0045;2023-03-13 15:28:45
RJ;Branca;962;0,7288;2023-03-13 15:28:45
RJ;Parda;280;0,2121;2023-03-13 15:28:45
RJ;Preta;72;0,0545;2023-03-13 15:28:45
RN;Amarela;12;0,0061;2023-03-13 15:28:45
RN;Branca;1146;0,5805;2023-03-13 15:28:45
RN;Indígena;1;0,0005;2023-03-13 15:28:45
RN;Parda;740;0,3749;2023-03-13 15:28:45
RN;Preta;75;0,038;2023-03-13 15:28:45
RO;Amarela;8;0,0127;2023-03-13 15:28:45
RO;Branca;281;0,4453;2023-03-13 15:28:45
RO;Indígena;2;0,0032;2023-03-13 15:28:45
RO;Parda;294;0,4659;2023-03-13 15:28:45
RO;Preta;46;0,0729;2023-03-13 15:28:45
RR;Amarela;1;0,0055;2023-03-13 15:28:45
RR;Branca;46;0,2514;2023-03-13 15:28:45
RR;Indígena;13;0,071;2023-03-13 15:28:45
RR;Parda;116;0,6339;2023-03-13 15:28:45
RR;Preta;7;0,0383;2023-03-13 15:28:45
RS;Branca;5663;0,9624;2023-03-13 15:28:45
RS;Indígena;15;0,0025;2023-03-13 15:28:45
RS;Parda;126;0,0214;2023-03-13 15:28:45
RS;Preta;80;0,0136;2023-03-13 15:28:45
SC;Amarela;5;0,0014;2023-03-13 15:28:45
SC;Branca;3316;0,954;2023-03-13 15:28:45
SC;Indígena;4;0,0012;2023-03-13 15:28:45
SC;Parda;132;0,038;2023-03-13 15:28:45
SC;Preta;19;0,0055;2023-03-13 15:28:45
SE;Amarela;11;0,0117;2023-03-13 15:28:45
SE;Branca;259;0,2752;2023-03-13 15:28:45
SE;Parda;631;0,6706;2023-03-13 15:28:45
SE;Preta;40;0,0425;2023-03-13 15:28:45
SP;Amarela;55;0,0067;2023-03-13 15:28:45
SP;Branca;6800;0,834;2023-03-13 15:28:45
SP;Indígena;4;0,0005;2023-03-13 15:28:45
SP;Não divulgável;2;0,0002;2023-03-13 15:39:09
SP;Parda;1022;0,1254;2023-03-13 15:28:45
SP;Preta;270;0,0331;2023-03-13 15:28:45
TO;Amarela;25;0,0159;2023-03-13 15:28:45
TO;Branca;397;0,2517;2023-03-13 15:28:45
TO;Indígena;5;0,0032;2023-03-13 15:28:45
TO;Parda;1010;0,6405;2023-03-13 15:28:45
TO;Preta;140;0,0888;2023-03-13 15:28:45
