UF;Cor/raça;Quantitativo;Porcentagem;Data de carga
AC;Amarela;6;0,0097;2021-06-23 18:50:53
AC;Branca;114;0,1848;2021-06-23 18:50:53
AC;Indígena;3;0,0049;2021-06-23 18:50:53
AC;Parda;441;0,7147;2021-06-23 18:50:53
AC;Preta;53;0,0859;2021-06-23 18:50:53
AL;Amarela;2;0,0042;2021-06-23 18:50:53
AL;Branca;187;0,3904;2021-06-23 18:50:53
AL;Indígena;1;0,0021;2021-06-23 18:50:53
AL;Parda;263;0,5491;2021-06-23 18:50:53
AL;Preta;26;0,0543;2021-06-23 18:50:53
AM;Branca;233;0,307;2021-06-23 18:50:53
AM;Indígena;9;0,0119;2021-06-23 18:50:53
AM;Parda;473;0,6232;2021-06-23 18:50:53
AM;Preta;44;0,058;2021-06-23 18:50:53
AP;Amarela;3;0,0055;2021-06-23 18:50:53
AP;Branca;179;0,3278;2021-06-23 18:50:53
AP;Indígena;3;0,0055;2021-06-23 18:50:53
AP;Parda;296;0,5421;2021-06-23 18:50:53
AP;Preta;65;0,119;2021-06-23 18:50:53
BA;Amarela;3;0,0027;2021-06-23 18:50:53
BA;Branca;326;0,2983;2021-06-23 18:50:53
BA;Indígena;9;0,0082;2021-06-23 18:50:53
BA;Parda;548;0,5014;2021-06-23 18:50:53
BA;Preta;207;0,1894;2021-06-23 18:50:53
BR;Branca;19;0,7917;2023-10-19 16:17:44
BR;Parda;1;0,0417;2023-10-19 16:17:44
BR;Preta;4;0,1667;2023-10-19 16:17:44
CE;Amarela;3;0,0034;2021-06-23 18:50:53
CE;Branca;429;0,4903;2021-06-23 18:50:53
CE;Indígena;3;0,0034;2021-06-23 18:50:53
CE;Parda;393;0,4491;2021-06-23 18:50:53
CE;Preta;47;0,0537;2021-06-23 18:50:53
DF;Amarela;1;0,0008;2021-06-23 18:50:53
DF;Branca;623;0,5187;2021-06-23 18:50:53
DF;Indígena;2;0,0017;2021-06-23 18:50:53
DF;Parda;453;0,3772;2021-06-23 18:50:53
DF;Preta;122;0,1016;2021-06-23 18:50:53
ES;Branca;439;0,5543;2021-06-23 18:50:53
ES;Indígena;3;0,0038;2021-06-23 18:50:53
ES;Parda;261;0,3295;2021-06-23 18:50:53
ES;Preta;89;0,1124;2021-06-23 18:50:53
GO;Amarela;3;0,0028;2021-06-23 18:50:53
GO;Branca;603;0,5689;2021-06-23 18:50:53
GO;Indígena;3;0,0028;2021-06-23 18:50:53
GO;Parda;392;0,3698;2021-06-23 18:50:53
GO;Preta;59;0,0557;2021-06-23 18:50:53
MA;Amarela;2;0,0022;2021-06-23 18:50:53
MA;Branca;374;0,4179;2021-06-23 18:50:53
MA;Parda;372;0,4156;2021-06-23 18:50:53
MA;Preta;147;0,1642;2021-06-23 18:50:53
MG;Amarela;17;0,0087;2021-06-23 18:50:53
MG;Branca;1120;0,5764;2021-06-23 18:50:53
MG;Parda;611;0,3145;2021-06-23 18:50:53
MG;Preta;195;0,1004;2021-06-23 18:50:53
MS;Amarela;1;0,0017;2021-06-23 18:50:53
MS;Branca;361;0,6047;2021-06-23 18:50:53
MS;Indígena;7;0,0117;2021-06-23 18:50:53
MS;Parda;193;0,3233;2021-06-23 18:50:53
MS;Preta;35;0,0586;2021-06-23 18:50:53
MT;Amarela;2;0,0041;2021-06-23 18:50:53
MT;Branca;247;0,5093;2021-06-23 18:50:53
MT;Indígena;3;0,0062;2021-06-23 18:50:53
MT;Parda;182;0,3753;2021-06-23 18:50:53
MT;Preta;51;0,1052;2021-06-23 18:50:53
PA;Amarela;10;0,0096;2021-06-23 18:50:53
PA;Branca;313;0,2992;2021-06-23 18:50:53
PA;Indígena;6;0,0057;2021-06-23 18:50:53
PA;Parda;625;0,5975;2021-06-23 18:50:53
PA;Preta;92;0,088;2021-06-23 18:50:53
PB;Branca;309;0,53;2021-06-23 18:50:53
PB;Parda;243;0,4168;2021-06-23 18:50:53
PB;Preta;31;0,0532;2021-06-23 18:50:53
PE;Amarela;10;0,0132;2021-06-23 18:50:53
PE;Branca;311;0,4114;2021-06-23 18:50:53
PE;Indígena;3;0,004;2021-06-23 18:50:53
PE;Parda;382;0,5053;2021-06-23 18:50:53
PE;Preta;50;0,0661;2021-06-23 18:50:53
PI;Amarela;5;0,0124;2021-06-23 18:50:53
PI;Branca;147;0,3648;2021-06-23 18:50:53
PI;Indígena;4;0,0099;2021-06-23 18:50:53
PI;Parda;210;0,5211;2021-06-23 18:50:53
PI;Preta;37;0,0918;2021-06-23 18:50:53
PR;Branca;1021;0,8261;2021-06-23 18:50:53
PR;Indígena;2;0,0016;2021-06-23 18:50:53
PR;Parda;138;0,1117;2021-06-23 18:50:53
PR;Preta;75;0,0607;2021-06-23 18:50:53
RJ;Amarela;1;0,0003;2021-06-23 18:50:53
RJ;Branca;1754;0,5554;2021-06-23 18:50:53
RJ;Indígena;3;0,0009;2021-06-23 18:50:53
RJ;Parda;1013;0,3208;2021-06-23 18:50:53
RJ;Preta;387;0,1225;2021-06-23 18:50:53
RN;Amarela;2;0,005;2021-06-23 18:50:53
RN;Branca;265;0,6592;2021-06-23 18:50:53
RN;Indígena;1;0,0025;2021-06-23 18:50:53
RN;Parda;101;0,2512;2021-06-23 18:50:53
RN;Preta;33;0,0821;2021-06-23 18:50:53
RO;Amarela;5;0,0088;2021-06-23 18:50:53
RO;Branca;226;0,3986;2021-06-23 18:50:53
RO;Indígena;2;0,0035;2021-06-23 18:50:53
RO;Parda;278;0,4903;2021-06-23 18:50:53
RO;Preta;56;0,0988;2021-06-23 18:50:53
RR;Amarela;1;0,0019;2021-06-23 18:50:53
RR;Branca;203;0,378;2021-06-23 18:50:53
RR;Indígena;7;0,013;2021-06-23 18:50:53
RR;Parda;301;0,5605;2021-06-23 18:50:53
RR;Preta;25;0,0466;2021-06-23 18:50:53
RS;Branca;996;0,9154;2021-06-23 18:50:53
RS;Indígena;2;0,0018;2021-06-23 18:50:53
RS;Parda;36;0,0331;2021-06-23 18:50:53
RS;Preta;54;0,0496;2021-06-23 18:50:53
SC;Branca;614;0,9083;2021-06-23 18:50:53
