UF;Cor/raça;Quantitativo;Porcentagem;Data de carga
RN;Indígena;1;0,0005;2025-05-19 16:30:25
TO;Amarela;9;0,0056;2025-05-19 16:30:25
TO;Indígena;6;0,0038;2025-05-19 16:30:25
AC;Preta;12;0,0421;2025-05-19 16:30:25
CE;Branca;1084;0,4244;2025-05-19 16:30:25
GO;Indígena;1;0,0003;2025-05-19 16:30:25
GO;Não Informado;30;0,0103;2025-05-19 16:30:25
MS;Indígena;15;0,0149;2025-05-19 16:30:25
MT;Indígena;12;0,0071;2025-05-19 16:30:25
PR;Não Informado;36;0,0078;2025-05-19 16:30:25
BA;Branca;1352;0,2494;2025-05-19 16:30:25
MG;Indígena;17;0,0017;2025-05-19 16:30:25
CE;Não Informado;19;0,0074;2025-05-19 16:30:25
PA;Amarela;6;0,003;2025-05-19 16:30:25
RS;Branca;5466;0,9286;2025-05-19 16:30:25
PE;Indígena;33;0,0131;2025-05-19 16:30:25
PE;Não Informado;26;0,0104;2025-05-19 16:30:25
SE;Branca;267;0,2865;2025-05-19 16:30:25
SE;Preta;66;0,0708;2025-05-19 16:30:25
SP;Branca;6275;0,7576;2025-05-19 16:30:25
TO;Parda;1025;0,6434;2025-05-19 16:30:25
AL;Preta;45;0,0348;2025-05-19 16:30:25
RS;Indígena;17;0,0029;2025-05-19 16:30:25
MG;Branca;5560;0,544;2025-05-19 16:30:25
RJ;Parda;317;0,2294;2025-05-19 16:30:25
SP;Preta;446;0,0538;2025-05-19 16:30:25
BA;Indígena;17;0,0031;2025-05-19 16:30:25
ES;Branca;607;0,5939;2025-05-19 16:30:25
ES;Não Informado;3;0,0029;2025-05-19 16:30:25
MG;Não Informado;60;0,0059;2025-05-19 16:30:25
MG;Parda;3759;0,3678;2025-05-19 16:30:25
PB;Amarela;10;0,0038;2025-05-19 16:30:25
TO;Não Informado;10;0,0063;2025-05-19 16:30:25
TO;Preta;205;0,1287;2025-05-19 16:30:25
AC;Branca;55;0,193;2025-05-19 16:30:25
AP;Preta;23;0,1117;2025-05-19 16:30:25
PI;Não Informado;5;0,0019;2025-05-19 16:30:25
