UF;Cor/raça;Quantitativo;Porcentagem;Data de carga
AC;Amarela;4;0,0147;2025-01-22 15:04:00
AC;Branca;44;0,1612;2025-01-22 15:04:00
AC;Indígena;9;0,033;2025-01-22 15:04:00
AC;Não Informado;1;0,0037;2025-01-22 15:04:00
AC;Parda;199;0,7289;2025-01-22 15:04:00
AC;Preta;16;0,0586;2025-01-22 15:04:00
AL;Amarela;4;0,0031;2025-01-22 15:04:00
AL;Branca;521;0,4051;2025-01-22 15:04:00
AL;Indígena;5;0,0039;2025-01-22 15:04:00
AL;Não Informado;9;0,007;2025-01-22 15:04:00
AL;Parda;708;0,5505;2025-01-22 15:04:00
AL;Preta;39;0,0303;2025-01-22 15:04:00
AM;Amarela;1;0,0012;2025-01-22 15:04:00
AM;Branca;169;0,197;2025-01-22 15:04:00
AM;Indígena;38;0,0443;2025-01-22 15:04:00
AM;Não Informado;5;0,0058;2025-01-22 15:04:00
AM;Parda;621;0,7238;2025-01-22 15:04:00
AM;Preta;24;0,028;2025-01-22 15:04:00
AP;Branca;39;0,1912;2025-01-22 15:04:00
AP;Indígena;2;0,0098;2025-01-22 15:04:00
AP;Não Informado;3;0,0147;2025-01-22 15:04:00
AP;Parda;141;0,6912;2025-01-22 15:04:00
AP;Preta;19;0,0931;2025-01-22 15:04:00
BA;Amarela;36;0,0066;2025-01-22 15:04:00
BA;Branca;1285;0,2359;2025-01-22 15:04:00
BA;Indígena;9;0,0017;2025-01-22 15:04:00
BA;Não Informado;84;0,0154;2025-01-22 15:04:00
BA;Parda;3348;0,6147;2025-01-22 15:04:00
BA;Preta;685;0,1258;2025-01-22 15:04:00
CE;Amarela;8;0,0031;2025-01-22 15:04:00
CE;Branca;984;0,3868;2025-01-22 15:04:00
CE;Indígena;3;0,0012;2025-01-22 15:04:00
CE;Não Informado;20;0,0079;2025-01-22 15:04:00
CE;Parda;1452;0,5708;2025-01-22 15:04:00
CE;Preta;77;0,0303;2025-01-22 15:04:00
ES;Amarela;4;0,004;2025-01-22 15:04:00
ES;Branca;583;0,5795;2025-01-22 15:04:00
ES;Indígena;1;0,001;2025-01-22 15:04:00
ES;Não Informado;23;0,0229;2025-01-22 15:04:00
ES;Parda;326;0,3241;2025-01-22 15:04:00
ES;Preta;69;0,0686;2025-01-22 15:04:00
GO;Amarela;20;0,0067;2025-01-22 15:04:00
GO;Branca;1334;0,4441;2025-01-22 15:04:00
GO;Indígena;1;0,0003;2025-01-22 15:04:00
GO;Não Informado;21;0,007;2025-01-22 15:04:00
GO;Parda;1461;0,4864;2025-01-22 15:04:00
GO;Preta;167;0,0556;2025-01-22 15:04:00
MA;Amarela;12;0,0042;2025-01-22 15:04:00
MA;Branca;842;0,2947;2025-01-22 15:04:00
MA;Indígena;8;0,0028;2025-01-22 15:04:00
MA;Não Informado;39;0,0137;2025-01-22 15:04:00
MA;Parda;1738;0,6083;2025-01-22 15:04:00
MA;Preta;218;0,0763;2025-01-22 15:04:00
MG;Amarela;36;0,0035;2025-01-22 15:04:00
MG;Branca;5758;0,5666;2025-01-22 15:04:00
MG;Indígena;9;0,0009;2025-01-22 15:04:00
MG;Não Informado;107;0,0105;2025-01-22 15:04:00
MG;Parda;3579;0,3522;2025-01-22 15:04:00
MG;Preta;673;0,0662;2025-01-22 15:04:00
MS;Amarela;8;0,008;2025-01-22 15:04:00
MS;Branca;614;0,6158;2025-01-22 15:04:00
MS;Indígena;13;0,013;2025-01-22 15:04:00
MS;Não Informado;15;0,015;2025-01-22 15:04:00
MS;Parda;294;0,2949;2025-01-22 15:04:00
MS;Preta;53;0,0532;2025-01-22 15:04:00
MT;Amarela;12;0,0072;2025-01-22 15:04:00
MT;Branca;736;0,4386;2025-01-22 15:04:00
MT;Indígena;11;0,0066;2025-01-22 15:04:00
MT;Não Informado;6;0,0036;2025-01-22 15:04:00
MT;Parda;804;0,4791;2025-01-22 15:04:00
MT;Preta;109;0,065;2025-01-22 15:04:00
PA;Amarela;7;0,0034;2025-01-22 15:04:00
PA;Branca;460;0,225;2025-01-22 15:04:00
PA;Indígena;8;0,0039;2025-01-22 15:04:00
PA;Não Informado;25;0,0122;2025-01-22 15:04:00
PA;Parda;1393;0,6815;2025-01-22 15:04:00
PA;Preta;151;0,0739;2025-01-22 15:04:00
PB;Amarela;17;0,0064;2025-01-22 15:04:00
PB;Branca;1086;0,4103;2025-01-22 15:04:00
PB;Indígena;15;0,0057;2025-01-22 15:04:00
PB;Não Informado;30;0,0113;2025-01-22 15:04:00
PB;Parda;1383;0,5225;2025-01-22 15:04:00
PB;Preta;116;0,0438;2025-01-22 15:04:00
PE;Amarela;4;0,0016;2025-01-22 15:04:00
PE;Branca;1050;0,4188;2025-01-22 15:04:00
PE;Indígena;14;0,0056;2025-01-22 15:04:00
PE;Não Informado;18;0,0072;2025-01-22 15:04:00
PE;Parda;1271;0,507;2025-01-22 15:04:00
PE;Preta;150;0,0598;2025-01-22 15:04:00
PI;Amarela;19;0,0073;2025-01-22 15:04:00
PI;Branca;754;0,2916;2025-01-22 15:04:00
PI;Indígena;1;0,0004;2025-01-22 15:04:00
PI;Não Informado;37;0,0143;2025-01-22 15:04:00
PI;Parda;1620;0,6265;2025-01-22 15:04:00
PI;Preta;155;0,0599;2025-01-22 15:04:00
PR;Amarela;13;0,0028;2025-01-22 15:04:00
PR;Branca;3803;0,8163;2025-01-22 15:04:00
PR;Indígena;4;0,0009;2025-01-22 15:04:00
PR;Não Informado;20;0,0043;2025-01-22 15:04:00
PR;Parda;672;0,1442;2025-01-22 15:04:00
PR;Preta;147;0,0316;2025-01-22 15:04:00
RJ;Amarela;3;0,0022;2025-01-22 15:04:00
RJ;Branca;919;0,6807;2025-01-22 15:04:00
RJ;Não Informado;36;0,0267;2025-01-22 15:04:00
RJ;Parda;313;0,2319;2025-01-22 15:04:00
RJ;Preta;79;0,0585;2025-01-22 15:04:00
RN;Amarela;9;0,0045;2025-01-22 15:04:00
RN;Branca;1030;0,5192;2025-01-22 15:04:00
RN;Não Informado;10;0,005;2025-01-22 15:04:00
RN;Parda;851;0,4289;2025-01-22 15:04:00
RN;Preta;84;0,0423;2025-01-22 15:04:00
RO;Amarela;5;0,0079;2025-01-22 15:04:00
RO;Branca;252;0,3969;2025-01-22 15:04:00
RO;Indígena;4;0,0063;2025-01-22 15:04:00
RO;Não Informado;4;0,0063;2025-01-22 15:04:00
RO;Parda;320;0,5039;2025-01-22 15:04:00
RO;Preta;50;0,0787;2025-01-22 15:04:00
RR;Branca;26;0,1405;2025-01-22 15:04:00
RR;Indígena;15;0,0811;2025-01-22 15:04:00
RR;Parda;138;0,7459;2025-01-22 15:04:00
RR;Preta;6;0,0324;2025-01-22 15:04:00
RS;Amarela;2;0,0003;2025-01-22 15:04:00
RS;Branca;5535;0,9415;2025-01-22 15:04:00
RS;Indígena;15;0,0026;2025-01-22 15:04:00
RS;Não Informado;14;0,0024;2025-01-22 15:04:00
RS;Parda;201;0,0342;2025-01-22 15:04:00
RS;Preta;112;0,0191;2025-01-22 15:04:00
SC;Amarela;3;0,0009;2025-01-22 15:04:00
SC;Branca;3251;0,9363;2025-01-22 15:04:00
SC;Indígena;4;0,0012;2025-01-22 15:04:00
SC;Não Informado;8;0,0023;2025-01-22 15:04:00
SC;Parda;164;0,0472;2025-01-22 15:04:00
SC;Preta;42;0,0121;2025-01-22 15:04:00
SE;Amarela;5;0,0052;2025-01-22 15:04:00
SE;Branca;211;0,2214;2025-01-22 15:04:00
SE;Indígena;1;0,001;2025-01-22 15:04:00
SE;Não Informado;15;0,0157;2025-01-22 15:04:00
SE;Parda;641;0,6726;2025-01-22 15:04:00
SE;Preta;80;0,0839;2025-01-22 15:04:00
SP;Amarela;30;0,0037;2025-01-22 15:04:00
SP;Branca;6502;0,7954;2025-01-22 15:04:00
SP;Indígena;4;0,0005;2025-01-22 15:04:00
SP;Não Informado;45;0,0055;2025-01-22 15:04:00
SP;Parda;1213;0,1484;2025-01-22 15:04:00
SP;Preta;381;0,0466;2025-01-22 15:04:00
TO;Amarela;12;0,0076;2025-01-22 15:04:00
TO;Branca;367;0,2315;2025-01-22 15:04:00
TO;Indígena;5;0,0032;2025-01-22 15:04:00
TO;Não Informado;38;0,024;2025-01-22 15:04:00
TO;Parda;1006;0,6347;2025-01-22 15:04:00
TO;Preta;157;0,0991;2025-01-22 15:04:00
