UF;Cor/raça;Quantitativo;Porcentagem;Data de carga
AC;Amarela;2;0,0034;2024-11-13 10:55:17
AC;Branca;130;0,2178;2024-11-13 10:55:17
AC;Indígena;5;0,0084;2024-11-13 10:55:17
AC;Não divulgável;11;0,0184;2024-11-13 10:55:17
AC;Parda;415;0,6951;2024-11-13 10:55:17
AC;Preta;34;0,057;2024-11-13 10:55:17
AL;Branca;196;0,4252;2024-11-13 10:55:17
AL;Indígena;3;0,0065;2024-11-13 10:55:17
AL;Parda;221;0,4794;2024-11-13 10:55:17
AL;Preta;41;0,0889;2024-11-13 10:55:17
AM;Amarela;4;0,0047;2024-11-13 10:55:17
AM;Branca;248;0,2901;2024-11-13 10:55:17
AM;Indígena;17;0,0199;2024-11-13 10:55:17
AM;Parda;519;0,607;2024-11-13 10:55:17
AM;Preta;67;0,0784;2024-11-13 10:55:17
AP;Amarela;3;0,0045;2024-11-13 10:55:17
AP;Branca;174;0,262;2024-11-13 10:55:17
AP;Indígena;2;0,003;2024-11-13 10:55:17
AP;Não divulgável;1;0,0015;2024-11-13 10:55:17
AP;Parda;381;0,5738;2024-11-13 10:55:17
AP;Preta;103;0,1551;2024-11-13 10:55:17
BA;Amarela;4;0,0033;2024-11-13 10:55:17
BA;Branca;304;0,2542;2024-11-13 10:55:17
BA;Indígena;7;0,0059;2024-11-13 10:55:17
BA;Parda;607;0,5075;2024-11-13 10:55:17
BA;Preta;274;0,2291;2024-11-13 10:55:17
BR;Branca;21;0,75;2024-11-13 10:55:17
BR;Indígena;2;0,0714;2024-11-13 10:55:17
BR;Parda;2;0,0714;2024-11-13 10:55:17
BR;Preta;3;0,1071;2024-11-13 10:55:17
CE;Amarela;5;0,0055;2024-11-13 10:55:17
CE;Branca;379;0,4142;2024-11-13 10:55:17
CE;Indígena;10;0,0109;2024-11-13 10:55:17
CE;Não divulgável;2;0,0022;2024-11-13 10:55:17
CE;Parda;456;0,4984;2024-11-13 10:55:17
CE;Preta;63;0,0689;2024-11-13 10:55:17
DF;Amarela;6;0,0048;2024-11-13 10:55:17
DF;Branca;548;0,4356;2024-11-13 10:55:17
DF;Indígena;4;0,0032;2024-11-13 10:55:17
DF;Não divulgável;1;0,0008;2024-11-13 10:55:17
DF;Parda;569;0,4523;2024-11-13 10:55:17
DF;Preta;130;0,1033;2024-11-13 10:55:17
ES;Branca;408;0,4898;2024-11-13 10:55:17
ES;Indígena;3;0,0036;2024-11-13 10:55:17
ES;Parda;330;0,3962;2024-11-13 10:55:17
ES;Preta;92;0,1104;2024-11-13 10:55:17
GO;Amarela;6;0,005;2024-11-13 10:55:17
GO;Branca;620;0,5193;2024-11-13 10:55:17
GO;Não divulgável;1;0,0008;2024-11-13 10:55:17
GO;Parda;462;0,3869;2024-11-13 10:55:17
GO;Preta;105;0,0879;2024-11-13 10:55:17
MA;Branca;303;0,3807;2024-11-13 10:55:17
MA;Indígena;3;0,0038;2024-11-13 10:55:17
MA;Parda;383;0,4812;2024-11-13 10:55:17
MA;Preta;107;0,1344;2024-11-13 10:55:17
MG;Amarela;64;0,0264;2024-11-13 10:55:17
MG;Branca;1239;0,5109;2024-11-13 10:55:17
MG;Indígena;2;0,0008;2024-11-13 10:55:17
MG;Não divulgável;51;0,021;2024-11-13 10:55:17
MG;Parda;792;0,3266;2024-11-13 10:55:17
MG;Preta;277;0,1142;2024-11-13 10:55:17
MS;Branca;348;0,6433;2024-11-13 10:55:17
MS;Indígena;9;0,0166;2024-11-13 10:55:17
MS;Parda;153;0,2828;2024-11-13 10:55:17
MS;Preta;31;0,0573;2024-11-13 10:55:17
MT;Amarela;6;0,0111;2024-11-13 10:55:17
MT;Branca;249;0,4603;2024-11-13 10:55:17
MT;Indígena;3;0,0055;2024-11-13 10:55:17
MT;Parda;231;0,427;2024-11-13 10:55:17
MT;Preta;52;0,0961;2024-11-13 10:55:17
PA;Amarela;2;0,0022;2024-11-13 10:55:17
PA;Branca;254;0,2825;2024-11-13 10:55:17
PA;Indígena;7;0,0078;2024-11-13 10:55:17
PA;Parda;556;0,6185;2024-11-13 10:55:17
PA;Preta;80;0,089;2024-11-13 10:55:17
PB;Amarela;3;0,0048;2024-11-13 10:55:17
PB;Branca;336;0,5411;2024-11-13 10:55:17
PB;Indígena;1;0,0016;2024-11-13 10:55:17
PB;Parda;231;0,372;2024-11-13 10:55:17
PB;Preta;50;0,0805;2024-11-13 10:55:17
PE;Amarela;2;0,0018;2024-11-13 10:55:17
PE;Branca;545;0,4977;2024-11-13 10:55:17
PE;Indígena;4;0,0037;2024-11-13 10:55:17
PE;Não divulgável;1;0,0009;2024-11-13 10:55:17
PE;Parda;403;0,368;2024-11-13 10:55:17
PE;Preta;140;0,1279;2024-11-13 10:55:17
