UF;Cor/raça;Quantitativo;Porcentagem;Data de carga
PI;Amarela;1;0,0023;2024-11-13 10:55:17
PI;Branca;173;0,3941;2024-11-13 10:55:17
PI;Indígena;1;0,0023;2024-11-13 10:55:17
PI;Parda;218;0,4966;2024-11-13 10:55:17
PI;Preta;46;0,1048;2024-11-13 10:55:17
PR;Amarela;6;0,0047;2024-11-13 10:55:17
PR;Branca;1100;0,854;2024-11-13 10:55:17
PR;Indígena;1;0,0008;2024-11-13 10:55:17
PR;Parda;115;0,0893;2024-11-13 10:55:17
PR;Preta;66;0,0512;2024-11-13 10:55:17
RJ;Amarela;3;0,0008;2024-11-13 10:55:17
RJ;Branca;1913;0,5177;2024-11-13 10:55:17
RJ;Indígena;6;0,0016;2024-11-13 10:55:17
RJ;Parda;1180;0,3194;2024-11-13 10:55:17
RJ;Preta;593;0,1605;2024-11-13 10:55:17
RN;Branca;291;0,5684;2024-11-13 10:55:17
RN;Indígena;1;0,002;2024-11-13 10:55:17
RN;Parda;174;0,3398;2024-11-13 10:55:17
RN;Preta;46;0,0898;2024-11-13 10:55:17
RO;Amarela;2;0,0031;2024-11-13 10:55:17
RO;Branca;241;0,3679;2024-11-13 10:55:17
RO;Indígena;2;0,0031;2024-11-13 10:55:17
RO;Não divulgável;1;0,0015;2024-11-13 10:55:17
RO;Parda;349;0,5328;2024-11-13 10:55:17
RO;Preta;60;0,0916;2024-11-13 10:55:17
RR;Amarela;1;0,0015;2024-11-13 10:55:17
RR;Branca;187;0,2738;2024-11-13 10:55:17
RR;Indígena;20;0,0293;2024-11-13 10:55:17
RR;Parda;446;0,653;2024-11-13 10:55:17
RR;Preta;29;0,0425;2024-11-13 10:55:17
RS;Amarela;3;0,0022;2024-11-13 10:55:17
RS;Branca;1166;0,8701;2024-11-13 10:55:17
RS;Indígena;3;0,0022;2024-11-13 10:55:17
RS;Parda;55;0,041;2024-11-13 10:55:17
RS;Preta;113;0,0843;2024-11-13 10:55:17
SC;Amarela;1;0,0013;2024-11-13 10:55:17
SC;Branca;687;0,8763;2024-11-13 10:55:17
SC;Indígena;4;0,0051;2024-11-13 10:55:17
SC;Parda;57;0,0727;2024-11-13 10:55:17
SC;Preta;35;0,0446;2024-11-13 10:55:17
SE;Amarela;3;0,0057;2024-11-13 10:55:17
SE;Branca;177;0,3365;2024-11-13 10:55:17
SE;Indígena;2;0,0038;2024-11-13 10:55:17
SE;Parda;283;0,538;2024-11-13 10:55:17
SE;Preta;61;0,116;2024-11-13 10:55:17
SP;Amarela;40;0,0101;2024-11-13 10:55:17
SP;Branca;2833;0,7176;2024-11-13 10:55:17
SP;Indígena;9;0,0023;2024-11-13 10:55:17
SP;Parda;641;0,1624;2024-11-13 10:55:17
SP;Preta;425;0,1076;2024-11-13 10:55:17
TO;Amarela;1;0,0027;2024-11-13 10:55:17
TO;Branca;171;0,4698;2024-11-13 10:55:17
TO;Indígena;2;0,0055;2024-11-13 10:55:17
TO;Parda;153;0,4203;2024-11-13 10:55:17
TO;Preta;37;0,1016;2024-11-13 10:55:17
