UF;Cor/raça;Quantitativo;Porcentagem;Data de carga
AC;Branca;122;0,2251;2025-05-18 03:30:13
AC;Indígena;10;0,0185;2025-05-18 03:30:13
AC;Não Informado;4;0,0074;2025-05-18 03:30:13
AC;Não divulgável;2;0,0037;2025-05-18 03:30:13
AC;Parda;330;0,6089;2025-05-18 03:30:13
AC;Preta;74;0,1365;2025-05-18 03:30:13
AL;Amarela;1;0,002;2025-05-18 03:30:13
AL;Branca;198;0,3968;2025-05-18 03:30:13
AL;Indígena;1;0,002;2025-05-18 03:30:13
AL;Parda;236;0,4729;2025-05-18 03:30:13
AL;Preta;63;0,1263;2025-05-18 03:30:13
AM;Amarela;2;0,003;2025-05-18 03:30:13
AM;Branca;198;0,3;2025-05-18 03:30:13
AM;Indígena;20;0,0303;2025-05-18 03:30:13
AM;Não divulgável;2;0,003;2025-05-18 03:30:13
AM;Parda;393;0,5955;2025-05-18 03:30:13
AM;Preta;45;0,0682;2025-05-18 03:30:13
AP;Amarela;2;0,0036;2025-05-18 03:30:13
AP;Branca;147;0,2639;2025-05-18 03:30:13
AP;Indígena;4;0,0072;2025-05-18 03:30:13
AP;Parda;314;0,5637;2025-05-18 03:30:13
AP;Preta;90;0,1616;2025-05-18 03:30:13
BA;Amarela;2;0,0012;2025-05-18 03:30:13
BA;Branca;361;0,21;2025-05-18 03:30:13
BA;Indígena;5;0,0029;2025-05-18 03:30:13
BA;Não Informado;1;0,0006;2025-05-18 03:30:13
BA;Parda;906;0,5271;2025-05-18 03:30:13
BA;Preta;444;0,2583;2025-05-18 03:30:13
BR;Branca;18;0,6923;2025-05-18 03:30:13
BR;Indígena;1;0,0385;2025-05-18 03:30:13
BR;Parda;1;0,0385;2025-05-18 03:30:13
BR;Preta;6;0,2308;2025-05-18 03:30:13
CE;Amarela;2;0,002;2025-05-18 03:30:13
CE;Branca;405;0,3978;2025-05-18 03:30:13
CE;Indígena;7;0,0069;2025-05-18 03:30:13
CE;Não divulgável;1;0,001;2025-05-18 03:30:13
CE;Parda;516;0,5069;2025-05-18 03:30:13
CE;Preta;87;0,0855;2025-05-18 03:30:13
DF;Amarela;4;0,0045;2025-05-18 03:30:13
DF;Branca;400;0,4464;2025-05-18 03:30:13
DF;Indígena;3;0,0033;2025-05-18 03:30:13
DF;Não Informado;26;0,029;2025-05-18 03:30:13
DF;Não divulgável;4;0,0045;2025-05-18 03:30:13
DF;Parda;332;0,3705;2025-05-18 03:30:13
DF;Preta;127;0,1417;2025-05-18 03:30:13
ES;Amarela;2;0,0026;2025-05-18 03:30:13
ES;Branca;374;0,4807;2025-05-18 03:30:13
ES;Indígena;3;0,0039;2025-05-18 03:30:13
ES;Parda;271;0,3483;2025-05-18 03:30:13
ES;Preta;128;0,1645;2025-05-18 03:30:13
GO;Amarela;8;0,0064;2025-05-18 03:30:13
GO;Branca;580;0,4666;2025-05-18 03:30:13
GO;Indígena;1;0,0008;2025-05-18 03:30:13
GO;Não Informado;1;0,0008;2025-05-18 03:30:13
GO;Parda;512;0,4119;2025-05-18 03:30:13
GO;Preta;141;0,1134;2025-05-18 03:30:13
MA;Amarela;1;0,001;2025-05-18 03:30:13
MA;Branca;279;0,2909;2025-05-18 03:30:13
MA;Indígena;4;0,0042;2025-05-18 03:30:13
MA;Não Informado;1;0,001;2025-05-18 03:30:13
MA;Parda;516;0,5381;2025-05-18 03:30:13
MA;Preta;158;0,1648;2025-05-18 03:30:13
MG;Amarela;9;0,0035;2025-05-18 03:30:13
MG;Branca;1227;0,4789;2025-05-18 03:30:13
MG;Indígena;7;0,0027;2025-05-18 03:30:13
MG;Não Informado;12;0,0047;2025-05-18 03:30:13
MG;Parda;901;0,3517;2025-05-18 03:30:13
MG;Preta;406;0,1585;2025-05-18 03:30:13
MS;Amarela;7;0,0118;2025-05-18 03:30:13
MS;Branca;325;0,5471;2025-05-18 03:30:13
MS;Indígena;11;0,0185;2025-05-18 03:30:13
MS;Não divulgável;13;0,0219;2025-05-18 03:30:13
MS;Parda;186;0,3131;2025-05-18 03:30:13
MS;Preta;52;0,0875;2025-05-18 03:30:13
MT;Amarela;4;0,0076;2025-05-18 03:30:13
MT;Branca;257;0,4895;2025-05-18 03:30:13
MT;Indígena;4;0,0076;2025-05-18 03:30:13
MT;Não Informado;1;0,0019;2025-05-18 03:30:13
MT;Não divulgável;1;0,0019;2025-05-18 03:30:13
MT;Parda;185;0,3524;2025-05-18 03:30:13
MT;Preta;73;0,139;2025-05-18 03:30:13
PA;Amarela;2;0,0019;2025-05-18 03:30:13
PA;Branca;324;0,3106;2025-05-18 03:30:13
PA;Indígena;3;0,0029;2025-05-18 03:30:13
PA;Não divulgável;1;0,001;2025-05-18 03:30:13
PA;Parda;555;0,5321;2025-05-18 03:30:13
PA;Preta;158;0,1515;2025-05-18 03:30:13
PB;Amarela;1;0,0013;2025-05-18 03:30:13
PB;Branca;311;0,4136;2025-05-18 03:30:13
PB;Indígena;3;0,004;2025-05-18 03:30:13
PB;Parda;340;0,4521;2025-05-18 03:30:13
PB;Preta;97;0,129;2025-05-18 03:30:13
PE;Amarela;4;0,0035;2025-05-18 03:30:13
PE;Branca;480;0,4218;2025-05-18 03:30:13
PE;Indígena;8;0,007;2025-05-18 03:30:13
PE;Não Informado;1;0,0009;2025-05-18 03:30:13
PE;Não divulgável;2;0,0018;2025-05-18 03:30:13
PE;Parda;464;0,4077;2025-05-18 03:30:13
PE;Preta;179;0,1573;2025-05-18 03:30:13
PI;Amarela;1;0,0023;2025-05-18 03:30:13
PI;Branca;153;0,3533;2025-05-18 03:30:13
PI;Indígena;3;0,0069;2025-05-18 03:30:13
PI;Parda;204;0,4711;2025-05-18 03:30:13
PI;Preta;72;0,1663;2025-05-18 03:30:13
PR;Amarela;14;0,0088;2025-05-18 03:30:13
PR;Branca;1177;0,7435;2025-05-18 03:30:13
PR;Indígena;8;0,0051;2025-05-18 03:30:13
PR;Não Informado;1;0,0006;2025-05-18 03:30:13
PR;Parda;261;0,1649;2025-05-18 03:30:13
PR;Preta;122;0,0771;2025-05-18 03:30:13
RJ;Amarela;2;0,0007;2025-05-18 03:30:13
RJ;Branca;1399;0,5023;2025-05-18 03:30:13
RJ;Indígena;11;0,0039;2025-05-18 03:30:13
RJ;Não Informado;64;0,023;2025-05-18 03:30:13
RJ;Parda;738;0,265;2025-05-18 03:30:13
RJ;Preta;571;0,205;2025-05-18 03:30:13
RN;Amarela;2;0,0036;2025-05-18 03:30:13
RN;Branca;270;0,4847;2025-05-18 03:30:13
RN;Indígena;2;0,0036;2025-05-18 03:30:13
RN;Parda;230;0,4129;2025-05-18 03:30:13
RN;Preta;53;0,0952;2025-05-18 03:30:13
RO;Amarela;4;0,0064;2025-05-18 03:30:13
RO;Branca;251;0,399;2025-05-18 03:30:13
RO;Indígena;5;0,0079;2025-05-18 03:30:13
RO;Parda;301;0,4785;2025-05-18 03:30:13
RO;Preta;68;0,1081;2025-05-18 03:30:13
RR;Amarela;1;0,0016;2025-05-18 03:30:13
RR;Branca;138;0,2255;2025-05-18 03:30:13
RR;Indígena;32;0,0523;2025-05-18 03:30:13
RR;Parda;396;0,6471;2025-05-18 03:30:13
RR;Preta;45;0,0735;2025-05-18 03:30:13
RS;Amarela;1;0,0007;2025-05-18 03:30:13
RS;Branca;1145;0,799;2025-05-18 03:30:13
RS;Indígena;7;0,0049;2025-05-18 03:30:13
RS;Não Informado;1;0,0007;2025-05-18 03:30:13
RS;Parda;118;0,0823;2025-05-18 03:30:13
RS;Preta;161;0,1124;2025-05-18 03:30:13
SC;Amarela;2;0,002;2025-05-18 03:30:13
SC;Branca;823;0,8296;2025-05-18 03:30:13
SC;Indígena;4;0,004;2025-05-18 03:30:13
SC;Não Informado;1;0,001;2025-05-18 03:30:13
SC;Parda;99;0,0998;2025-05-18 03:30:13
SC;Preta;63;0,0635;2025-05-18 03:30:13
SE;Amarela;2;0,0037;2025-05-18 03:30:13
SE;Branca;176;0,3253;2025-05-18 03:30:13
SE;Indígena;3;0,0055;2025-05-18 03:30:13
SE;Não Informado;3;0,0055;2025-05-18 03:30:13
SE;Parda;267;0,4935;2025-05-18 03:30:13
SE;Preta;90;0,1664;2025-05-18 03:30:13
SP;Amarela;35;0,0096;2025-05-18 03:30:13
SP;Branca;2396;0,6555;2025-05-18 03:30:13
SP;Indígena;13;0,0036;2025-05-18 03:30:13
SP;Não Informado;3;0,0008;2025-05-18 03:30:13
SP;Não divulgável;3;0,0008;2025-05-18 03:30:13
SP;Parda;727;0,1989;2025-05-18 03:30:13
