UF;Gênero;Quantitativo;Porcentagem;Data de carga
AC;Feminino;27;0,1195;2023-03-01 19:04:08
AC;Masculino;199;0,8805;2023-03-01 19:04:08
AL;Feminino;161;0,155;2023-03-01 19:04:08
AL;Masculino;878;0,845;2023-03-01 19:04:08
AM;Feminino;79;0,1212;2023-03-01 19:04:08
AM;Masculino;573;0,8788;2023-03-01 19:04:08
AP;Feminino;24;0,1437;2023-03-01 19:04:08
AP;Masculino;143;0,8563;2023-03-01 19:04:08
BA;Feminino;546;0,1275;2023-03-01 19:04:08
BA;Masculino;3736;0,8723;2023-03-01 19:04:08
BA;Não informado;1;0,0002;2023-03-01 19:04:08
CE;Feminino;299;0,1565;2023-03-01 19:04:08
CE;Masculino;1611;0,8435;2023-03-01 19:04:08
ES;Feminino;64;0,0783;2023-03-01 19:04:08
ES;Masculino;753;0,9217;2023-03-01 19:04:08
GO;Feminino;326;0,1297;2023-03-01 19:04:08
GO;Masculino;2188;0,8703;2023-03-01 19:04:08
MA;Feminino;352;0,1596;2023-03-01 19:04:08
MA;Masculino;1851;0,8395;2023-03-01 19:04:08
MA;Não informado;2;0,0009;2023-03-01 19:04:08
MG;Feminino;896;0,103;2023-03-01 19:04:08
MG;Masculino;7800;0,897;2023-03-01 19:04:08
MS;Feminino;116;0,1452;2023-03-01 19:04:08
MS;Masculino;683;0,8548;2023-03-01 19:04:08
MT;Feminino;171;0,1195;2023-03-01 19:04:08
MT;Masculino;1260;0,8805;2023-03-01 19:04:08
PA;Feminino;218;0,1451;2023-03-01 19:04:08
PA;Masculino;1284;0,8549;2023-03-01 19:04:08
PB;Feminino;360;0,1597;2023-03-01 19:04:08
PB;Masculino;1893;0,8398;2023-03-01 19:04:08
PB;Não informado;1;0,0004;2023-03-01 19:04:08
PE;Feminino;191;0,0987;2023-03-01 19:04:08
PE;Masculino;1744;0,9013;2023-03-01 19:04:08
PI;Feminino;291;0,1296;2023-03-01 19:04:08
PI;Masculino;1954;0,8704;2023-03-01 19:04:08
PR;Feminino;425;0,1044;2023-03-01 19:04:08
PR;Masculino;3645;0,8951;2023-03-01 19:04:08
PR;Não informado;2;0,0005;2023-03-01 19:04:08
RJ;Feminino;98;0,0902;2023-03-01 19:04:08
RJ;Masculino;989;0,9098;2023-03-01 19:04:08
RN;Feminino;287;0,1697;2023-03-01 19:04:08
RN;Masculino;1404;0,8303;2023-03-01 19:04:08
RO;Feminino;62;0,1165;2023-03-01 19:04:08
RO;Masculino;470;0,8835;2023-03-01 19:04:08
RR;Feminino;22;0,1429;2023-03-01 19:04:08
RR;Masculino;132;0,8571;2023-03-01 19:04:08
RS;Feminino;562;0,1107;2023-03-01 19:04:08
RS;Masculino;4514;0,8893;2023-03-01 19:04:08
SC;Feminino;313;0,1049;2023-03-01 19:04:08
SC;Masculino;2670;0,8951;2023-03-01 19:04:08
SE;Feminino;124;0,1619;2023-03-01 19:04:08
SE;Masculino;642;0,8381;2023-03-01 19:04:08
SP;Feminino;716;0,1041;2023-03-01 19:04:08
SP;Masculino;6159;0,8959;2023-03-01 19:04:08
TO;Feminino;224;0,1605;2023-03-01 19:04:08
TO;Masculino;1170;0,8381;2023-03-01 19:04:08
TO;Não informado;2;0,0014;2023-03-01 19:04:08
