UF;Gênero;Quantitativo;Porcentagem;Data de carga
AC;Feminino;37;0,1355;2023-03-13 15:28:45
AC;Masculino;236;0,8645;2023-03-13 15:28:45
AL;Feminino;196;0,1534;2023-03-13 15:28:45
AL;Masculino;1082;0,8466;2023-03-13 15:28:45
AM;Feminino;105;0,1244;2023-03-13 15:28:45
AM;Masculino;739;0,8756;2023-03-13 15:28:45
AP;Feminino;36;0,18;2023-03-13 15:28:45
AP;Masculino;164;0,82;2023-03-13 15:28:45
BA;Feminino;670;0,1234;2023-03-13 15:28:45
BA;Masculino;4761;0,8766;2023-03-13 15:28:45
CE;Feminino;419;0,165;2023-03-13 15:28:45
CE;Masculino;2121;0,835;2023-03-13 15:28:45
ES;Feminino;89;0,0888;2023-03-13 15:28:45
ES;Masculino;913;0,9112;2023-03-13 15:28:45
GO;Feminino;381;0,1273;2023-03-13 15:28:45
GO;Masculino;2610;0,8723;2023-03-13 15:28:45
GO;Não divulgável;1;0,0003;2023-03-13 15:39:09
MA;Feminino;502;0,1778;2023-03-13 15:28:45
MA;Masculino;2319;0,8212;2023-03-13 15:28:45
MA;Não divulgável;3;0,0011;2023-03-13 15:39:09
MG;Feminino;1065;0,105;2023-03-13 15:28:45
MG;Masculino;9078;0,895;2023-03-13 15:28:45
MS;Feminino;131;0,1309;2023-03-13 15:28:45
MS;Masculino;870;0,8691;2023-03-13 15:28:45
MT;Feminino;228;0,1354;2023-03-13 15:28:45
MT;Masculino;1456;0,8646;2023-03-13 15:28:45
PA;Feminino;282;0,1396;2023-03-13 15:28:45
PA;Masculino;1738;0,8604;2023-03-13 15:28:45
PB;Feminino;387;0,1461;2023-03-13 15:28:45
PB;Masculino;2262;0,8539;2023-03-13 15:28:45
PE;Feminino;327;0,1315;2023-03-13 15:28:45
PE;Masculino;2159;0,8685;2023-03-13 15:28:45
PI;Feminino;428;0,1652;2023-03-13 15:28:45
PI;Masculino;2163;0,8348;2023-03-13 15:28:45
PR;Feminino;558;0,1196;2023-03-13 15:28:45
PR;Masculino;4109;0,8804;2023-03-13 15:28:45
RJ;Feminino;121;0,0917;2023-03-13 15:28:45
RJ;Masculino;1199;0,9083;2023-03-13 15:28:45
RN;Feminino;440;0,2229;2023-03-13 15:28:45
RN;Masculino;1534;0,7771;2023-03-13 15:28:45
RO;Feminino;72;0,1141;2023-03-13 15:28:45
RO;Masculino;559;0,8859;2023-03-13 15:28:45
RR;Feminino;28;0,153;2023-03-13 15:28:45
RR;Masculino;155;0,847;2023-03-13 15:28:45
RS;Feminino;879;0,1494;2023-03-13 15:28:45
RS;Masculino;5005;0,8506;2023-03-13 15:28:45
SC;Feminino;436;0,1254;2023-03-13 15:28:45
SC;Masculino;3040;0,8746;2023-03-13 15:28:45
SE;Feminino;158;0,1679;2023-03-13 15:28:45
SE;Masculino;783;0,8321;2023-03-13 15:28:45
SP;Feminino;1006;0,1234;2023-03-13 15:28:45
SP;Masculino;7145;0,8764;2023-03-13 15:28:45
SP;Não divulgável;2;0,0002;2023-03-13 15:39:09
TO;Feminino;253;0,1604;2023-03-13 15:28:45
TO;Masculino;1324;0,8396;2023-03-13 15:28:45
