UF;Gênero;Quantitativo;Porcentagem;Data de carga
AC;Feminino;6;0,1765;2023-03-01 16:46:07
AC;Masculino;28;0,8235;2023-03-01 16:46:07
AL;Feminino;3;0,0789;2023-03-01 16:46:07
AL;Masculino;35;0,9211;2023-03-01 16:46:07
AM;Feminino;5;0,1471;2023-03-01 16:46:07
AM;Masculino;29;0,8529;2023-03-01 16:46:07
AP;Feminino;7;0,2059;2023-03-01 16:46:07
AP;Masculino;27;0,7941;2023-03-01 16:46:07
BA;Feminino;12;0,1154;2023-03-01 16:46:07
BA;Masculino;92;0,8846;2023-03-01 16:46:07
CE;Feminino;3;0,0429;2023-03-01 16:46:07
CE;Masculino;67;0,9571;2023-03-01 16:46:07
DF;Feminino;3;0,0882;2023-03-01 16:46:07
DF;Masculino;31;0,9118;2023-03-01 16:46:07
ES;Feminino;7;0,1667;2023-03-01 16:46:07
ES;Masculino;35;0,8333;2023-03-01 16:46:07
GO;Feminino;9;0,1525;2023-03-01 16:46:07
GO;Masculino;50;0,8475;2023-03-01 16:46:07
MA;Feminino;8;0,1311;2023-03-01 16:46:07
MA;Masculino;53;0,8689;2023-03-01 16:46:07
MG;Feminino;10;0,0758;2023-03-01 16:46:07
MG;Masculino;122;0,9242;2023-03-01 16:46:07
MS;Feminino;2;0,0588;2023-03-01 16:46:07
MS;Masculino;32;0,9412;2023-03-01 16:46:07
MT;Feminino;2;0,0588;2023-03-01 16:46:07
MT;Masculino;32;0,9412;2023-03-01 16:46:07
PA;Feminino;9;0,1525;2023-03-01 16:46:07
PA;Masculino;50;0,8475;2023-03-01 16:46:07
PB;Feminino;4;0,0816;2023-03-01 16:46:07
PB;Masculino;45;0,9184;2023-03-01 16:46:07
PE;Feminino;7;0,0933;2023-03-01 16:46:07
PE;Masculino;68;0,9067;2023-03-01 16:46:07
PI;Feminino;3;0,0714;2023-03-01 16:46:07
PI;Masculino;39;0,9286;2023-03-01 16:46:07
PR;Feminino;4;0,0471;2023-03-01 16:46:07
PR;Masculino;81;0,9529;2023-03-01 16:46:07
RJ;Feminino;17;0,1453;2023-03-01 16:46:07
RJ;Masculino;100;0,8547;2023-03-01 16:46:07
RN;Feminino;7;0,2121;2023-03-01 16:46:07
RN;Masculino;26;0,7879;2023-03-01 16:46:07
RO;Feminino;2;0,0588;2023-03-01 16:46:07
RO;Masculino;32;0,9412;2023-03-01 16:46:07
RR;Feminino;5;0,1471;2023-03-01 16:46:07
RR;Masculino;29;0,8529;2023-03-01 16:46:07
RS;Feminino;8;0,092;2023-03-01 16:46:07
RS;Masculino;79;0,908;2023-03-01 16:46:07
SC;Feminino;4;0,0702;2023-03-01 16:46:07
SC;Masculino;53;0,9298;2023-03-01 16:46:07
SE;Feminino;7;0,2059;2023-03-01 16:46:07
SE;Masculino;27;0,7941;2023-03-01 16:46:07
SP;Feminino;14;0,0843;2023-03-01 16:46:07
SP;Masculino;152;0,9157;2023-03-01 16:46:07
TO;Feminino;5;0,1471;2023-03-01 16:46:07
TO;Masculino;29;0,8529;2023-03-01 16:46:07
