UF;Gênero;Quantitativo;Porcentagem;Data de carga
AC;Feminino;31;0,1372;2023-03-01 15:39:11
AC;Masculino;195;0,8628;2023-03-01 15:39:11
AL;Feminino;169;0,1641;2023-03-01 15:39:11
AL;Masculino;861;0,8359;2023-03-01 15:39:11
AM;Feminino;72;0,112;2023-03-01 15:39:11
AM;Masculino;571;0,888;2023-03-01 15:39:11
AP;Feminino;33;0,1976;2023-03-01 15:39:11
AP;Masculino;134;0,8024;2023-03-01 15:39:11
BA;Feminino;536;0,1244;2023-03-01 15:39:11
BA;Masculino;3771;0,8756;2023-03-01 15:39:11
CE;Feminino;312;0,1625;2023-03-01 15:39:11
CE;Masculino;1608;0,8375;2023-03-01 15:39:11
ES;Feminino;77;0,0937;2023-03-01 15:39:11
ES;Masculino;745;0,9063;2023-03-01 15:39:11
GO;Feminino;292;0,1175;2023-03-01 15:39:11
GO;Masculino;2194;0,8825;2023-03-01 15:39:11
MA;Feminino;367;0,167;2023-03-01 15:39:11
MA;Masculino;1830;0,833;2023-03-01 15:39:11
MG;Feminino;883;0,1014;2023-03-01 15:39:11
MG;Masculino;7824;0,8986;2023-03-01 15:39:11
MS;Feminino;103;0,1289;2023-03-01 15:39:11
MS;Masculino;696;0,8711;2023-03-01 15:39:11
MT;Feminino;172;0,1209;2023-03-01 15:39:11
MT;Masculino;1251;0,8791;2023-03-01 15:39:11
PA;Feminino;206;0,1385;2023-03-01 15:39:11
PA;Masculino;1281;0,8615;2023-03-01 15:39:11
PB;Feminino;351;0,1558;2023-03-01 15:39:11
PB;Masculino;1902;0,8442;2023-03-01 15:39:11
PE;Feminino;229;0,1185;2023-03-01 15:39:11
PE;Masculino;1704;0,8815;2023-03-01 15:39:11
PI;Feminino;303;0,1344;2023-03-01 15:39:11
PI;Masculino;1952;0,8656;2023-03-01 15:39:11
PR;Feminino;455;0,1115;2023-03-01 15:39:11
PR;Masculino;3625;0,8885;2023-03-01 15:39:11
RJ;Feminino;99;0,0907;2023-03-01 15:39:11
RJ;Masculino;993;0,9093;2023-03-01 15:39:11
RN;Feminino;300;0,1785;2023-03-01 15:39:11
RN;Masculino;1381;0,8215;2023-03-01 15:39:11
RO;Feminino;60;0,1124;2023-03-01 15:39:11
RO;Masculino;474;0,8876;2023-03-01 15:39:11
RR;Feminino;16;0,1032;2023-03-01 15:39:11
RR;Masculino;139;0,8968;2023-03-01 15:39:11
RS;Feminino;582;0,1149;2023-03-01 15:39:11
RS;Masculino;4484;0,8851;2023-03-01 15:39:11
SC;Feminino;286;0,0958;2023-03-01 15:39:11
SC;Masculino;2698;0,9042;2023-03-01 15:39:11
SE;Feminino;116;0,153;2023-03-01 15:39:11
SE;Masculino;642;0,847;2023-03-01 15:39:11
SP;Feminino;741;0,1076;2023-03-01 15:39:11
SP;Masculino;6147;0,8924;2023-03-01 15:39:11
TO;Feminino;196;0,1411;2023-03-01 15:39:11
TO;Masculino;1193;0,8589;2023-03-01 15:39:11
