UF;Gênero;Quantitativo;Porcentagem;Data de carga
ES;Feminino;1433;0,1758;2024-01-19 18:39:50
RR;Feminino;250;0,1959;2024-01-19 18:39:50
SC;Não informado;2;0,0001;2024-01-19 18:39:50
AM;Masculino;4900;0,8118;2024-01-19 18:39:50
MG;Feminino;11226;0,1753;2024-01-19 18:39:50
RJ;Feminino;3889;0,2148;2024-01-19 18:39:50
SE;Masculino;4136;0,8039;2024-01-19 18:39:50
CE;Masculino;9836;0,8232;2024-01-19 18:39:50
AM;Não informado;1;0,0002;2023-03-02 09:45:49
ES;Não informado;1;0,0001;2023-03-02 09:45:49
PB;Masculino;8100;0,8235;2024-01-19 18:39:50
PE;Feminino;2348;0,1732;2024-01-19 18:39:50
AL;Feminino;1160;0,1889;2024-01-19 18:39:50
AL;Não informado;4;0,0007;2024-01-19 18:39:50
AP;Não informado;1;0,0007;2024-01-19 18:39:50
PI;Masculino;6710;0,8325;2024-01-19 18:39:50
PR;Não informado;17;0,0006;2023-03-02 09:45:49
PB;Não informado;3;0,0003;2023-03-02 09:45:49
SE;Não informado;5;0,001;2023-03-02 09:45:49
PA;Não informado;15;0,0011;2023-03-02 09:45:49
BA;Feminino;4709;0,1692;2024-01-19 18:39:50
BA;Não informado;11;0,0004;2024-01-19 18:39:50
PB;Feminino;1733;0,1762;2024-01-19 18:39:50
ES;Masculino;6717;0,8241;2024-01-19 18:39:50
SP;Feminino;13738;0,195;2024-01-19 18:39:50
SP;Masculino;56726;0,805;2024-01-19 18:39:50
MS;Feminino;1248;0,2101;2024-01-19 18:39:50
SC;Masculino;12722;0,8277;2024-01-19 18:39:50
TO;Feminino;1311;0,2129;2024-01-19 18:39:50
AL;Masculino;4976;0,8104;2024-01-19 18:39:50
CE;Feminino;2113;0,1768;2024-01-19 18:39:50
GO;Não informado;2;0,0001;2023-03-02 09:45:49
PA;Feminino;2829;0,2007;2024-01-19 18:39:50
RR;Não informado;1;0,0008;2023-03-02 09:45:49
SC;Feminino;2646;0,1722;2024-01-19 18:39:50
RN;Não informado;3;0,0004;2023-03-02 09:45:49
AC;Masculino;1051;0,7902;2024-01-19 18:39:50
PI;Não informado;11;0,0014;2024-01-19 18:39:50
RS;Masculino;22779;0,824;2024-01-19 18:39:50
BA;Masculino;23115;0,8304;2024-01-19 18:39:50
MG;Masculino;52794;0,8245;2024-01-19 18:39:50
PE;Não informado;18;0,0013;2023-03-02 09:45:49
RN;Feminino;1332;0,1875;2024-01-19 18:39:50
PA;Masculino;11253;0,7983;2024-01-19 18:39:50
RS;Feminino;4854;0,1756;2024-01-19 18:39:50
RS;Não informado;10;0,0004;2024-01-19 18:39:50
AM;Feminino;1135;0,188;2024-01-19 18:39:50
MA;Feminino;3069;0,2055;2024-01-19 18:39:50
TO;Não informado;3;0,0005;2024-01-19 18:39:50
AC;Feminino;279;0,2098;2024-01-19 18:39:50
GO;Feminino;2852;0,184;2024-01-19 18:39:50
MT;Feminino;1518;0,1872;2024-01-19 18:39:50
PR;Masculino;22116;0,8291;2024-01-19 18:39:50
RO;Masculino;3602;0,8203;2024-01-19 18:39:50
PE;Masculino;11192;0,8255;2024-01-19 18:39:50
RJ;Não informado;7;0,0004;2024-01-19 18:39:50
SE;Feminino;1004;0,1951;2024-01-19 18:39:50
MT;Não informado;5;0,0006;2024-01-19 18:39:50
RO;Feminino;787;0,1792;2024-01-19 18:39:50
MA;Masculino;11858;0,7939;2024-01-19 18:39:50
MG;Não informado;12;0,0002;2024-01-19 18:39:50
RN;Masculino;5770;0,8121;2024-01-19 18:39:50
PI;Feminino;1339;0,1661;2024-01-19 18:39:50
PR;Feminino;4543;0,1703;2024-01-19 18:39:50
RO;Não informado;2;0,0005;2023-03-02 09:45:49
AP;Feminino;307;0,2073;2024-01-19 18:39:50
GO;Masculino;12646;0,8159;2024-01-19 18:39:50
MS;Masculino;4690;0,7894;2024-01-19 18:39:50
RR;Masculino;1025;0,8033;2024-01-19 18:39:50
RJ;Masculino;14213;0,7849;2024-01-19 18:39:50
TO;Masculino;4843;0,7866;2024-01-19 18:39:50
AP;Masculino;1173;0,792;2024-01-19 18:39:50
MT;Masculino;6587;0,8122;2024-01-19 18:39:50
MA;Não informado;9;0,0006;2023-03-02 09:45:49
SP;Não informado;2;0;2024-01-19 18:39:50
MS;Não informado;3;0,0005;2023-03-02 09:45:49
