UF;Gênero;Quantitativo;Porcentagem;Data de carga
AC;Feminino;4;0,1143;2023-03-29 11:16:54
AC;Masculino;31;0,8857;2023-03-29 11:16:54
AL;Feminino;2;0,0513;2023-03-29 11:16:54
AL;Masculino;37;0,9487;2023-03-29 11:16:54
AM;Feminino;2;0,0571;2023-03-29 11:16:54
AM;Masculino;33;0,9429;2023-03-29 11:16:54
AP;Feminino;5;0,1471;2023-03-29 11:16:54
AP;Masculino;29;0,8529;2023-03-29 11:16:54
BA;Feminino;8;0,0762;2023-03-29 11:16:54
BA;Masculino;97;0,9238;2023-03-29 11:16:54
CE;Feminino;9;0,1286;2023-03-29 11:16:54
CE;Masculino;61;0,8714;2023-03-29 11:16:54
DF;Feminino;6;0,1765;2023-03-29 11:16:54
DF;Masculino;28;0,8235;2023-03-29 11:16:54
ES;Feminino;7;0,1628;2023-03-29 11:16:54
ES;Masculino;36;0,8372;2023-03-29 11:16:54
GO;Feminino;11;0,1803;2023-03-29 11:16:54
GO;Masculino;50;0,8197;2023-03-29 11:16:54
MA;Feminino;11;0,1746;2023-03-29 11:16:54
MA;Masculino;52;0,8254;2023-03-29 11:16:54
MG;Feminino;11;0,0827;2023-03-29 11:16:54
MG;Masculino;122;0,9173;2023-03-29 11:16:54
MS;Feminino;2;0,0588;2023-03-29 11:16:54
MS;Masculino;32;0,9412;2023-03-29 11:16:54
MT;Feminino;4;0,1143;2023-03-29 11:16:54
MT;Masculino;31;0,8857;2023-03-29 11:16:54
PA;Feminino;10;0,1667;2023-03-29 11:16:54
PA;Masculino;50;0,8333;2023-03-29 11:16:54
PB;Feminino;7;0,14;2023-03-29 11:16:54
PB;Masculino;43;0,86;2023-03-29 11:16:54
PE;Feminino;8;0,1039;2023-03-29 11:16:54
PE;Masculino;69;0,8961;2023-03-29 11:16:54
PI;Feminino;3;0,0698;2023-03-29 11:16:54
PI;Masculino;40;0,9302;2023-03-29 11:16:54
PR;Feminino;5;0,0581;2023-03-29 11:16:54
PR;Masculino;81;0,9419;2023-03-29 11:16:54
RJ;Feminino;21;0,1765;2023-03-29 11:16:54
RJ;Masculino;98;0,8235;2023-03-29 11:16:54
RN;Feminino;6;0,1765;2023-03-29 11:16:54
RN;Masculino;28;0,8235;2023-03-29 11:16:54
RO;Feminino;3;0,0882;2023-03-29 11:16:54
RO;Masculino;31;0,9118;2023-03-29 11:16:54
RR;Feminino;5;0,1471;2023-03-29 11:16:54
RR;Masculino;29;0,8529;2023-03-29 11:16:54
RS;Feminino;6;0,0682;2023-03-29 11:16:54
RS;Masculino;82;0,9318;2023-03-29 11:16:54
SC;Feminino;4;0,069;2023-03-29 11:16:54
SC;Masculino;54;0,931;2023-03-29 11:16:54
SE;Feminino;6;0,1765;2023-03-29 11:16:54
SE;Masculino;28;0,8235;2023-03-29 11:16:54
SP;Feminino;16;0,0964;2023-03-29 11:16:54
SP;Masculino;150;0,9036;2023-03-29 11:16:54
TO;Feminino;3;0,0857;2023-03-29 11:16:54
TO;Masculino;32;0,9143;2023-03-29 11:16:54
