UF;Gênero;Quantitativo;Porcentagem;Data de carga
BA;Masculino;824;0,689;2024-11-13 10:55:17
MG;Masculino;1620;0,668;2024-11-13 10:55:17
RN;Feminino;167;0,3262;2024-11-13 10:55:17
PA;Masculino;615;0,6841;2024-11-13 10:55:17
RS;Feminino;430;0,3209;2024-11-13 10:55:17
AM;Feminino;264;0,3088;2024-11-13 10:55:17
MA;Feminino;267;0,3354;2024-11-13 10:55:17
AC;Feminino;188;0,3149;2024-11-13 10:55:17
GO;Feminino;386;0,3233;2024-11-13 10:55:17
GO;Não divulgável;1;0,0008;2024-11-13 10:55:17
MT;Feminino;171;0,3161;2024-11-13 10:55:17
PR;Masculino;891;0,6918;2024-11-13 10:55:17
RO;Masculino;449;0,6855;2024-11-13 10:55:17
PE;Masculino;741;0,6767;2024-11-13 10:55:17
SE;Feminino;166;0,3156;2024-11-13 10:55:17
RO;Feminino;205;0,313;2024-11-13 10:55:17
MA;Masculino;529;0,6646;2024-11-13 10:55:17
RN;Masculino;345;0,6738;2024-11-13 10:55:17
CE;Não divulgável;2;0,0022;2024-11-13 10:55:17
DF;Masculino;868;0,69;2024-11-13 10:55:17
PI;Feminino;137;0,3121;2024-11-13 10:55:17
PR;Feminino;397;0,3082;2024-11-13 10:55:17
AP;Feminino;221;0,3328;2024-11-13 10:55:17
GO;Masculino;807;0,6759;2024-11-13 10:55:17
MS;Masculino;370;0,6839;2024-11-13 10:55:17
RR;Masculino;464;0,6794;2024-11-13 10:55:17
RJ;Masculino;2545;0,6888;2024-11-13 10:55:17
TO;Masculino;252;0,6923;2024-11-13 10:55:17
AP;Masculino;442;0,6657;2024-11-13 10:55:17
MT;Masculino;370;0,6839;2024-11-13 10:55:17
DF;Não divulgável;1;0,0008;2024-11-13 10:55:17
ES;Feminino;261;0,3133;2024-11-13 10:55:17
RR;Feminino;219;0,3206;2024-11-13 10:55:17
AM;Masculino;591;0,6912;2024-11-13 10:55:17
MG;Feminino;754;0,3109;2024-11-13 10:55:17
RJ;Feminino;1150;0,3112;2024-11-13 10:55:17
SE;Masculino;360;0,6844;2024-11-13 10:55:17
CE;Masculino;629;0,6874;2024-11-13 10:55:17
BR;Masculino;21;0,75;2024-11-13 10:55:17
PB;Masculino;422;0,6795;2024-11-13 10:55:17
PE;Feminino;353;0,3224;2024-11-13 10:55:17
AC;Não divulgável;11;0,0184;2024-11-13 10:55:17
AL;Feminino;148;0,321;2024-11-13 10:55:17
PI;Masculino;302;0,6879;2024-11-13 10:55:17
BA;Feminino;372;0,311;2024-11-13 10:55:17
PB;Feminino;199;0,3205;2024-11-13 10:55:17
PE;Não divulgável;1;0,0009;2024-11-13 10:55:17
DF;Feminino;389;0,3092;2024-11-13 10:55:17
BR;Feminino;7;0,25;2024-11-13 10:55:17
ES;Masculino;572;0,6867;2024-11-13 10:55:17
MG;Não divulgável;51;0,021;2024-11-13 10:55:17
SP;Feminino;1255;0,3179;2024-11-13 10:55:17
SP;Masculino;2693;0,6821;2024-11-13 10:55:17
MS;Feminino;171;0,3161;2024-11-13 10:55:17
SC;Masculino;537;0,6849;2024-11-13 10:55:17
TO;Feminino;112;0,3077;2024-11-13 10:55:17
AL;Masculino;313;0,679;2024-11-13 10:55:17
CE;Feminino;284;0,3104;2024-11-13 10:55:17
PA;Feminino;284;0,3159;2024-11-13 10:55:17
SC;Feminino;247;0,3151;2024-11-13 10:55:17
AC;Masculino;398;0,6667;2024-11-13 10:55:17
AP;Não divulgável;1;0,0015;2024-11-13 10:55:17
RO;Não divulgável;1;0,0015;2024-11-13 10:55:17
RS;Masculino;910;0,6791;2024-11-13 10:55:17
