UF;Gênero;Quantitativo;Porcentagem;Data de carga
BA;Masculino;24600;0,8014;2023-03-01 19:04:08
MG;Masculino;51502;0,8001;2023-03-01 19:04:08
PE;Não informado;6;0,0004;2023-03-01 19:04:08
RN;Feminino;1648;0,2072;2023-03-01 19:04:08
PA;Masculino;10896;0,7703;2023-03-01 19:04:08
RS;Feminino;5066;0,2031;2023-03-01 19:04:08
RS;Não informado;5;0,0002;2023-03-01 19:04:08
AM;Feminino;1199;0,1952;2023-03-01 19:04:08
MA;Feminino;3641;0,2328;2023-03-01 19:04:08
TO;Não informado;3;0,0005;2023-03-01 19:04:08
AC;Feminino;297;0,1966;2023-03-01 19:04:08
GO;Feminino;3681;0,2145;2023-03-01 19:04:08
MT;Feminino;1762;0,2076;2023-03-01 19:04:08
PR;Masculino;21208;0,8001;2023-03-01 19:04:08
RO;Masculino;3466;0,7819;2023-03-01 19:04:08
PE;Masculino;11724;0,7983;2023-03-01 19:04:08
RJ;Não informado;5;0,0003;2023-03-01 19:04:08
SE;Feminino;1181;0,2339;2023-03-01 19:04:08
MT;Não informado;1;0,0001;2023-03-01 19:04:08
RO;Feminino;965;0,2177;2023-03-01 19:04:08
MA;Masculino;11997;0,767;2023-03-01 19:04:08
MG;Não informado;56;0,0009;2023-03-01 19:04:08
RN;Masculino;6303;0,7924;2023-03-01 19:04:08
PI;Feminino;1685;0,1874;2023-03-01 19:04:08
PR;Feminino;5274;0,199;2023-03-01 19:04:08
RO;Não informado;2;0,0005;2023-03-01 19:04:08
AP;Feminino;285;0,2298;2023-03-01 19:04:08
GO;Masculino;13472;0,7852;2023-03-01 19:04:08
MS;Masculino;4295;0,7619;2023-03-01 19:04:08
RR;Masculino;969;0,7783;2023-03-01 19:04:08
RJ;Masculino;12288;0,7531;2023-03-01 19:04:08
TO;Masculino;4873;0,7818;2023-03-01 19:04:08
AP;Masculino;954;0,7694;2023-03-01 19:04:08
MT;Masculino;6726;0,7923;2023-03-01 19:04:08
MA;Não informado;4;0,0003;2023-03-01 19:04:08
SP;Não informado;15;0,0002;2023-03-01 19:04:08
ES;Feminino;1627;0,2032;2023-03-01 19:04:08
CE;Não informado;2;0,0002;2023-03-01 19:04:08
RR;Feminino;274;0,2201;2023-03-01 19:04:08
SC;Não informado;6;0,0004;2023-03-01 19:04:08
AM;Masculino;4933;0,803;2023-03-01 19:04:08
MG;Feminino;12815;0,1991;2023-03-01 19:04:08
RJ;Feminino;4023;0,2466;2023-03-01 19:04:08
SE;Masculino;3867;0,7659;2023-03-01 19:04:08
CE;Masculino;9360;0,7827;2023-03-01 19:04:08
AM;Não informado;11;0,0018;2023-03-01 19:04:08
PB;Masculino;8474;0,7948;2023-03-01 19:04:08
PE;Feminino;2957;0,2013;2023-03-01 19:04:08
AL;Feminino;1412;0,2007;2023-03-01 19:04:08
AL;Não informado;9;0,0013;2023-03-01 19:04:08
AP;Não informado;1;0,0008;2023-03-01 19:04:08
PI;Masculino;7305;0,8124;2023-03-01 19:04:08
PR;Não informado;25;0,0009;2023-03-01 19:04:08
PB;Não informado;3;0,0003;2023-03-01 19:04:08
SE;Não informado;1;0,0002;2023-03-01 19:04:08
PA;Não informado;16;0,0011;2023-03-01 19:04:08
BA;Feminino;6072;0,1978;2023-03-01 19:04:08
BA;Não informado;24;0,0008;2023-03-01 19:04:08
PB;Feminino;2185;0,2049;2023-03-01 19:04:08
AC;Não informado;2;0,0013;2023-03-01 19:04:08
ES;Masculino;6381;0,7968;2023-03-01 19:04:08
SP;Feminino;15954;0,2351;2023-03-01 19:04:08
SP;Masculino;51891;0,7647;2023-03-01 19:04:08
MS;Feminino;1342;0,2381;2023-03-01 19:04:08
SC;Masculino;11905;0,8098;2023-03-01 19:04:08
TO;Feminino;1357;0,2177;2023-03-01 19:04:08
AL;Masculino;5616;0,7981;2023-03-01 19:04:08
CE;Feminino;2596;0,2171;2023-03-01 19:04:08
GO;Não informado;5;0,0003;2023-03-01 19:04:08
PA;Feminino;3234;0,2286;2023-03-01 19:04:08
RR;Não informado;2;0,0016;2023-03-01 19:04:08
SC;Feminino;2791;0,1898;2023-03-01 19:04:08
RN;Não informado;3;0,0004;2023-03-01 19:04:08
AC;Masculino;1212;0,8021;2023-03-01 19:04:08
PI;Não informado;2;0,0002;2023-03-01 19:04:08
RS;Masculino;19868;0,7967;2023-03-01 19:04:08
