UF;Gênero;Quantitativo;Porcentagem;Data de carga
AC;Feminino;3;0,0882;2023-03-02 10:08:24
AC;Masculino;31;0,9118;2023-03-02 10:08:24
AL;Feminino;5;0,1316;2023-03-02 10:08:24
AL;Masculino;33;0,8684;2023-03-02 10:08:24
AM;Feminino;1;0,0294;2023-03-02 10:08:24
AM;Masculino;33;0,9706;2023-03-02 10:08:24
AP;Feminino;4;0,1212;2023-03-02 10:08:24
AP;Masculino;29;0,8788;2023-03-02 10:08:24
BA;Feminino;7;0,0673;2023-03-02 10:08:24
BA;Masculino;97;0,9327;2023-03-02 10:08:24
BR;Masculino;1;1;2023-03-02 10:08:24
CE;Feminino;4;0,0571;2023-03-02 10:08:24
CE;Masculino;66;0,9429;2023-03-02 10:08:24
DF;Feminino;5;0,1515;2023-03-02 10:08:24
DF;Masculino;28;0,8485;2023-03-02 10:08:24
ES;Feminino;2;0,0465;2023-03-02 10:08:24
ES;Masculino;41;0,9535;2023-03-02 10:08:24
GO;Feminino;9;0,1525;2023-03-02 10:08:24
GO;Masculino;50;0,8475;2023-03-02 10:08:24
MA;Feminino;10;0,1613;2023-03-02 10:08:24
MA;Masculino;52;0,8387;2023-03-02 10:08:24
MG;Feminino;7;0,0534;2023-03-02 10:08:24
MG;Masculino;124;0,9466;2023-03-02 10:08:24
MS;Feminino;2;0,0606;2023-03-02 10:08:24
MS;Masculino;31;0,9394;2023-03-02 10:08:24
MT;Feminino;3;0,0882;2023-03-02 10:08:24
MT;Masculino;31;0,9118;2023-03-02 10:08:24
PA;Feminino;8;0,1356;2023-03-02 10:08:24
PA;Masculino;51;0,8644;2023-03-02 10:08:24
PB;Feminino;8;0,1569;2023-03-02 10:08:24
PB;Masculino;43;0,8431;2023-03-02 10:08:24
PE;Feminino;3;0,0395;2023-03-02 10:08:24
PE;Masculino;73;0,9605;2023-03-02 10:08:24
PI;Feminino;2;0,0488;2023-03-02 10:08:24
PI;Masculino;39;0,9512;2023-03-02 10:08:24
PR;Feminino;1;0,0114;2023-03-02 10:08:24
PR;Masculino;87;0,9886;2023-03-02 10:08:24
RJ;Feminino;16;0,1368;2023-03-02 10:08:24
RJ;Masculino;101;0,8632;2023-03-02 10:08:24
RN;Feminino;5;0,1471;2023-03-02 10:08:24
RN;Masculino;29;0,8529;2023-03-02 10:08:24
RO;Feminino;3;0,0909;2023-03-02 10:08:24
RO;Masculino;30;0,9091;2023-03-02 10:08:24
RR;Feminino;4;0,1212;2023-03-02 10:08:24
RR;Masculino;29;0,8788;2023-03-02 10:08:24
RS;Feminino;5;0,0575;2023-03-02 10:08:24
RS;Masculino;82;0,9425;2023-03-02 10:08:24
SC;Feminino;3;0,0517;2023-03-02 10:08:24
SC;Masculino;55;0,9483;2023-03-02 10:08:24
SE;Feminino;5;0,1515;2023-03-02 10:08:24
SE;Masculino;28;0,8485;2023-03-02 10:08:24
SP;Feminino;12;0,0723;2023-03-02 10:08:24
SP;Masculino;154;0,9277;2023-03-02 10:08:24
TO;Feminino;2;0,0588;2023-03-02 10:08:24
TO;Masculino;32;0,9412;2023-03-02 10:08:24
