UF;Gênero;Quantitativo;Porcentagem;Data de carga
BA;Masculino;781;0,8845;2023-03-01 16:46:07
MG;Masculino;1261;0,8862;2023-03-01 16:46:07
RN;Feminino;34;0,1245;2023-03-01 16:46:07
PA;Masculino;497;0,8569;2023-03-01 16:46:07
RS;Feminino;109;0,1341;2023-03-01 16:46:07
AM;Feminino;74;0,1468;2023-03-01 16:46:07
MA;Feminino;90;0,1573;2023-03-01 16:46:07
AC;Feminino;85;0,1852;2023-03-01 16:46:07
GO;Feminino;54;0,0878;2023-03-01 16:46:07
MT;Feminino;40;0,1278;2023-03-01 16:46:07
PR;Masculino;781;0,8697;2023-03-01 16:46:07
RO;Masculino;426;0,852;2023-03-01 16:46:07
PE;Masculino;691;0,8791;2023-03-01 16:46:07
SE;Feminino;44;0,163;2023-03-01 16:46:07
RO;Feminino;74;0,148;2023-03-01 16:46:07
MA;Masculino;482;0,8427;2023-03-01 16:46:07
RN;Masculino;239;0,8755;2023-03-01 16:46:07
DF;Masculino;635;0,8028;2023-03-01 16:46:07
PI;Feminino;36;0,1161;2023-03-01 16:46:07
PR;Feminino;117;0,1303;2023-03-01 16:46:07
AP;Feminino;67;0,1796;2023-03-01 16:46:07
GO;Masculino;561;0,9122;2023-03-01 16:46:07
MS;Masculino;245;0,8167;2023-03-01 16:46:07
RR;Masculino;424;0,8463;2023-03-01 16:46:07
RJ;Masculino;1858;0,84;2023-03-01 16:46:07
TO;Masculino;365;0,8057;2023-03-01 16:46:07
AP;Masculino;306;0,8204;2023-03-01 16:46:07
MT;Masculino;273;0,8722;2023-03-01 16:46:07
ES;Feminino;66;0,1413;2023-03-01 16:46:07
RR;Feminino;77;0,1537;2023-03-01 16:46:07
AM;Masculino;430;0,8532;2023-03-01 16:46:07
MG;Feminino;162;0,1138;2023-03-01 16:46:07
RJ;Feminino;354;0,16;2023-03-01 16:46:07
SE;Masculino;226;0,837;2023-03-01 16:46:07
CE;Masculino;644;0,8587;2023-03-01 16:46:07
BR;Masculino;13;0,8125;2023-03-01 16:46:07
PB;Masculino;345;0,9176;2023-03-01 16:46:07
PE;Feminino;95;0,1209;2023-03-01 16:46:07
AL;Feminino;48;0,1253;2023-03-01 16:46:07
PI;Masculino;274;0,8839;2023-03-01 16:46:07
BA;Feminino;102;0,1155;2023-03-01 16:46:07
PB;Feminino;31;0,0824;2023-03-01 16:46:07
DF;Feminino;156;0,1972;2023-03-01 16:46:07
BR;Feminino;3;0,1875;2023-03-01 16:46:07
ES;Masculino;401;0,8587;2023-03-01 16:46:07
SP;Feminino;436;0,1467;2023-03-01 16:46:07
SP;Masculino;2537;0,8533;2023-03-01 16:46:07
MS;Feminino;55;0,1833;2023-03-01 16:46:07
SC;Masculino;410;0,8742;2023-03-01 16:46:07
TO;Feminino;88;0,1943;2023-03-01 16:46:07
AL;Masculino;335;0,8747;2023-03-01 16:46:07
CE;Feminino;106;0,1413;2023-03-01 16:46:07
PA;Feminino;83;0,1431;2023-03-01 16:46:07
SC;Feminino;59;0,1258;2023-03-01 16:46:07
AC;Masculino;374;0,8148;2023-03-01 16:46:07
RS;Masculino;704;0,8659;2023-03-01 16:46:07
