UF;Gênero;Quantitativo;Porcentagem;Data de carga
ES;Feminino;3298;0,3152;2023-03-13 15:28:45
PA;Não divulgável;5;0,0002;2023-03-13 15:39:09
RR;Feminino;572;0,3197;2023-03-13 15:28:45
AM;Masculino;6554;0,6859;2023-03-13 15:28:45
MG;Feminino;25002;0,3177;2023-03-13 15:28:45
RJ;Feminino;7070;0,3175;2023-03-13 15:28:45
SE;Masculino;3998;0,6791;2023-03-13 15:28:45
CE;Masculino;10193;0,6834;2023-03-13 15:28:45
PB;Masculino;8191;0,6827;2023-03-13 15:28:45
PE;Feminino;5992;0,3135;2023-03-13 15:28:45
AC;Não divulgável;2;0,0009;2023-03-13 15:39:09
AL;Feminino;2312;0,3181;2023-03-13 15:28:45
PI;Masculino;6944;0,6812;2023-03-13 15:28:45
RS;Não divulgável;1;0;2023-03-13 15:39:09
AL;Não divulgável;1;0,0001;2023-03-13 15:39:09
BA;Feminino;11707;0,3181;2023-03-13 15:28:45
PB;Feminino;3806;0,3172;2023-03-13 15:28:45
PE;Não divulgável;2;0,0001;2023-03-13 15:39:09
ES;Masculino;7164;0,6847;2023-03-13 15:28:45
MG;Não divulgável;15;0,0002;2023-03-13 15:39:09
PB;Não divulgável;1;0,0001;2023-03-13 15:39:09
SP;Feminino;27699;0,3201;2023-03-13 15:28:45
SP;Masculino;58833;0,6798;2023-03-13 15:28:45
MS;Feminino;2369;0,3207;2023-03-13 15:28:45
SC;Masculino;12075;0,6846;2023-03-13 15:28:45
ES;Não divulgável;1;0,0001;2023-03-13 15:39:09
TO;Feminino;2434;0,3259;2023-03-13 15:28:45
AL;Masculino;4956;0,6818;2023-03-13 15:28:45
CE;Feminino;4716;0,3162;2023-03-13 15:28:45
PA;Feminino;6607;0,3205;2023-03-13 15:28:45
SC;Feminino;5564;0,3154;2023-03-13 15:28:45
AC;Masculino;1571;0,6795;2023-03-13 15:28:45
RS;Masculino;19613;0,6798;2023-03-13 15:28:45
BA;Masculino;25099;0,6819;2023-03-13 15:28:45
MG;Masculino;53675;0,6821;2023-03-13 15:28:45
RN;Feminino;2963;0,3246;2023-03-13 15:28:45
PA;Masculino;14003;0,6793;2023-03-13 15:28:45
RS;Feminino;9236;0,3201;2023-03-13 15:28:45
AM;Feminino;3001;0,3141;2023-03-13 15:28:45
MA;Feminino;6001;0,3234;2023-03-13 15:28:45
AC;Feminino;739;0,3196;2023-03-13 15:28:45
GO;Feminino;6819;0,3208;2023-03-13 15:28:45
GO;Não divulgável;9;0,0004;2023-03-13 15:39:09
MT;Feminino;3350;0,3221;2023-03-13 15:28:45
PR;Masculino;21379;0,6826;2023-03-13 15:28:45
PR;Não divulgável;2;0,0001;2023-03-13 15:39:09
RO;Masculino;3186;0,6815;2023-03-13 15:28:45
PE;Masculino;13119;0,6864;2023-03-13 15:28:45
SE;Feminino;1889;0,3209;2023-03-13 15:28:45
RO;Feminino;1489;0,3185;2023-03-13 15:28:45
MA;Masculino;12522;0,6749;2023-03-13 15:28:45
RN;Masculino;6162;0,6751;2023-03-13 15:28:45
SP;Não divulgável;10;0,0001;2023-03-13 15:39:09
TO;Não divulgável;1;0,0001;2023-03-13 15:39:09
CE;Não divulgável;7;0,0005;2023-03-13 15:39:09
PI;Feminino;3250;0,3188;2023-03-13 15:28:45
PR;Feminino;9939;0,3173;2023-03-13 15:28:45
RN;Não divulgável;2;0,0002;2023-03-13 15:39:09
AP;Feminino;625;0,333;2023-03-13 15:28:45
GO;Masculino;14431;0,6788;2023-03-13 15:28:45
MS;Masculino;5019;0,6793;2023-03-13 15:28:45
RR;Masculino;1217;0,6803;2023-03-13 15:28:45
MA;Não divulgável;32;0,0017;2023-03-13 15:39:09
RJ;Masculino;15195;0,6825;2023-03-13 15:28:45
TO;Masculino;5034;0,674;2023-03-13 15:28:45
AP;Masculino;1252;0,667;2023-03-13 15:28:45
MT;Masculino;7051;0,6779;2023-03-13 15:28:45
BA;Não divulgável;1;0;2023-03-13 15:39:09
