UF;Gênero;Quantitativo;Porcentagem;Data de carga
BA;Masculino;707;0,8983;2023-03-29 11:16:54
MG;Masculino;1358;0,8716;2023-03-29 11:16:54
PE;Não informado;1;0,0011;2023-03-29 11:16:54
RN;Feminino;53;0,1413;2023-03-29 11:16:54
PA;Masculino;569;0,7859;2023-03-29 11:16:54
RS;Feminino;89;0,1156;2023-03-29 11:16:54
AM;Feminino;101;0,186;2023-03-29 11:16:54
MA;Feminino;89;0,1332;2023-03-29 11:16:54
TO;Não informado;6;0,0148;2023-03-29 11:16:54
AC;Feminino;71;0,1514;2023-03-29 11:16:54
GO;Feminino;101;0,1266;2023-03-29 11:16:54
MT;Feminino;52;0,1316;2023-03-29 11:16:54
PR;Masculino;705;0,8747;2023-03-29 11:16:54
RO;Masculino;489;0,8475;2023-03-29 11:16:54
PE;Masculino;795;0,866;2023-03-29 11:16:54
RJ;Não informado;18;0,0089;2023-03-29 11:16:54
SE;Feminino;63;0,1641;2023-03-29 11:16:54
MT;Não informado;6;0,0152;2023-03-29 11:16:54
RO;Feminino;88;0,1525;2023-03-29 11:16:54
MA;Masculino;579;0,8668;2023-03-29 11:16:54
RN;Masculino;321;0,856;2023-03-29 11:16:54
DF;Masculino;695;0,8148;2023-03-29 11:16:54
PI;Feminino;35;0,1014;2023-03-29 11:16:54
PR;Feminino;91;0,1129;2023-03-29 11:16:54
AP;Feminino;53;0,1436;2023-03-29 11:16:54
GO;Masculino;686;0,8596;2023-03-29 11:16:54
MS;Masculino;322;0,8451;2023-03-29 11:16:54
RR;Masculino;462;0,7817;2023-03-29 11:16:54
RJ;Masculino;1659;0,8201;2023-03-29 11:16:54
TO;Masculino;318;0,7833;2023-03-29 11:16:54
AP;Masculino;316;0,8564;2023-03-29 11:16:54
MT;Masculino;337;0,8532;2023-03-29 11:16:54
SP;Não informado;1;0,0004;2023-03-29 11:16:54
MS;Não informado;2;0,0052;2023-03-29 11:16:54
ES;Feminino;70;0,1284;2023-03-29 11:16:54
CE;Não informado;2;0,0028;2023-03-29 11:16:54
RR;Feminino;129;0,2183;2023-03-29 11:16:54
SC;Não informado;5;0,0091;2023-03-29 11:16:54
AM;Masculino;442;0,814;2023-03-29 11:16:54
MG;Feminino;200;0,1284;2023-03-29 11:16:54
RJ;Feminino;346;0,171;2023-03-29 11:16:54
SE;Masculino;321;0,8359;2023-03-29 11:16:54
CE;Masculino;607;0,8431;2023-03-29 11:16:54
BR;Masculino;11;0,7857;2023-03-29 11:16:54
ES;Não informado;1;0,0018;2023-03-29 11:16:54
PB;Masculino;316;0,861;2023-03-29 11:16:54
PE;Feminino;122;0,1329;2023-03-29 11:16:54
AL;Feminino;47;0,1124;2023-03-29 11:16:54
AL;Não informado;63;0,1507;2023-03-29 11:16:54
PI;Masculino;310;0,8986;2023-03-29 11:16:54
PR;Não informado;10;0,0124;2023-03-29 11:16:54
PA;Não informado;53;0,0732;2023-03-29 11:16:54
BA;Feminino;80;0,1017;2023-03-29 11:16:54
PB;Feminino;51;0,139;2023-03-29 11:16:54
DF;Feminino;157;0,1841;2023-03-29 11:16:54
DF;Não informado;1;0,0012;2023-03-29 11:16:54
BR;Feminino;3;0,2143;2023-03-29 11:16:54
ES;Masculino;474;0,8697;2023-03-29 11:16:54
SP;Feminino;348;0,1401;2023-03-29 11:16:54
SP;Masculino;2135;0,8595;2023-03-29 11:16:54
MS;Feminino;57;0,1496;2023-03-29 11:16:54
SC;Masculino;466;0,8457;2023-03-29 11:16:54
TO;Feminino;82;0,202;2023-03-29 11:16:54
AL;Masculino;308;0,7368;2023-03-29 11:16:54
CE;Feminino;111;0,1542;2023-03-29 11:16:54
GO;Não informado;11;0,0138;2023-03-29 11:16:54
PA;Feminino;102;0,1409;2023-03-29 11:16:54
SC;Feminino;80;0,1452;2023-03-29 11:16:54
RN;Não informado;1;0,0027;2023-03-29 11:16:54
AC;Masculino;398;0,8486;2023-03-29 11:16:54
RS;Masculino;681;0,8844;2023-03-29 11:16:54
