UF;Gênero;Quantitativo;Porcentagem;Data de carga
BA;Masculino;751;0,6871;2021-06-23 18:50:53
MG;Masculino;1331;0,685;2021-06-23 18:50:53
RN;Feminino;131;0,3259;2021-06-23 18:50:53
PA;Masculino;726;0,6941;2021-06-23 18:50:53
RS;Feminino;338;0,3107;2021-06-23 18:50:53
AM;Feminino;235;0,3096;2021-06-23 18:50:53
MA;Feminino;286;0,3196;2021-06-23 18:50:53
AC;Feminino;194;0,3144;2021-06-23 18:50:53
GO;Feminino;319;0,3009;2021-06-23 18:50:53
MT;Feminino;149;0,3072;2021-06-23 18:50:53
PR;Masculino;855;0,6917;2021-06-23 18:50:53
RO;Masculino;387;0,6825;2021-06-23 18:50:53
PE;Masculino;517;0,6839;2021-06-23 18:50:53
SE;Feminino;95;0,3135;2021-06-23 18:50:53
RO;Feminino;180;0,3175;2021-06-23 18:50:53
MA;Masculino;609;0,6804;2021-06-23 18:50:53
RN;Masculino;271;0,6741;2021-06-23 18:50:53
DF;Masculino;831;0,6919;2021-06-23 18:50:53
PI;Feminino;127;0,3151;2021-06-23 18:50:53
PR;Feminino;381;0,3083;2021-06-23 18:50:53
AP;Feminino;171;0,3132;2021-06-23 18:50:53
GO;Masculino;741;0,6991;2021-06-23 18:50:53
MS;Masculino;400;0,67;2021-06-23 18:50:53
RR;Masculino;366;0,6816;2021-06-23 18:50:53
RJ;Masculino;2201;0,697;2021-06-23 18:50:53
TO;Masculino;262;0,6968;2021-06-23 18:50:53
AP;Masculino;375;0,6868;2021-06-23 18:50:53
MT;Masculino;336;0,6928;2021-06-23 18:50:53
ES;Feminino;247;0,3119;2021-06-23 18:50:53
RR;Feminino;171;0,3184;2021-06-23 18:50:53
AM;Masculino;524;0,6904;2021-06-23 18:50:53
MG;Feminino;612;0,315;2021-06-23 18:50:53
RJ;Feminino;957;0,303;2021-06-23 18:50:53
SE;Masculino;208;0,6865;2021-06-23 18:50:53
CE;Masculino;605;0,6914;2021-06-23 18:50:53
BR;Masculino;17;0,7083;2023-10-19 16:17:44
PB;Masculino;397;0,681;2021-06-23 18:50:53
PE;Feminino;239;0,3161;2021-06-23 18:50:53
AL;Feminino;142;0,2965;2021-06-23 18:50:53
PI;Masculino;276;0,6849;2021-06-23 18:50:53
BA;Feminino;342;0,3129;2021-06-23 18:50:53
PB;Feminino;186;0,319;2021-06-23 18:50:53
DF;Feminino;370;0,3081;2021-06-23 18:50:53
BR;Feminino;7;0,2917;2023-10-19 16:17:44
ES;Masculino;545;0,6881;2021-06-23 18:50:53
SP;Feminino;1124;0,3068;2021-06-23 18:50:53
SP;Masculino;2540;0,6932;2021-06-23 18:50:53
MS;Feminino;197;0,33;2021-06-23 18:50:53
SC;Masculino;457;0,676;2021-06-23 18:50:53
TO;Feminino;114;0,3032;2021-06-23 18:50:53
AL;Masculino;337;0,7035;2021-06-23 18:50:53
CE;Feminino;270;0,3086;2021-06-23 18:50:53
PA;Feminino;320;0,3059;2021-06-23 18:50:53
SC;Feminino;219;0,324;2021-06-23 18:50:53
AC;Masculino;423;0,6856;2021-06-23 18:50:53
RS;Masculino;750;0,6893;2021-06-23 18:50:53
