UF;Gênero;Quantitativo;Porcentagem;Data de carga
AC;Feminino;7;0,1892;2025-05-18 03:30:13
AC;Masculino;30;0,8108;2025-05-18 03:30:13
AL;Feminino;7;0,1795;2025-05-18 03:30:13
AL;Masculino;32;0,8205;2025-05-18 03:30:13
AM;Feminino;6;0,1714;2025-05-18 03:30:13
AM;Masculino;29;0,8286;2025-05-18 03:30:13
AP;Feminino;10;0,2703;2025-05-18 03:30:13
AP;Masculino;27;0,7297;2025-05-18 03:30:13
BA;Feminino;14;0,1333;2025-05-18 03:30:13
BA;Masculino;91;0,8667;2025-05-18 03:30:13
CE;Feminino;15;0,2055;2025-05-18 03:30:13
CE;Masculino;58;0,7945;2025-05-18 03:30:13
DF;Feminino;8;0,2162;2025-05-18 03:30:13
DF;Masculino;29;0,7838;2025-05-18 03:30:13
ES;Feminino;6;0,1395;2025-05-18 03:30:13
ES;Masculino;37;0,8605;2025-05-18 03:30:13
GO;Feminino;11;0,1746;2025-05-18 03:30:13
GO;Masculino;52;0,8254;2025-05-18 03:30:13
MA;Feminino;17;0,2615;2025-05-18 03:30:13
MA;Masculino;48;0,7385;2025-05-18 03:30:13
MG;Feminino;24;0,1778;2025-05-18 03:30:13
MG;Masculino;111;0,8222;2025-05-18 03:30:13
MS;Feminino;4;0,1143;2025-05-18 03:30:13
MS;Masculino;31;0,8857;2025-05-18 03:30:13
MT;Feminino;4;0,1081;2025-05-18 03:30:13
MT;Masculino;33;0,8919;2025-05-18 03:30:13
PA;Feminino;14;0,2222;2025-05-18 03:30:13
PA;Masculino;49;0,7778;2025-05-18 03:30:13
PB;Feminino;6;0,1176;2025-05-18 03:30:13
PB;Masculino;45;0,8824;2025-05-18 03:30:13
PE;Feminino;10;0,1299;2025-05-18 03:30:13
PE;Masculino;67;0,8701;2025-05-18 03:30:13
PI;Feminino;6;0,1333;2025-05-18 03:30:13
PI;Masculino;39;0,8667;2025-05-18 03:30:13
PR;Feminino;14;0,1573;2025-05-18 03:30:13
PR;Masculino;75;0,8427;2025-05-18 03:30:13
RJ;Feminino;25;0,2066;2025-05-18 03:30:13
RJ;Masculino;96;0,7934;2025-05-18 03:30:13
RN;Feminino;7;0,1892;2025-05-18 03:30:13
RN;Masculino;30;0,8108;2025-05-18 03:30:13
RO;Feminino;7;0,2;2025-05-18 03:30:13
RO;Masculino;28;0,8;2025-05-18 03:30:13
RR;Feminino;7;0,1892;2025-05-18 03:30:13
RR;Masculino;30;0,8108;2025-05-18 03:30:13
RS;Feminino;18;0,2022;2025-05-18 03:30:13
RS;Masculino;71;0,7978;2025-05-18 03:30:13
SC;Feminino;8;0,1356;2025-05-18 03:30:13
SC;Masculino;51;0,8644;2025-05-18 03:30:13
SE;Feminino;8;0,2286;2025-05-18 03:30:13
SE;Masculino;27;0,7714;2025-05-18 03:30:13
SP;Feminino;41;0,2455;2025-05-18 03:30:13
SP;Masculino;126;0,7545;2025-05-18 03:30:13
TO;Feminino;5;0,1351;2025-05-18 03:30:13
TO;Masculino;32;0,8649;2025-05-18 03:30:13
