UF;Gênero;Quantitativo;Porcentagem;Data de carga
AC;Feminino;6;0,1714;2023-03-01 13:21:52
AC;Masculino;29;0,8286;2023-03-01 13:21:52
AL;Feminino;4;0,1053;2023-03-01 13:21:52
AL;Masculino;34;0,8947;2023-03-01 13:21:52
AM;Feminino;4;0,1143;2023-03-01 13:21:52
AM;Masculino;31;0,8857;2023-03-01 13:21:52
AP;Feminino;10;0,2941;2023-03-01 13:21:52
AP;Masculino;24;0,7059;2023-03-01 13:21:52
BA;Feminino;13;0,1238;2023-03-01 13:21:52
BA;Masculino;92;0,8762;2023-03-01 13:21:52
CE;Feminino;7;0,0986;2023-03-01 13:21:52
CE;Masculino;64;0,9014;2023-03-01 13:21:52
DF;Feminino;6;0,1765;2023-03-01 13:21:52
DF;Masculino;28;0,8235;2023-03-01 13:21:52
ES;Feminino;8;0,186;2023-03-01 13:21:52
ES;Masculino;35;0,814;2023-03-01 13:21:52
GO;Feminino;5;0,0833;2023-03-01 13:21:52
GO;Masculino;55;0,9167;2023-03-01 13:21:52
MA;Feminino;9;0,1429;2023-03-01 13:21:52
MA;Masculino;54;0,8571;2023-03-01 13:21:52
MG;Feminino;5;0,0376;2023-03-01 13:21:52
MG;Masculino;128;0,9624;2023-03-01 13:21:52
MS;Feminino;2;0,0571;2023-03-01 13:21:52
MS;Masculino;33;0,9429;2023-03-01 13:21:52
MT;Feminino;2;0,0571;2023-03-01 13:21:52
MT;Masculino;33;0,9429;2023-03-01 13:21:52
PA;Feminino;8;0,1333;2023-03-01 13:21:52
PA;Masculino;52;0,8667;2023-03-01 13:21:52
PB;Feminino;7;0,14;2023-03-01 13:21:52
PB;Masculino;43;0,86;2023-03-01 13:21:52
PE;Feminino;6;0,0779;2023-03-01 13:21:52
PE;Masculino;71;0,9221;2023-03-01 13:21:52
PI;Feminino;8;0,1905;2023-03-01 13:21:52
PI;Masculino;34;0,8095;2023-03-01 13:21:52
PR;Feminino;7;0,0805;2023-03-01 13:21:52
PR;Masculino;80;0,9195;2023-03-01 13:21:52
RJ;Feminino;17;0,1429;2023-03-01 13:21:52
RJ;Masculino;102;0,8571;2023-03-01 13:21:52
RN;Feminino;6;0,1714;2023-03-01 13:21:52
RN;Masculino;29;0,8286;2023-03-01 13:21:52
RO;Feminino;4;0,1176;2023-03-01 13:21:52
RO;Masculino;30;0,8824;2023-03-01 13:21:52
RR;Feminino;4;0,1176;2023-03-01 13:21:52
RR;Masculino;30;0,8824;2023-03-01 13:21:52
RS;Feminino;11;0,1236;2023-03-01 13:21:52
RS;Masculino;78;0,8764;2023-03-01 13:21:52
SC;Feminino;5;0,0847;2023-03-01 13:21:52
SC;Masculino;54;0,9153;2023-03-01 13:21:52
SE;Feminino;6;0,1714;2023-03-01 13:21:52
SE;Masculino;29;0,8286;2023-03-01 13:21:52
SP;Feminino;17;0,1018;2023-03-01 13:21:52
SP;Masculino;150;0,8982;2023-03-01 13:21:52
TO;Feminino;5;0,1429;2023-03-01 13:21:52
TO;Masculino;30;0,8571;2023-03-01 13:21:52
