UF;Gênero;Quantitativo;Porcentagem;Data de carga
BA;Masculino;507;0,907;2023-03-02 10:08:24
MG;Masculino;1119;0,8945;2023-03-02 10:08:24
RN;Feminino;20;0,1005;2023-03-02 10:08:24
PA;Masculino;508;0,8789;2023-03-02 10:08:24
RS;Feminino;62;0,0949;2023-03-02 10:08:24
AM;Feminino;40;0,1087;2023-03-02 10:08:24
MA;Feminino;72;0,1194;2023-03-02 10:08:24
AC;Feminino;40;0,1408;2023-03-02 10:08:24
GO;Feminino;68;0,1336;2023-03-02 10:08:24
MT;Feminino;29;0,1014;2023-03-02 10:08:24
PR;Masculino;585;0,9098;2023-03-02 10:08:24
RO;Masculino;319;0,8395;2023-03-02 10:08:24
PE;Masculino;463;0,8802;2023-03-02 10:08:24
RJ;Não informado;5;0,0027;2023-03-02 10:08:24
SE;Feminino;35;0,1118;2023-03-02 10:08:24
RO;Feminino;61;0,1605;2023-03-02 10:08:24
MA;Masculino;531;0,8806;2023-03-02 10:08:24
RN;Masculino;179;0,8995;2023-03-02 10:08:24
DF;Masculino;608;0,8085;2023-03-02 10:08:24
PI;Feminino;40;0,1481;2023-03-02 10:08:24
PR;Feminino;58;0,0902;2023-03-02 10:08:24
AP;Feminino;36;0,1129;2023-03-02 10:08:24
GO;Masculino;440;0,8644;2023-03-02 10:08:24
MS;Masculino;227;0,8833;2023-03-02 10:08:24
RR;Masculino;236;0,8166;2023-03-02 10:08:24
RJ;Masculino;1563;0,8504;2023-03-02 10:08:24
TO;Masculino;216;0,7883;2023-03-02 10:08:24
AP;Masculino;283;0,8871;2023-03-02 10:08:24
MT;Masculino;257;0,8986;2023-03-02 10:08:24
SP;Não informado;6;0,003;2023-03-02 10:08:24
ES;Feminino;37;0,0881;2023-03-02 10:08:24
RR;Feminino;53;0,1834;2023-03-02 10:08:24
AM;Masculino;328;0,8913;2023-03-02 10:08:24
MG;Feminino;132;0,1055;2023-03-02 10:08:24
RJ;Feminino;270;0,1469;2023-03-02 10:08:24
SE;Masculino;278;0,8882;2023-03-02 10:08:24
CE;Masculino;436;0,899;2023-03-02 10:08:24
BR;Masculino;22;0,9167;2023-03-02 10:08:24
PB;Masculino;239;0,8597;2023-03-02 10:08:24
PE;Feminino;63;0,1198;2023-03-02 10:08:24
AL;Feminino;27;0,1067;2023-03-02 10:08:24
PI;Masculino;230;0,8519;2023-03-02 10:08:24
BA;Feminino;52;0,093;2023-03-02 10:08:24
PB;Feminino;39;0,1403;2023-03-02 10:08:24
DF;Feminino;136;0,1809;2023-03-02 10:08:24
DF;Não informado;8;0,0106;2023-03-02 10:08:24
BR;Feminino;2;0,0833;2023-03-02 10:08:24
ES;Masculino;383;0,9119;2023-03-02 10:08:24
SP;Feminino;255;0,1272;2023-03-02 10:08:24
SP;Masculino;1744;0,8698;2023-03-02 10:08:24
MS;Feminino;30;0,1167;2023-03-02 10:08:24
SC;Masculino;375;0,8844;2023-03-02 10:08:24
TO;Feminino;58;0,2117;2023-03-02 10:08:24
AL;Masculino;226;0,8933;2023-03-02 10:08:24
CE;Feminino;49;0,101;2023-03-02 10:08:24
GO;Não informado;1;0,002;2023-03-02 10:08:24
PA;Feminino;70;0,1211;2023-03-02 10:08:24
SC;Feminino;49;0,1156;2023-03-02 10:08:24
AC;Masculino;244;0,8592;2023-03-02 10:08:24
RS;Masculino;591;0,9051;2023-03-02 10:08:24
