UF;Gênero;Quantitativo;Porcentagem;Data de carga
AC;Feminino;55;0,193;2025-05-18 08:30:09
AC;Masculino;230;0,807;2025-05-18 08:30:09
AL;Feminino;227;0,1754;2025-05-18 08:30:09
AL;Masculino;1067;0,8246;2025-05-18 08:30:09
AM;Feminino;167;0,1915;2025-05-18 08:30:09
AM;Masculino;705;0,8085;2025-05-18 08:30:09
AP;Feminino;46;0,2233;2025-05-18 08:30:09
AP;Masculino;160;0,7767;2025-05-18 08:30:09
BA;Feminino;820;0,1513;2025-05-18 08:30:09
BA;Masculino;4601;0,8487;2025-05-18 08:30:09
CE;Feminino;605;0,2369;2025-05-18 08:30:09
CE;Masculino;1949;0,7631;2025-05-18 08:30:09
ES;Feminino;116;0,1135;2025-05-18 08:30:09
ES;Masculino;906;0,8865;2025-05-18 08:30:09
GO;Feminino;492;0,1689;2025-05-18 08:30:09
GO;Masculino;2421;0,8311;2025-05-18 08:30:09
MA;Feminino;611;0,2206;2025-05-18 08:30:09
MA;Masculino;2159;0,7794;2025-05-18 08:30:09
MG;Feminino;1516;0,1483;2025-05-18 08:30:09
MG;Masculino;8704;0,8517;2025-05-18 08:30:09
MS;Feminino;213;0,2119;2025-05-18 08:30:09
MS;Masculino;792;0,7881;2025-05-18 08:30:09
MT;Feminino;316;0,1872;2025-05-18 08:30:09
MT;Masculino;1372;0,8128;2025-05-18 08:30:09
PA;Feminino;371;0,1826;2025-05-18 08:30:09
PA;Masculino;1661;0,8174;2025-05-18 08:30:09
PB;Feminino;565;0,2138;2025-05-18 08:30:09
PB;Masculino;2078;0,7862;2025-05-18 08:30:09
PE;Feminino;413;0,1645;2025-05-18 08:30:09
PE;Masculino;2098;0,8355;2025-05-18 08:30:09
PI;Feminino;568;0,2192;2025-05-18 08:30:09
PI;Masculino;2023;0,7808;2025-05-18 08:30:09
PR;Feminino;789;0,1701;2025-05-18 08:30:09
PR;Masculino;3849;0,8299;2025-05-18 08:30:09
RJ;Feminino;149;0,1078;2025-05-18 08:30:09
RJ;Masculino;1233;0,8922;2025-05-18 08:30:09
RN;Feminino;449;0,226;2025-05-18 08:30:09
RN;Masculino;1538;0,774;2025-05-18 08:30:09
RO;Feminino;97;0,1532;2025-05-18 08:30:09
RO;Masculino;536;0,8468;2025-05-18 08:30:09
RR;Feminino;48;0,2513;2025-05-18 08:30:09
RR;Masculino;143;0,7487;2025-05-18 08:30:09
RS;Feminino;1155;0,1962;2025-05-18 08:30:09
RS;Masculino;4731;0,8038;2025-05-18 08:30:09
SC;Feminino;658;0,1879;2025-05-18 08:30:09
SC;Masculino;2844;0,8121;2025-05-18 08:30:09
SE;Feminino;183;0,1964;2025-05-18 08:30:09
SE;Masculino;749;0,8036;2025-05-18 08:30:09
SP;Feminino;1393;0,1681;2025-05-18 08:30:09
SP;Masculino;6892;0,8319;2025-05-18 08:30:09
TO;Feminino;335;0,2103;2025-05-18 08:30:09
TO;Masculino;1258;0,7897;2025-05-18 08:30:09
