UF;Gênero;Quantitativo;Porcentagem;Data de carga
BA;Masculino;1150;0,669;2025-05-13 03:30:13
MG;Masculino;1707;0,6663;2025-05-13 03:30:13
RN;Feminino;201;0,3609;2025-05-13 03:30:13
PA;Masculino;684;0,6558;2025-05-13 03:30:13
RS;Feminino;480;0,335;2025-05-13 03:30:13
AM;Feminino;230;0,3485;2025-05-13 03:30:13
AM;Não divulgável;2;0,003;2025-05-13 03:30:13
MA;Feminino;318;0,3316;2025-05-13 03:30:13
AC;Feminino;180;0,3321;2025-05-13 03:30:13
GO;Feminino;445;0,358;2025-05-13 03:30:13
MT;Feminino;177;0,3371;2025-05-13 03:30:13
PR;Masculino;1056;0,6671;2025-05-13 03:30:13
RO;Masculino;414;0,6582;2025-05-13 03:30:13
PE;Masculino;750;0,6591;2025-05-13 03:30:13
SE;Feminino;192;0,3549;2025-05-13 03:30:13
RO;Feminino;215;0,3418;2025-05-13 03:30:13
MA;Masculino;641;0,6684;2025-05-13 03:30:13
RN;Masculino;356;0,6391;2025-05-13 03:30:13
SP;Não divulgável;3;0,0008;2025-05-13 03:30:13
CE;Não divulgável;1;0,001;2025-05-13 03:30:13
DF;Masculino;576;0,6429;2025-05-13 03:30:13
PI;Feminino;154;0,3557;2025-05-13 03:30:13
PR;Feminino;527;0,3329;2025-05-13 03:30:13
AP;Feminino;204;0,3662;2025-05-13 03:30:13
GO;Masculino;798;0,642;2025-05-13 03:30:13
MS;Masculino;380;0,6397;2025-05-13 03:30:13
RR;Masculino;393;0,6422;2025-05-13 03:30:13
RJ;Masculino;1895;0,6804;2025-05-13 03:30:13
TO;Masculino;346;0,6516;2025-05-13 03:30:13
AP;Masculino;353;0,6338;2025-05-13 03:30:13
MT;Masculino;347;0,661;2025-05-13 03:30:13
DF;Não divulgável;4;0,0045;2025-05-13 03:30:13
ES;Feminino;268;0,3445;2025-05-13 03:30:13
PA;Não divulgável;1;0,001;2025-05-13 03:30:13
RR;Feminino;219;0,3578;2025-05-13 03:30:13
AM;Masculino;428;0,6485;2025-05-13 03:30:13
MG;Feminino;855;0,3337;2025-05-13 03:30:13
RJ;Feminino;890;0,3196;2025-05-13 03:30:13
SE;Masculino;349;0,6451;2025-05-13 03:30:13
CE;Masculino;663;0,6513;2025-05-13 03:30:13
BR;Masculino;17;0,6538;2025-05-13 03:30:13
PB;Masculino;495;0,6582;2025-05-13 03:30:13
PE;Feminino;386;0,3392;2025-05-13 03:30:13
AC;Não divulgável;2;0,0037;2025-05-13 03:30:13
AL;Feminino;171;0,3427;2025-05-13 03:30:13
MT;Não divulgável;1;0,0019;2025-05-13 03:30:13
PI;Masculino;279;0,6443;2025-05-13 03:30:13
MS;Não divulgável;13;0,0219;2025-05-13 03:30:13
BA;Feminino;569;0,331;2025-05-13 03:30:13
PB;Feminino;257;0,3418;2025-05-13 03:30:13
PE;Não divulgável;2;0,0018;2025-05-13 03:30:13
DF;Feminino;316;0,3527;2025-05-13 03:30:13
BR;Feminino;9;0,3462;2025-05-13 03:30:13
ES;Masculino;510;0,6555;2025-05-13 03:30:13
SP;Feminino;1198;0,3278;2025-05-13 03:30:13
SP;Masculino;2454;0,6714;2025-05-13 03:30:13
MS;Feminino;201;0,3384;2025-05-13 03:30:13
SC;Masculino;661;0,6663;2025-05-13 03:30:13
TO;Feminino;185;0,3484;2025-05-13 03:30:13
AL;Masculino;328;0,6573;2025-05-13 03:30:13
CE;Feminino;354;0,3477;2025-05-13 03:30:13
PA;Feminino;358;0,3432;2025-05-13 03:30:13
SC;Feminino;331;0,3337;2025-05-13 03:30:13
AC;Masculino;360;0,6642;2025-05-13 03:30:13
RS;Masculino;953;0,665;2025-05-13 03:30:13
