UF;Gênero;Quantitativo;Porcentagem;Data de carga
AC;Feminino;31;0,1342;2023-03-02 09:45:49
AC;Masculino;200;0,8658;2023-03-02 09:45:49
AL;Feminino;143;0,1281;2023-03-02 09:45:49
AL;Masculino;973;0,8719;2023-03-02 09:45:49
AM;Feminino;84;0,1214;2023-03-02 09:45:49
AM;Masculino;608;0,8786;2023-03-02 09:45:49
AP;Feminino;34;0,1932;2023-03-02 09:45:49
AP;Masculino;142;0,8068;2023-03-02 09:45:49
BA;Feminino;596;0,1164;2023-03-02 09:45:49
BA;Masculino;4521;0,8828;2023-03-02 09:45:49
BA;Não informado;4;0,0008;2023-03-02 09:45:49
CE;Feminino;341;0,1265;2023-03-02 09:45:49
CE;Masculino;2355;0,8735;2023-03-02 09:45:49
ES;Feminino;79;0,0737;2023-03-02 09:45:49
ES;Masculino;992;0,9254;2023-03-02 09:45:49
ES;Não informado;1;0,0009;2023-03-02 09:45:49
GO;Feminino;326;0,12;2023-03-02 09:45:49
GO;Masculino;2390;0,88;2023-03-02 09:45:49
MA;Feminino;353;0,1394;2023-03-02 09:45:49
MA;Masculino;2179;0,8602;2023-03-02 09:45:49
MA;Não informado;1;0,0004;2023-03-02 09:45:49
MG;Feminino;1000;0,1005;2023-03-02 09:45:49
MG;Masculino;8951;0,8993;2023-03-02 09:45:49
MG;Não informado;2;0,0002;2023-03-02 09:45:49
MS;Feminino;107;0,1237;2023-03-02 09:45:49
MS;Masculino;758;0,8763;2023-03-02 09:45:49
MT;Feminino;203;0,1304;2023-03-02 09:45:49
MT;Masculino;1353;0,869;2023-03-02 09:45:49
MT;Não informado;1;0,0006;2023-03-02 09:45:49
PA;Feminino;222;0,1314;2023-03-02 09:45:49
PA;Masculino;1466;0,8675;2023-03-02 09:45:49
PA;Não informado;2;0,0012;2023-03-02 09:45:49
PB;Feminino;370;0,1356;2023-03-02 09:45:49
PB;Masculino;2358;0,8644;2023-03-02 09:45:49
PE;Feminino;210;0,097;2023-03-02 09:45:49
PE;Masculino;1954;0,9021;2023-03-02 09:45:49
PE;Não informado;2;0,0009;2023-03-02 09:45:49
PI;Feminino;291;0,1239;2023-03-02 09:45:49
PI;Masculino;2055;0,8748;2023-03-02 09:45:49
PI;Não informado;3;0,0013;2023-03-02 09:45:49
PR;Feminino;430;0,0974;2023-03-02 09:45:49
PR;Masculino;3986;0,9024;2023-03-02 09:45:49
PR;Não informado;1;0,0002;2023-03-02 09:45:49
RJ;Feminino;97;0,0709;2023-03-02 09:45:49
RJ;Masculino;1271;0,9291;2023-03-02 09:45:49
RN;Feminino;265;0,1462;2023-03-02 09:45:49
RN;Masculino;1548;0,8538;2023-03-02 09:45:49
RO;Feminino;59;0,1012;2023-03-02 09:45:49
RO;Masculino;523;0,8971;2023-03-02 09:45:49
RO;Não informado;1;0,0017;2023-03-02 09:45:49
RR;Feminino;19;0,1092;2023-03-02 09:45:49
RR;Masculino;155;0,8908;2023-03-02 09:45:49
RS;Feminino;551;0,098;2023-03-02 09:45:49
RS;Masculino;5070;0,9017;2023-03-02 09:45:49
RS;Não informado;2;0,0004;2023-03-02 09:45:49
SC;Feminino;297;0,09;2023-03-02 09:45:49
SC;Masculino;3003;0,91;2023-03-02 09:45:49
SE;Feminino;142;0,1587;2023-03-02 09:45:49
SE;Masculino;753;0,8413;2023-03-02 09:45:49
SP;Feminino;852;0,0983;2023-03-02 09:45:49
SP;Masculino;7812;0,9017;2023-03-02 09:45:49
TO;Feminino;209;0,1478;2023-03-02 09:45:49
TO;Masculino;1204;0,8515;2023-03-02 09:45:49
TO;Não informado;1;0,0007;2023-03-02 09:45:49
