UF;Gênero;Quantitativo;Porcentagem;Data de carga
BA;Masculino;27914;0,671;2025-01-22 15:04:00
MG;Masculino;54598;0,6681;2025-01-22 15:04:00
RN;Feminino;3604;0,3414;2025-01-22 15:04:00
PA;Masculino;15593;0,66;2025-01-22 15:04:00
RS;Feminino;11492;0,3426;2025-01-22 15:04:00
SC;Não divulgável;3;0,0001;2025-01-22 15:04:00
AM;Feminino;3451;0,3298;2025-01-22 15:04:00
MA;Feminino;7008;0,3371;2025-01-22 15:04:00
AC;Feminino;1044;0,3412;2025-01-22 15:04:00
GO;Feminino;8409;0,3371;2025-01-22 15:04:00
GO;Não divulgável;16;0,0006;2025-01-22 15:04:00
MT;Feminino;4429;0,3446;2025-01-22 15:04:00
PR;Masculino;24568;0,663;2025-01-22 15:04:00
PR;Não divulgável;11;0,0003;2025-01-22 15:04:00
RO;Masculino;3953;0,6666;2025-01-22 15:04:00
PE;Masculino;14225;0,6744;2025-01-22 15:04:00
SE;Feminino;2348;0,3348;2025-01-22 15:04:00
PI;Não divulgável;10;0,0009;2025-01-22 15:04:00
RO;Feminino;1975;0,3331;2025-01-22 15:04:00
MA;Masculino;13782;0,6629;2025-01-22 15:04:00
RN;Masculino;6951;0,6584;2025-01-22 15:04:00
SP;Não divulgável;72;0,0008;2025-01-22 15:04:00
TO;Não divulgável;4;0,0005;2025-01-22 15:04:00
CE;Não divulgável;12;0,0007;2025-01-22 15:04:00
PI;Feminino;3545;0,3324;2025-01-22 15:04:00
PR;Feminino;12475;0,3367;2025-01-22 15:04:00
RN;Não divulgável;2;0,0002;2025-01-22 15:04:00
AP;Feminino;877;0,3516;2025-01-22 15:04:00
GO;Masculino;16520;0,6623;2025-01-22 15:04:00
MS;Masculino;5675;0,6547;2025-01-22 15:04:00
RR;Masculino;1207;0,641;2025-01-22 15:04:00
RJ;Masculino;17594;0,663;2025-01-22 15:04:00
TO;Masculino;5675;0,6536;2025-01-22 15:04:00
AP;Masculino;1616;0,648;2025-01-22 15:04:00
MT;Masculino;8412;0,6546;2025-01-22 15:04:00
RJ;Não divulgável;62;0,0023;2025-01-22 15:04:00
ES;Feminino;4238;0,3369;2025-01-22 15:04:00
PA;Não divulgável;1;0;2025-01-22 15:04:00
RR;Feminino;676;0,359;2025-01-22 15:04:00
AM;Masculino;7012;0,6702;2025-01-22 15:04:00
MG;Feminino;27092;0,3315;2025-01-22 15:04:00
RJ;Feminino;8882;0,3347;2025-01-22 15:04:00
SE;Masculino;4665;0,6652;2025-01-22 15:04:00
CE;Masculino;10801;0,6665;2025-01-22 15:04:00
PB;Masculino;8419;0,6725;2025-01-22 15:04:00
PE;Feminino;6868;0,3256;2025-01-22 15:04:00
AC;Não divulgável;31;0,0101;2025-01-22 15:04:00
AL;Feminino;2533;0,3345;2025-01-22 15:04:00
MT;Não divulgável;10;0,0008;2025-01-22 15:04:00
PI;Masculino;7109;0,6666;2025-01-22 15:04:00
AL;Não divulgável;1;0,0001;2025-01-22 15:04:00
MS;Não divulgável;4;0,0005;2025-01-22 15:04:00
BA;Feminino;13685;0,329;2025-01-22 15:04:00
PB;Feminino;4100;0,3275;2025-01-22 15:04:00
ES;Masculino;8335;0,6627;2025-01-22 15:04:00
MG;Não divulgável;32;0,0004;2025-01-22 15:04:00
SP;Feminino;31438;0,3353;2025-01-22 15:04:00
SP;Masculino;62261;0,664;2025-01-22 15:04:00
MS;Feminino;2989;0,3448;2025-01-22 15:04:00
SC;Masculino;14416;0,6597;2025-01-22 15:04:00
ES;Não divulgável;5;0,0004;2025-01-22 15:04:00
TO;Feminino;3004;0,346;2025-01-22 15:04:00
AL;Masculino;5039;0,6654;2025-01-22 15:04:00
CE;Feminino;5392;0,3327;2025-01-22 15:04:00
PA;Feminino;8033;0,34;2025-01-22 15:04:00
SC;Feminino;7434;0,3402;2025-01-22 15:04:00
AC;Masculino;1985;0,6487;2025-01-22 15:04:00
AP;Não divulgável;1;0,0004;2025-01-22 15:04:00
RO;Não divulgável;2;0,0003;2025-01-22 15:04:00
RS;Masculino;22053;0,6574;2025-01-22 15:04:00
