UF;Gênero;Quantitativo;Porcentagem;Data de carga
AC;Feminino;9;0,225;2024-11-13 10:55:17
AC;Masculino;31;0,775;2024-11-13 10:55:17
AL;Feminino;8;0,1818;2024-11-13 10:55:17
AL;Masculino;36;0,8182;2024-11-13 10:55:17
AM;Feminino;6;0,1579;2024-11-13 10:55:17
AM;Masculino;32;0,8421;2024-11-13 10:55:17
AP;Feminino;12;0,3158;2024-11-13 10:55:17
AP;Masculino;26;0,6842;2024-11-13 10:55:17
BA;Feminino;15;0,1364;2024-11-13 10:55:17
BA;Masculino;95;0,8636;2024-11-13 10:55:17
CE;Feminino;8;0,1053;2024-11-13 10:55:17
CE;Masculino;68;0,8947;2024-11-13 10:55:17
DF;Feminino;12;0,3158;2024-11-13 10:55:17
DF;Masculino;26;0,6842;2024-11-13 10:55:17
ES;Feminino;9;0,1875;2024-11-13 10:55:17
ES;Masculino;39;0,8125;2024-11-13 10:55:17
GO;Feminino;4;0,0606;2024-11-13 10:55:17
GO;Masculino;62;0,9394;2024-11-13 10:55:17
MA;Feminino;10;0,1471;2024-11-13 10:55:17
MA;Masculino;58;0,8529;2024-11-13 10:55:17
MG;Feminino;15;0,1103;2024-11-13 10:55:17
MG;Masculino;121;0,8897;2024-11-13 10:55:17
MS;Feminino;4;0,1053;2024-11-13 10:55:17
MS;Masculino;34;0,8947;2024-11-13 10:55:17
MT;Feminino;3;0,0811;2024-11-13 10:55:17
MT;Masculino;34;0,9189;2024-11-13 10:55:17
PA;Feminino;11;0,1719;2024-11-13 10:55:17
PA;Masculino;53;0,8281;2024-11-13 10:55:17
PB;Feminino;10;0,1786;2024-11-13 10:55:17
PB;Masculino;46;0,8214;2024-11-13 10:55:17
PE;Feminino;13;0,1585;2024-11-13 10:55:17
PE;Masculino;69;0,8415;2024-11-13 10:55:17
PI;Feminino;11;0,2292;2024-11-13 10:55:17
PI;Masculino;37;0,7708;2024-11-13 10:55:17
PR;Feminino;9;0,0978;2024-11-13 10:55:17
PR;Masculino;83;0,9022;2024-11-13 10:55:17
RJ;Feminino;23;0,1885;2024-11-13 10:55:17
RJ;Masculino;99;0,8115;2024-11-13 10:55:17
RN;Feminino;6;0,1579;2024-11-13 10:55:17
RN;Masculino;32;0,8421;2024-11-13 10:55:17
RO;Feminino;6;0,1579;2024-11-13 10:55:17
RO;Masculino;32;0,8421;2024-11-13 10:55:17
RR;Feminino;8;0,2105;2024-11-13 10:55:17
RR;Masculino;30;0,7895;2024-11-13 10:55:17
RS;Feminino;16;0,1739;2024-11-13 10:55:17
RS;Masculino;76;0,8261;2024-11-13 10:55:17
SC;Feminino;11;0,1774;2024-11-13 10:55:17
SC;Masculino;51;0,8226;2024-11-13 10:55:17
SE;Feminino;7;0,1842;2024-11-13 10:55:17
SE;Masculino;31;0,8158;2024-11-13 10:55:17
SP;Feminino;31;0,1824;2024-11-13 10:55:17
SP;Masculino;139;0,8176;2024-11-13 10:55:17
TO;Feminino;7;0,175;2024-11-13 10:55:17
TO;Masculino;33;0,825;2024-11-13 10:55:17
