UF;Gênero;Quantitativo;Porcentagem;Data de carga
BA;Masculino;855;0,8382;2023-03-01 13:21:52
MG;Masculino;1517;0,848;2023-03-01 13:21:52
RN;Feminino;46;0,1847;2023-03-01 13:21:52
PA;Masculino;612;0,7183;2023-03-01 13:21:52
RS;Feminino;271;0,2718;2023-03-01 13:21:52
AM;Feminino;160;0,2991;2023-03-01 13:21:52
MA;Feminino;94;0,1455;2023-03-01 13:21:52
AC;Feminino;90;0,1974;2023-03-01 13:21:52
GO;Feminino;162;0,1929;2023-03-01 13:21:52
MT;Feminino;106;0,2415;2023-03-01 13:21:52
PR;Masculino;777;0,7515;2023-03-01 13:21:52
RO;Masculino;413;0,8227;2023-03-01 13:21:52
PE;Masculino;612;0,8583;2023-03-01 13:21:52
SE;Feminino;40;0,1487;2023-03-01 13:21:52
RO;Feminino;89;0,1773;2023-03-01 13:21:52
MA;Masculino;552;0,8545;2023-03-01 13:21:52
RN;Masculino;203;0,8153;2023-03-01 13:21:52
DF;Masculino;802;0,7552;2023-03-01 13:21:52
PI;Feminino;105;0,2593;2023-03-01 13:21:52
PR;Feminino;257;0,2485;2023-03-01 13:21:52
AP;Feminino;128;0,265;2023-03-01 13:21:52
GO;Masculino;678;0,8071;2023-03-01 13:21:52
MS;Masculino;266;0,7288;2023-03-01 13:21:52
RR;Masculino;400;0,7168;2023-03-01 13:21:52
RJ;Masculino;1976;0,6995;2023-03-01 13:21:52
TO;Masculino;250;0,8475;2023-03-01 13:21:52
AP;Masculino;355;0,735;2023-03-01 13:21:52
MT;Masculino;333;0,7585;2023-03-01 13:21:52
ES;Feminino;69;0,1283;2023-03-01 13:21:52
RR;Feminino;158;0,2832;2023-03-01 13:21:52
AM;Masculino;375;0,7009;2023-03-01 13:21:52
MG;Feminino;272;0,152;2023-03-01 13:21:52
RJ;Feminino;849;0,3005;2023-03-01 13:21:52
SE;Masculino;229;0,8513;2023-03-01 13:21:52
CE;Masculino;583;0,7224;2023-03-01 13:21:52
BR;Masculino;15;0,8333;2023-03-01 13:21:52
PB;Masculino;353;0,7775;2023-03-01 13:21:52
PE;Feminino;101;0,1417;2023-03-01 13:21:52
AL;Feminino;101;0,2163;2023-03-01 13:21:52
PI;Masculino;300;0,7407;2023-03-01 13:21:52
BA;Feminino;165;0,1618;2023-03-01 13:21:52
PB;Feminino;101;0,2225;2023-03-01 13:21:52
DF;Feminino;260;0,2448;2023-03-01 13:21:52
BR;Feminino;3;0,1667;2023-03-01 13:21:52
ES;Masculino;469;0,8717;2023-03-01 13:21:52
SP;Feminino;655;0,1967;2023-03-01 13:21:52
SP;Masculino;2675;0,8033;2023-03-01 13:21:52
MS;Feminino;99;0,2712;2023-03-01 13:21:52
SC;Masculino;423;0,7182;2023-03-01 13:21:52
TO;Feminino;45;0,1525;2023-03-01 13:21:52
AL;Masculino;366;0,7837;2023-03-01 13:21:52
CE;Feminino;224;0,2776;2023-03-01 13:21:52
PA;Feminino;240;0,2817;2023-03-01 13:21:52
SC;Feminino;166;0,2818;2023-03-01 13:21:52
AC;Masculino;366;0,8026;2023-03-01 13:21:52
RS;Masculino;726;0,7282;2023-03-01 13:21:52
