UF;Gênero;Quantitativo;Porcentagem;Data de carga
BA;Masculino;23221;0,6597;2025-05-13 12:30:11
MG;Masculino;48756;0,6639;2025-05-13 12:30:11
RN;Feminino;2666;0,3469;2025-05-13 12:30:11
PA;Masculino;11735;0,6488;2025-05-13 12:30:11
RS;Feminino;10066;0,3469;2025-05-13 12:30:11
AM;Feminino;2800;0,3453;2025-05-13 12:30:11
MA;Feminino;5987;0,3556;2025-05-13 12:30:11
AC;Feminino;811;0,3509;2025-05-13 12:30:11
GO;Feminino;6958;0,3485;2025-05-13 12:30:11
MT;Feminino;3902;0,3515;2025-05-13 12:30:11
PR;Masculino;22422;0,6593;2025-05-13 12:30:11
PR;Não divulgável;24;0,0007;2025-05-13 12:30:11
RO;Masculino;3198;0,6561;2025-05-13 12:30:11
PE;Masculino;10552;0,657;2025-05-13 12:30:11
SE;Feminino;1950;0,3493;2025-05-13 12:30:11
RO;Feminino;1676;0,3439;2025-05-13 12:30:11
MA;Masculino;10847;0,6443;2025-05-13 12:30:11
RN;Masculino;5020;0,6531;2025-05-13 12:30:11
SP;Não divulgável;1;0;2025-05-13 12:30:11
PI;Feminino;3012;0,3355;2025-05-13 12:30:11
PR;Feminino;11563;0,34;2025-05-13 12:30:11
AP;Feminino;563;0,3528;2025-05-13 12:30:11
GO;Masculino;13009;0,6515;2025-05-13 12:30:11
MS;Masculino;4739;0,6432;2025-05-13 12:30:11
RR;Masculino;863;0,6416;2025-05-13 12:30:11
MA;Não divulgável;1;0,0001;2025-05-13 12:30:11
RJ;Masculino;11633;0,6616;2025-05-13 12:30:11
TO;Masculino;4677;0,6503;2025-05-13 12:30:11
AP;Masculino;1033;0,6472;2025-05-13 12:30:11
MT;Masculino;7198;0,6485;2025-05-13 12:30:11
RJ;Não divulgável;3;0,0002;2025-05-13 12:30:11
ES;Feminino;3320;0,3368;2025-05-13 12:30:11
RR;Feminino;482;0,3584;2025-05-13 12:30:11
AM;Masculino;5310;0,6547;2025-05-13 12:30:11
MG;Feminino;24671;0,3359;2025-05-13 12:30:11
RJ;Feminino;5946;0,3382;2025-05-13 12:30:11
SE;Masculino;3632;0,6507;2025-05-13 12:30:11
CE;Masculino;8536;0,646;2025-05-13 12:30:11
PB;Masculino;6770;0,6615;2025-05-13 12:30:11
PE;Feminino;5509;0,343;2025-05-13 12:30:11
AL;Feminino;1949;0,3341;2025-05-13 12:30:11
PI;Masculino;5966;0,6645;2025-05-13 12:30:11
BA;Feminino;11980;0,3403;2025-05-13 12:30:11
PB;Feminino;3464;0,3385;2025-05-13 12:30:11
ES;Masculino;6537;0,6632;2025-05-13 12:30:11
MG;Não divulgável;17;0,0002;2025-05-13 12:30:11
SP;Feminino;26791;0,3422;2025-05-13 12:30:11
SP;Masculino;51497;0,6578;2025-05-13 12:30:11
MS;Feminino;2629;0,3568;2025-05-13 12:30:11
SC;Masculino;12853;0,6551;2025-05-13 12:30:11
TO;Feminino;2515;0,3497;2025-05-13 12:30:11
AL;Masculino;3885;0,6659;2025-05-13 12:30:11
CE;Feminino;4677;0,354;2025-05-13 12:30:11
PA;Feminino;6352;0,3512;2025-05-13 12:30:11
SC;Feminino;6766;0,3449;2025-05-13 12:30:11
AC;Masculino;1500;0,6491;2025-05-13 12:30:11
RS;Masculino;18954;0,6531;2025-05-13 12:30:11
