Cor/raça;Quantitativo;Porcentagem;Data de carga
Amarela;168;0,0058;2024-11-13 10:55:17
Branca;15241;0,5228;2024-11-13 10:55:17
Indígena;133;0,0046;2024-11-13 10:55:17
Não divulgável;69;0,0024;2024-11-13 10:55:17
Parda;10382;0,3561;2024-11-13 10:55:17
Preta;3160;0,1084;2024-11-13 10:55:17
