Cor/raça;Quantitativo;Porcentagem;Data de carga
Amarela;120;0,0046;2021-06-23 18:50:53
Branca;14377;0,5496;2023-10-19 16:17:44
Indígena;85;0,0032;2021-06-23 18:50:53
Parda;9158;0,3501;2023-10-19 16:17:44
Preta;2421;0,0925;2023-10-19 16:17:44
