Cor/raça;Quantitativo;Porcentagem;Data de carga
Amarela;116;0,004;2025-05-01 03:30:23
Branca;14099;0,4818;2025-05-01 03:30:23
Indígena;186;0,0064;2025-05-01 03:30:23
Não Informado;120;0,0041;2025-05-01 03:30:23
Não divulgável;29;0,001;2025-05-01 03:30:23
Parda;10579;0,3615;2025-05-01 03:30:23
Preta;4133;0,1412;2025-05-01 03:30:23
